Date,Location,Total Sales,Swiggy,Zomato,Card Sales,UPI,Dineout,Zomato Pro,Expenses,Expected Cash Sales,Actual Cash Sales,Year,Month
01-06-2023 00:00,Baga,112940,31335,38493,17490,8081,3310,1419,7106,5706,6021,2023,June
01-06-2023 00:00,KTC,120379,30017,35902,18246,17507,3878,2158,7352,5319,5442,2023,June
01-06-2023 00:00,Khorlim,170852,34041,31311,10300,11933,4589,4615,9377,64686,65175,2023,June
01-06-2023 00:00,Margao,152184,30645,33851,7675,9362,2096,3771,8708,56076,55572,2023,June
01-06-2023 00:00,Panaji,104971,27439,33692,16093,13918,1296,3673,6991,1869,1058,2023,June
01-06-2023 00:00,Porvorim,186610,33803,39122,13849,5117,3666,3503,7067,80483,80980,2023,June
01-06-2023 00:00,Siolim,103571,30628,30351,7594,17002,2848,2384,7574,5190,4529,2023,June
02-06-2023 00:00,Baga,176361,26202,35892,12783,13907,1662,4049,8553,73313,72410,2023,June
02-06-2023 00:00,KTC,188497,32816,38156,5557,17280,2658,3685,8592,79753,79041,2023,June
02-06-2023 00:00,Khorlim,121631,31946,38115,18901,15953,4052,1515,5506,5643,4885,2023,June
02-06-2023 00:00,Margao,139314,30337,32486,17379,19757,3804,1390,5237,28924,29264,2023,June
02-06-2023 00:00,Panaji,196325,30523,35062,15650,8564,4394,4028,8268,89836,89477,2023,June
02-06-2023 00:00,Porvorim,185405,31997,37810,14676,17160,4126,4297,5687,69652,69070,2023,June
02-06-2023 00:00,Siolim,134014,34969,30056,11133,12663,4094,2410,6880,31809,32784,2023,June
03-06-2023 00:00,Baga,143464,29835,32350,6218,11664,4211,4910,6788,47488,47694,2023,June
03-06-2023 00:00,KTC,123394,26863,30557,19516,19097,2739,2997,8208,13417,13348,2023,June
03-06-2023 00:00,Khorlim,170500,30796,37981,12857,10100,2742,2428,5713,67883,68189,2023,June
03-06-2023 00:00,Margao,104885,29836,38093,10309,10845,3788,1707,9663,644,693,2023,June
03-06-2023 00:00,Panaji,119650,32505,39781,10592,19401,1108,1656,6650,7957,8926,2023,June
03-06-2023 00:00,Porvorim,150547,30332,37579,18575,16876,4311,3614,7845,31415,32300,2023,June
03-06-2023 00:00,Siolim,198633,33877,30616,13621,11732,1793,1189,8400,97405,97316,2023,June
