Year,Month,Location,Category,Ideal Cost,Actual Cost,Variance
2020,January,Panaji,Bakery,1.18,1.13,-0.05
2020,January,Panaji,Beverages,1.98,1.94,-0.04
2020,January,Panaji,Fruits,1.81,1.94,0.13
2020,January,Panaji,Groceries,11.41,10.66,-0.75
2020,January,Panaji,Milk Products,2.93,2.63,-0.3
2020,January,Panaji,Ready to eat,1.97,1.73,-0.24
2020,January,Panaji,Spices,5.6,5.92,0.32
2020,January,Panaji,Vegetables,2.94,2.95,0.01
2020,January,Khorlim,Bakery,1.13,1.13,0
2020,January,Khorlim,Beverages,1.82,1.84,0.02
2020,January,Khorlim,Fruits,1.83,1.95,0.12
2020,January,Khorlim,Groceries,11.65,11.03,-0.62
2020,January,Khorlim,Milk Products,2.79,2.7,-0.09
2020,January,Khorlim,Ready to eat,1.76,1.9,0.14
2020,January,Khorlim,Spices,5.87,5.88,0.01
2020,January,Khorlim,Vegetables,2.9,2.75,-0.15
2020,January,KTC,Bakery,1.15,1.1,-0.05
2020,January,KTC,Beverages,1.97,1.9,-0.07
2020,January,KTC,Fruits,1.97,1.78,-0.19
2020,January,KTC,Groceries,11.14,10.83,-0.31
2020,January,KTC,Milk Products,3,2.64,-0.36
2020,January,KTC,Ready to eat,1.77,1.93,0.16
2020,January,KTC,Spices,5.34,5.39,0.05
2020,January,KTC,Vegetables,2.62,2.87,0.25
2020,January,Margao,Bakery,1.11,1.1,-0.01
2020,January,Margao,Beverages,1.82,1.77,-0.05
2020,January,Margao,Fruits,1.92,1.94,0.02
2020,January,Margao,Groceries,10.86,11.55,0.69
2020,January,Margao,Milk Products,2.75,2.79,0.04
2020,January,Margao,Ready to eat,1.94,1.99,0.05
2020,January,Margao,Spices,5.57,5.73,0.16
2020,January,Margao,Vegetables,2.8,2.83,0.03
2020,January,Siolim,Bakery,1.11,1.16,0.05
2020,January,Siolim,Beverages,1.89,1.83,-0.06
2020,January,Siolim,Fruits,1.77,1.82,0.05
2020,January,Siolim,Groceries,12,10.52,-1.48
2020,January,Siolim,Milk Products,2.64,2.95,0.31
2020,January,Siolim,Ready to eat,1.86,1.85,-0.01
2020,January,Siolim,Spices,5.94,5.84,-0.1
2020,January,Siolim,Vegetables,2.9,2.69,-0.21
2020,January,Baga,Bakery,1.12,1.17,0.05
2020,January,Baga,Beverages,1.94,1.91,-0.03
2020,January,Baga,Fruits,1.74,1.97,0.23
2020,January,Baga,Groceries,11.18,10.43,-0.75
2020,January,Baga,Milk Products,2.84,2.65,-0.19
2020,January,Baga,Ready to eat,1.92,1.84,-0.08
2020,January,Baga,Spices,5.94,5.87,-0.07
2020,January,Baga,Vegetables,2.99,2.92,-0.07
2020,January,Porvorim,Bakery,1.15,1.19,0.04
2020,January,Porvorim,Beverages,1.86,1.91,0.05
2020,January,Porvorim,Fruits,1.75,1.76,0.01
2020,January,Porvorim,Groceries,11.37,10.66,-0.71
2020,January,Porvorim,Milk Products,2.66,2.78,0.12
2020,January,Porvorim,Ready to eat,1.77,1.82,0.05
