  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Charges,Net Sale,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","-","Panaji Navtara",2019-04-01,"NON AC",1111.00,158,68908.48,0.00,0.00,68908.48,3437.91,72346.39,-0.39,72346.00,
"-","-","-","Panaji Navtara",2019-04-01,"AC",352.00,61,27447.73,0.00,0.00,27447.73,1372.52,28820.25,-0.25,28820.00,
"-","-","-","Panaji Navtara",2019-04-01,"TAKE AWAY",127.00,47,7710.26,0.00,0.00,7710.26,373.63,8083.89,0.11,8084.00,
"-","-","-","Panaji Navtara",2019-04-01,"DELIVERY",3.00,2,209.52,0.00,0.00,209.52,10.47,219.99,0.01,220.00,
"-","-","-","Panaji Navtara",2019-04-02,"NON AC",1127.00,296,66183.62,753.15,0.00,65430.47,3271.58,68702.05,-0.05,68702.00,
"-","-","-","Panaji Navtara",2019-04-02,"AC",449.00,85,33657.27,542.87,0.00,33114.40,1656.05,34770.45,-0.45,34770.00,
"-","-","-","Panaji Navtara",2019-04-02,"TAKE AWAY",109.00,49,7031.23,0.00,0.00,7031.23,351.63,7382.86,0.14,7383.00,
"-","-","-","Panaji Navtara",2019-04-02,"DELIVERY",24.00,11,1430.24,0.00,0.00,1430.24,71.51,1501.75,0.25,1502.00,
"-","-","-","Panaji Navtara",2019-04-03,"NON AC",1023.00,293,58847.36,1048.77,0.00,57798.59,2889.95,60688.54,0.46,60689.00,
"-","-","-","Panaji Navtara",2019-04-03,"TAKE AWAY",127.00,57,6562.53,0.00,0.00,6562.53,328.20,6890.73,0.27,6891.00,
"-","-","-","Panaji Navtara",2019-04-03,"AC",400.00,75,32057.87,266.66,0.00,31791.21,1589.80,33381.01,-0.01,33381.00,
"-","-","-","Panaji Navtara",2019-04-03,"DELIVERY",47.00,24,3440.33,0.00,0.00,3440.33,172.04,3612.37,-0.37,3612.00,
"-","-","-","Panaji Navtara",2019-04-04,"NON AC",1207.00,345,72010.04,1307.41,0.00,70702.63,3535.11,74237.74,0.26,74238.00,
"-","-","-","Panaji Navtara",2019-04-04,"AC",504.00,92,42381.03,628.57,0.00,41752.46,2087.94,43840.40,-0.40,43840.00,
"-","-","-","Panaji Navtara",2019-04-04,"TAKE AWAY",89.00,47,5573.57,0.00,0.00,5573.57,278.72,5852.29,-0.29,5852.00,
"-","-","-","Panaji Navtara",2019-04-04,"DELIVERY",18.00,7,1153.14,0.00,0.00,1153.14,57.64,1210.78,0.22,1211.00,
"-","-","-","Panaji Navtara",2019-04-05,"NON AC",1182.00,320,70239.82,846.70,0.00,69393.12,3469.13,72862.25,-0.25,72862.00,
"-","-","-","Panaji Navtara",2019-04-05,"AC",399.00,70,29659.59,104.77,0.00,29554.82,1477.97,31032.79,0.21,31033.00,
"-","-","-","Panaji Navtara",2019-04-05,"TAKE AWAY",128.00,66,7486.11,0.00,0.00,7486.11,374.27,7860.38,-0.38,7860.00,
"-","-","-","Panaji Navtara",2019-04-05,"ZOMATO",20.00,4,1184.85,0.00,0.00,1184.85,59.26,1244.11,-0.11,1244.00,
"-","-","-","Panaji Navtara",2019-04-05,"SWIGGY",14.00,4,731.48,0.00,0.00,731.48,36.57,768.05,-0.05,768.00,
"-","-","-","Panaji Navtara",2019-04-06,"NON AC",1103.00,288,65952.86,342.87,0.00,65609.99,3280.61,68890.60,0.40,68891.00,
"-","-","-","Panaji Navtara",2019-04-06,"SWIGGY",76.00,33,5800.33,0.00,0.00,5800.33,290.03,6090.36,-0.36,6090.00,
"-","-","-","Panaji Navtara",2019-04-06,"AC",473.00,76,37650.48,0.00,0.00,37650.48,1882.79,39533.27,-0.27,39533.00,
"-","-","-","Panaji Navtara",2019-04-06,"TAKE AWAY",110.00,59,7467.25,0.00,0.00,7467.25,373.44,7840.69,0.31,7841.00,
"-","-","-","Panaji Navtara",2019-04-06,"ZOMATO",5.00,2,314.31,0.00,0.00,314.31,15.71,330.02,-0.02,330.00,
"-","-","-","Panaji Navtara",2019-04-07,"NON AC",1255.00,281,71253.49,219.06,0.00,71034.43,3552.04,74586.47,-0.47,74586.00,
"-","-","-","Panaji Navtara",2019-04-07,"AC",557.00,90,43565.33,0.00,0.00,43565.33,2178.58,45743.91,0.09,45744.00,
"-","-","-","Panaji Navtara",2019-04-07,"SWIGGY",88.00,35,7427.09,0.00,0.00,7427.09,371.33,7798.42,-0.42,7798.00,
"-","-","-","Panaji Navtara",2019-04-07,"ZOMATO",40.00,15,2838.30,0.00,0.00,2838.30,141.94,2980.24,-0.24,2980.00,
"-","-","-","Panaji Navtara",2019-04-07,"TAKE AWAY",81.00,34,4657.61,0.00,0.00,4657.61,232.92,4890.53,0.47,4891.00,
