  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Charges,Net Sale,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","-","Porvorim Navtara",2020-10-01,"TAKE AWAY",114.00,45,8828.97,533.40,0.00,8295.57,414.80,8710.37,-0.37,8710.00,
"-","-","-","Porvorim Navtara",2020-10-01,"SWIGGY",129.00,55,11448.27,3845.15,0.00,7603.12,380.20,7983.32,-0.32,7983.00,
"-","-","-","Porvorim Navtara",2020-10-01,"NON AC",459.00,116,29002.02,2285.90,0.00,26716.12,1336.00,28052.12,-0.12,28052.00,
"-","-","-","Porvorim Navtara",2020-10-01,"ZOMATO",27.00,6,2066.86,0.00,0.00,2066.86,103.37,2170.23,-0.23,2170.00,
"-","-","-","Porvorim Navtara",2020-10-01,"AC",16.00,3,1028.67,0.00,0.00,1028.67,51.44,1080.11,-0.11,1080.00,
"-","-","-","Porvorim Navtara",2020-10-02,"SWIGGY",84.00,37,8419.40,2719.90,0.00,5699.50,284.95,5984.45,-0.45,5984.00,
"-","-","-","Porvorim Navtara",2020-10-02,"NON AC",394.00,95,24277.94,2019.26,0.00,22258.68,1113.14,23371.82,0.18,23372.00,
"-","-","-","Porvorim Navtara",2020-10-02,"TAKE AWAY",316.00,37,14753.83,9258.26,0.00,5495.57,274.84,5770.41,-0.41,5770.00,
"-","-","-","Porvorim Navtara",2020-10-02,"AC",114.00,12,9962.53,0.00,0.00,9962.53,498.17,10460.70,0.30,10461.00,
"-","-","-","Porvorim Navtara",2020-10-02,"ZOMATO",6.00,2,495.26,0.00,0.00,495.26,24.76,520.02,-0.02,520.00,
"-","-","-","Porvorim Navtara",2020-10-03,"NON AC",491.00,106,28345.13,2385.98,0.00,25959.15,1298.11,27257.26,-0.26,27257.00,
"-","-","-","Porvorim Navtara",2020-10-03,"TAKE AWAY",121.00,42,7429.01,933.41,0.00,6495.60,324.83,6820.43,-0.43,6820.00,
"-","-","-","Porvorim Navtara",2020-10-03,"SWIGGY",147.00,55,14381.67,4095.52,0.00,10286.15,514.34,10800.49,-0.49,10800.00,
"-","-","-","Porvorim Navtara",2020-10-03,"AC",80.00,11,6190.95,0.00,0.00,6190.95,309.61,6500.56,0.44,6501.00,
"-","-","-","Porvorim Navtara",2020-10-03,"ZOMATO",34.00,8,3438.28,0.00,0.00,3438.28,171.94,3610.22,-0.22,3610.00,
"-","-","-","Porvorim Navtara",2020-10-03,"NON FOOD",1.00,1,40.00,0.00,0.00,40.00,0.00,40.00,0.00,40.00,
"-","-","-","Porvorim Navtara",2020-10-04,"AC",134.00,9,9810.27,0.00,0.00,9810.27,490.57,10300.84,0.16,10301.00,
"-","-","-","Porvorim Navtara",2020-10-04,"SWIGGY",171.00,58,12705.69,3791.70,0.00,8913.99,445.76,9359.75,0.25,9360.00,
"-","-","-","Porvorim Navtara",2020-10-04,"TAKE AWAY",196.00,66,12296.02,3024.06,0.00,9271.96,463.64,9735.60,0.40,9736.00,
"-","-","-","Porvorim Navtara",2020-10-04,"NON AC",466.00,97,27763.97,2671.73,0.00,25092.24,1254.84,26347.08,-0.08,26347.00,
"-","-","-","Porvorim Navtara",2020-10-04,"ZOMATO",47.00,15,3619.31,0.00,0.00,3619.31,180.99,3800.30,-0.30,3800.00,
"-","-","-","Porvorim Navtara",2020-10-04,"NON FOOD",6.00,2,240.00,0.00,0.00,240.00,0.00,240.00,0.00,240.00,
"-","-","-","Porvorim Navtara",2020-10-05,"SWIGGY",129.00,44,10676.84,2879.35,0.00,7797.49,389.90,8187.39,-0.39,8187.00,
"-","-","-","Porvorim Navtara",2020-10-05,"NON AC",524.00,129,33259.31,1176.35,0.00,32082.96,1604.38,33687.34,-0.34,33687.00,
"-","-","-","Porvorim Navtara",2020-10-05,"TAKE AWAY",113.00,39,6543.38,881.05,0.00,5662.33,283.12,5945.45,-0.45,5945.00,
"-","-","-","Porvorim Navtara",2020-10-05,"ZOMATO",60.00,11,4286.11,0.00,0.00,4286.11,214.33,4500.44,-0.44,4500.00,
"-","-","-","Porvorim Navtara",2020-10-06,"NON AC",315.00,85,19344.03,1062.03,0.00,18282.00,914.21,19196.21,-0.21,19196.00,
"-","-","-","Porvorim Navtara",2020-10-06,"TAKE AWAY",98.00,43,7438.52,790.57,0.00,6647.95,332.44,6980.39,-0.39,6980.00,
"-","-","-","Porvorim Navtara",2020-10-06,"SWIGGY",73.00,30,5809.88,1783.18,0.00,4026.70,201.38,4228.08,-0.08,4228.00,
"-","-","-","Porvorim Navtara",2020-10-06,"ZOMATO",27.00,8,2076.34,0.00,0.00,2076.34,103.83,2180.17,-0.17,2180.00,
"-","-","-","Porvorim Navtara",2020-10-06,"AC",57.00,4,4285.97,0.00,0.00,4285.97,214.35,4500.32,-0.32,4500.00,
"-","-","-","Porvorim Navtara",2020-10-06,"DINE OUT",5.00,1,685.74,0.00,0.00,685.74,34.28,720.02,-0.02,720.00,
"-","-","-","Porvorim Navtara",2020-10-07,"ZOMATO",33.00,9,2962.08,0.00,0.00,2962.08,148.11,3110.19,-0.19,3110.00,
"-","-","-","Porvorim Navtara",2020-10-07,"NON FOOD",1.00,1,40.00,0.00,0.00,40.00,0.00,40.00,0.00,40.00,
"-","-","-","Porvorim Navtara",2020-10-07,"TAKE AWAY",175.00,49,10448.42,1085.83,0.00,9362.59,468.19,9830.78,0.22,9831.00,
"-","-","-","Porvorim Navtara",2020-10-07,"SWIGGY",94.00,39,7419.49,2533.24,0.00,4886.25,244.31,5130.56,0.44,5131.00,
"-","-","-","Porvorim Navtara",2020-10-07,"NON AC",334.00,88,19611.01,1404.89,0.00,18206.12,910.39,19116.51,0.49,19117.00,
"-","-","-","Porvorim Navtara",2020-10-07,"AC",53.00,4,3838.33,0.00,0.00,3838.33,191.96,4030.29,-0.29,4030.00,
"-","-","-","Porvorim Navtara",2020-10-08,"ZOMATO",38.00,10,2695.50,0.00,0.00,2695.50,134.80,2830.30,-0.30,2830.00,
"-","-","-","Porvorim Navtara",2020-10-08,"SWIGGY",108.00,33,9162.37,3076.98,0.00,6085.39,304.24,6389.63,0.37,6390.00,
"-","-","-","Porvorim Navtara",2020-10-08,"TAKE AWAY",150.00,50,11114.87,1457.25,0.00,9657.62,482.92,10140.54,0.46,10141.00,
"-","-","-","Porvorim Navtara",2020-10-08,"NON AC",236.00,71,14763.01,752.46,0.00,14010.55,700.61,14711.16,-0.16,14711.00,
"-","-","-","Porvorim Navtara",2020-10-08,"NON FOOD",3.00,2,120.00,0.00,0.00,120.00,0.00,120.00,0.00,120.00,
"-","-","-","Porvorim Navtara",2020-10-08,"AC",89.00,11,6848.03,0.00,0.00,6848.03,342.42,7190.45,-0.45,7190.00,
"-","-","-","Porvorim Navtara",2020-10-09,"NON AC",341.00,84,18763.32,1257.28,0.00,17506.04,875.42,18381.46,-0.46,18381.00,
"-","-","-","Porvorim Navtara",2020-10-09,"TAKE AWAY",91.00,40,5809.87,871.51,0.00,4938.36,246.96,5185.32,-0.32,5185.00,
"-","-","-","Porvorim Navtara",2020-10-09,"SWIGGY",113.00,45,9314.78,2978.38,0.00,6336.40,316.84,6653.24,-0.24,6653.00,
"-","-","-","Porvorim Navtara",2020-10-09,"ZOMATO",29.00,8,2600.16,0.00,0.00,2600.16,130.01,2730.17,-0.17,2730.00,
"-","-","-","Porvorim Navtara",2020-10-09,"AC",28.00,3,2028.74,752.47,0.00,1276.27,63.83,1340.10,-0.10,1340.00,
