  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Charges,Net Sale,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","-","Baga Navtara",2021-04-01,"SWIGGY",151.00,55,12476.80,2328.04,0.00,10148.76,507.48,10656.24,-0.24,10656.00,
"-","-","-","Baga Navtara",2021-04-01,"NON AC",541.00,83,33802.57,1166.76,0.00,32635.81,1631.98,34267.79,0.21,34268.00,
"-","-","-","Baga Navtara",2021-04-01,"TAKE AWAY",49.00,17,3314.46,161.91,0.00,3152.55,157.60,3310.15,-0.15,3310.00,
"-","-","-","Baga Navtara",2021-04-01,"ZOMATO",79.00,14,7419.39,0.00,0.00,7419.39,371.00,7790.39,-0.39,7790.00,
"-","-","-","Baga Navtara",2021-04-01,"DINE OUT",6.00,1,390.51,195.26,0.00,195.25,9.76,205.01,-0.01,205.00,
"-","-","-","Baga Navtara",2021-04-02,"NON FOOD",5.00,1,200.00,0.00,0.00,200.00,0.00,200.00,0.00,200.00,
"-","-","-","Baga Navtara",2021-04-02,"TAKE AWAY",66.00,20,4038.32,723.86,0.00,3314.46,165.74,3480.20,-0.20,3480.00,
"-","-","-","Baga Navtara",2021-04-02,"NON AC",579.00,89,37269.54,2333.49,0.00,34936.05,1747.00,36683.05,-0.05,36683.00,
"-","-","-","Baga Navtara",2021-04-02,"SWIGGY",123.00,44,11162.54,2332.72,0.00,8829.82,441.50,9271.32,-0.32,9271.00,
"-","-","-","Baga Navtara",2021-04-02,"ZOMATO",60.00,15,5504.99,0.00,0.00,5504.99,275.24,5780.23,-0.23,5780.00,
"-","-","-","Baga Navtara",2021-04-02,"AC",131.00,13,11600.52,964.80,0.00,10635.72,531.79,11167.51,0.49,11168.00,
"-","-","-","Baga Navtara",2021-04-03,"NON AC",616.00,91,42679.50,1123.88,0.00,41555.62,2078.03,43633.65,0.35,43634.00,
"-","-","-","Baga Navtara",2021-04-03,"SWIGGY",141.00,47,13095.84,2563.12,0.00,10532.72,526.68,11059.40,-0.40,11059.00,
"-","-","-","Baga Navtara",2021-04-03,"TAKE AWAY",45.00,17,3438.24,590.52,0.00,2847.72,142.39,2990.11,-0.11,2990.00,
"-","-","-","Baga Navtara",2021-04-03,"ZOMATO",28.00,7,2933.49,0.00,0.00,2933.49,146.67,3080.16,-0.16,3080.00,
"-","-","-","Baga Navtara",2021-04-03,"AC",19.00,1,1628.69,0.00,0.00,1628.69,81.44,1710.13,-0.13,1710.00,
"-","-","-","Baga Navtara",2021-04-04,"NON AC",526.00,69,34002.33,971.53,0.00,33030.80,1651.67,34682.47,-0.47,34682.00,
"-","-","-","Baga Navtara",2021-04-04,"SWIGGY",102.00,31,9619.52,1645.92,0.00,7973.60,398.71,8372.31,-0.31,8372.00,
"-","-","-","Baga Navtara",2021-04-04,"TAKE AWAY",93.00,27,5943.21,861.97,0.00,5081.24,254.09,5335.33,-0.33,5335.00,
"-","-","-","Baga Navtara",2021-04-04,"ZOMATO",37.00,9,3533.56,0.00,0.00,3533.56,176.69,3710.25,-0.25,3710.00,
"-","-","-","Baga Navtara",2021-04-05,"SWIGGY",115.00,34,8029.11,1249.91,0.00,6779.20,339.01,7118.21,-0.21,7118.00,
"-","-","-","Baga Navtara",2021-04-05,"NON AC",452.00,67,27983.01,523.86,0.00,27459.15,1373.22,28832.37,-0.37,28832.00,
"-","-","-","Baga Navtara",2021-04-05,"TAKE AWAY",23.00,9,1447.67,242.87,0.00,1204.80,60.22,1265.02,-0.02,1265.00,
"-","-","-","Baga Navtara",2021-04-05,"ZOMATO",28.00,6,2085.84,0.00,0.00,2085.84,104.31,2190.15,-0.15,2190.00,
"-","-","-","Baga Navtara",2021-04-08,"TAKE AWAY",27.00,16,1771.51,190.50,0.00,1581.01,79.07,1660.08,-0.08,1660.00,
"-","-","-","Baga Navtara",2021-04-08,"SWIGGY",97.00,38,8724.22,1652.39,0.00,7071.83,353.64,7425.47,-0.47,7425.00,
"-","-","-","Baga Navtara",2021-04-08,"NON AC",251.00,43,16191.77,419.09,0.00,15772.68,788.69,16561.37,-0.37,16561.00,
