  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Charges,Net Sale,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","-","Panaji Navtara",2022-10-01,"SWIGGY",409.00,154,36890.73,6785.83,0.00,30104.90,0.00,30104.90,0.10,30105.00,
"-","-","-","Panaji Navtara",2022-10-01,"NON AC",1209.00,256,68754.66,1323.84,0.00,67430.82,3372.46,70803.28,-0.28,70803.00,
"-","-","-","Panaji Navtara",2022-10-01,"ZOMATO",235.00,99,20091.06,4925.78,0.00,15165.28,0.00,15165.28,-0.28,15165.00,
"-","-","-","Panaji Navtara",2022-10-01,"AC",380.00,55,31277.35,0.00,0.00,31277.35,1563.95,32841.30,-0.30,32841.00,
"-","-","-","Panaji Navtara",2022-10-01,"TAKE AWAY",124.00,53,8885.97,0.00,0.00,8885.97,444.41,9330.38,-0.38,9330.00,
"-","-","-","Panaji Navtara",2022-10-02,"ZOMATO",279.00,115,24953.11,6028.66,0.00,18924.45,0.00,18924.45,-0.45,18924.00,
"-","-","-","Panaji Navtara",2022-10-02,"SWIGGY",458.00,151,39463.20,6489.15,0.00,32974.05,0.00,32974.05,-0.05,32974.00,
"-","-","-","Panaji Navtara",2022-10-02,"TAKE AWAY",141.00,44,8514.48,0.00,0.00,8514.48,425.82,8940.30,-0.30,8940.00,
"-","-","-","Panaji Navtara",2022-10-02,"NON AC",1414.00,259,80906.97,0.00,0.00,80906.97,4046.62,84953.59,0.41,84954.00,
"-","-","-","Panaji Navtara",2022-10-02,"AC",421.00,60,33320.55,0.00,0.00,33320.55,1666.09,34986.64,0.36,34987.00,
"-","-","-","Panaji Navtara",2022-10-03,"SWIGGY",457.00,187,40458.24,8465.18,0.00,31993.06,0.00,31993.06,-0.06,31993.00,
"-","-","-","Panaji Navtara",2022-10-03,"ZOMATO",268.00,110,23781.70,5884.42,0.00,17897.28,0.00,17897.28,-0.28,17897.00,
"-","-","-","Panaji Navtara",2022-10-03,"TAKE AWAY",113.00,42,6885.89,0.00,0.00,6885.89,344.37,7230.26,-0.26,7230.00,
"-","-","-","Panaji Navtara",2022-10-03,"AC",505.00,62,42182.62,0.00,0.00,42182.62,2109.30,44291.92,0.08,44292.00,
"-","-","-","Panaji Navtara",2022-10-03,"NON AC",1161.00,237,63192.83,1609.51,0.00,61583.32,3080.21,64663.53,0.47,64664.00,
"-","-","-","Panaji Navtara",2022-10-04,"ZOMATO",196.00,83,16228.91,4055.75,0.00,12173.16,0.00,12173.16,-0.16,12173.00,
