  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Charges,Net Sale,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","-","Khorlim Navtara",2023-10-01,"NON AC",1324.00,227,81041.26,95.24,0.00,80946.02,4048.09,84994.11,-0.11,84994.00,
"-","-","-","Khorlim Navtara",2023-10-01,"ZOMATO",237.00,66,23319.97,2898.58,0.00,20421.39,0.00,20421.39,-0.39,20421.00,
"-","-","-","Khorlim Navtara",2023-10-01,"AC",707.00,75,57065.60,0.00,0.00,57065.60,2853.44,59919.04,-0.04,59919.00,
"-","-","-","Khorlim Navtara",2023-10-01,"TAKE AWAY",140.00,51,13104.98,0.00,0.00,13104.98,655.30,13760.28,-0.28,13760.00,
"-","-","-","Khorlim Navtara",2023-10-01,"SWIGGY",351.00,92,27952.83,4074.66,0.00,23878.17,0.00,23878.17,-0.17,23878.00,
"-","-","-","Khorlim Navtara",2023-10-02,"NON AC",1516.00,245,104678.96,0.00,0.00,104678.96,5234.61,109913.57,0.43,109914.00,
"-","-","-","Khorlim Navtara",2023-10-02,"AC",886.00,100,76230.02,0.00,0.00,76230.02,3811.59,80041.61,0.39,80042.00,
"-","-","-","Khorlim Navtara",2023-10-02,"SWIGGY",350.00,129,32676.28,6446.00,0.00,26230.28,0.00,26230.28,-0.28,26230.00,
"-","-","-","Khorlim Navtara",2023-10-02,"TAKE AWAY",152.00,63,14114.60,0.00,0.00,14114.60,705.72,14820.32,-0.32,14820.00,
"-","-","-","Khorlim Navtara",2023-10-02,"ZOMATO",337.00,105,34591.19,5098.60,0.00,29492.59,0.00,29492.59,0.41,29493.00,
"-","-","-","Khorlim Navtara",2023-10-03,"NON AC",964.00,217,59787.80,0.00,0.00,59787.80,2990.02,62777.82,0.18,62778.00,
"-","-","-","Khorlim Navtara",2023-10-03,"SWIGGY",300.00,115,28918.95,5640.42,0.00,23278.53,0.00,23278.53,0.47,23279.00,
"-","-","-","Khorlim Navtara",2023-10-03,"ZOMATO",205.00,78,19648.87,3358.57,0.00,16290.30,0.00,16290.30,-0.30,16290.00,
"-","-","-","Khorlim Navtara",2023-10-03,"TAKE AWAY",129.00,46,12323.94,0.00,0.00,12323.94,616.19,12940.13,-0.13,12940.00,
