  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Charges,Net Sale,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","-","Panaji Navtara",2024-04-01,"ZOMATO",317.00,123,31053.83,6514.17,0.00,24539.66,0.00,24539.66,0.34,24540.00,
"-","-","-","Panaji Navtara",2024-04-01,"SWIGGY",444.00,182,42679.83,9911.04,0.00,32768.79,0.00,32768.79,0.21,32769.00,
"-","-","-","Panaji Navtara",2024-04-01,"NON AC",1014.00,220,63816.74,180.98,0.00,63635.76,3182.33,66818.09,-0.09,66818.00,
"-","-","-","Panaji Navtara",2024-04-01,"AC",635.00,77,51986.53,0.00,0.00,51986.53,2599.67,54586.20,-0.20,54586.00,
"-","-","-","Panaji Navtara",2024-04-01,"TAKE AWAY",84.00,38,6447.77,0.00,0.00,6447.77,322.35,6770.12,-0.12,6770.00,
"-","-","-","Panaji Navtara",2024-04-02,"SWIGGY",434.00,141,36780.27,8510.02,0.00,28270.25,0.00,28270.25,-0.25,28270.00,
"-","-","-","Panaji Navtara",2024-04-02,"ZOMATO",297.00,113,27488.99,5932.23,0.00,21556.76,0.00,21556.76,0.24,21557.00,
"-","-","-","Panaji Navtara",2024-04-02,"NON AC",906.00,213,54649.93,314.31,0.00,54335.62,2717.41,57053.03,-0.03,57053.00,
"-","-","-","Panaji Navtara",2024-04-02,"TAKE AWAY",98.00,39,6962.18,523.81,0.00,6438.37,322.00,6760.37,-0.37,6760.00,
"-","-","-","Panaji Navtara",2024-04-02,"AC",399.00,52,34562.53,0.00,0.00,34562.53,1728.43,36290.96,0.04,36291.00,
"-","-","-","Panaji Navtara",2024-04-03,"SWIGGY",386.00,140,32127.49,7740.90,0.00,24386.59,0.00,24386.59,0.41,24387.00,
"-","-","-","Panaji Navtara",2024-04-03,"ZOMATO",233.00,88,21169.62,4608.05,0.00,16561.57,0.00,16561.57,0.43,16562.00,
"-","-","-","Panaji Navtara",2024-04-03,"TAKE AWAY",85.00,35,5219.18,0.00,0.00,5219.18,261.01,5480.19,-0.19,5480.00,
"-","-","-","Panaji Navtara",2024-04-03,"NON AC",862.00,194,50768.76,95.25,0.00,50673.51,2534.20,53207.71,0.29,53208.00,
