  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Charges,Net Sale,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","-","Panaji Navtara",2024-10-01,"SWIGGY",560.00,202,54946.00,11391.83,2020.00,43554.17,139.23,45713.40,-0.40,45713.00,
"-","-","-","Panaji Navtara",2024-10-01,"ZOMATO",306.00,107,30209.00,6483.76,1070.00,23725.24,62.23,24857.47,-0.47,24857.00,
"-","-","-","Panaji Navtara",2024-10-01,"NON AC",1028.00,239,62540.03,3933.83,0.00,58606.20,2930.52,61536.72,0.28,61537.00,
"-","-","-","Panaji Navtara",2024-10-01,"TAKE AWAY",108.00,44,8285.94,2057.50,0.00,6228.44,311.43,6539.87,0.13,6540.00,
"-","-","-","Panaji Navtara",2024-10-01,"AC",528.00,58,50600.61,1085.76,0.00,49514.85,2475.78,51990.63,0.37,51991.00,
"-","-","-","Panaji Navtara",2024-10-02,"ZOMATO",372.00,125,35804.00,8073.20,1250.00,27730.80,82.49,29063.29,-0.29,29063.00,
"-","-","-","Panaji Navtara",2024-10-02,"NON AC",1091.00,230,71116.37,4486.34,0.00,66630.03,3331.87,69961.90,0.10,69962.00,
"-","-","-","Panaji Navtara",2024-10-02,"SWIGGY",537.00,151,41284.00,10445.14,1510.00,30838.86,115.49,32464.35,-0.35,32464.00,
"-","-","-","Panaji Navtara",2024-10-02,"TAKE AWAY",388.00,40,17649.25,335.20,0.00,17314.05,865.74,18179.79,0.21,18180.00,
"-","-","-","Panaji Navtara",2024-10-02,"AC",505.00,53,41658.22,1590.00,0.00,40068.22,2003.65,42071.87,0.13,42072.00,
"-","-","-","Panaji Navtara",2024-10-02,"NON FOOD",10.00,1,400.00,0.00,0.00,400.00,0.00,400.00,0.00,400.00,
"-","-","-","Panaji Navtara",2024-10-02,"DINE OUT",6.00,1,704.79,0.00,0.00,704.79,35.23,740.02,-0.02,740.00,
"-","-","-","Panaji Navtara",2024-10-03,"SWIGGY",640.00,200,52650.00,11162.69,2000.00,41487.31,148.25,43635.56,0.44,43636.00,
"-","-","-","Panaji Navtara",2024-10-03,"NON AC",1000.00,242,65301.75,3297.59,0.00,62004.16,3100.55,65104.71,0.29,65105.00,
"-","-","-","Panaji Navtara",2024-10-03,"ZOMATO",332.00,124,32783.00,7498.30,1240.00,25284.70,75.47,26600.17,-0.17,26600.00,
"-","-","-","Panaji Navtara",2024-10-03,"AC",455.00,56,43843.29,1626.00,0.00,42217.29,2111.07,44328.36,-0.36,44328.00,
"-","-","-","Panaji Navtara",2024-10-03,"TAKE AWAY",140.00,43,12047.83,1910.31,0.00,10137.52,506.90,10644.42,-0.42,10644.00,
"-","-","-","Panaji Navtara",2024-10-04,"ZOMATO",251.00,94,26067.00,5665.50,940.00,20401.50,59.63,21401.13,-0.13,21401.00,
"-","-","-","Panaji Navtara",2024-10-04,"NON AC",1096.00,244,69321.46,4336.42,0.00,64985.04,3249.48,68234.52,0.48,68235.00,
