  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Charges,Net Sale,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","-","Khorlim Navtara",2025-04-01,"SWIGGY",406.00,141,44133.00,7524.01,1410.00,36608.99,77.42,38096.41,-0.41,38096.00,
"-","-","-","Khorlim Navtara",2025-04-01,"NON AC",1085.00,217,75195.54,4631.72,0.00,70563.82,3528.36,74092.18,-0.18,74092.00,
"-","-","-","Khorlim Navtara",2025-04-01,"TAKE AWAY",216.00,80,17624.97,1881.67,0.00,15743.30,787.20,16530.50,0.50,16531.00,
"-","-","-","Khorlim Navtara",2025-04-01,"AC",632.00,92,57290.61,371.00,0.00,56919.61,2846.27,59765.88,0.12,59766.00,
"-","-","-","Khorlim Navtara",2025-04-01,"ZOMATO",278.00,90,29699.00,6525.00,900.00,23174.00,56.29,24130.29,-0.29,24130.00,
"-","-","-","Khorlim Navtara",2025-04-02,"ZOMATO",271.00,82,28395.00,6444.10,820.00,21950.90,46.16,22817.06,-0.06,22817.00,
"-","-","-","Khorlim Navtara",2025-04-02,"NON AC",1135.00,232,73479.57,6068.94,0.00,67410.63,3370.87,70781.50,-0.50,70781.00,
"-","-","-","Khorlim Navtara",2025-04-02,"SWIGGY",256.00,98,27997.00,5597.60,980.00,22399.40,55.24,23434.64,0.36,23435.00,
"-","-","-","Khorlim Navtara",2025-04-02,"TAKE AWAY",220.00,53,12743.04,913.38,0.00,11829.66,591.50,12421.16,-0.16,12421.00,
"-","-","-","Khorlim Navtara",2025-04-02,"AC",543.00,86,40500.09,3915.07,0.00,36585.02,1829.58,38414.60,0.40,38415.00,
"-","-","-","Khorlim Navtara",2025-04-02,"NON FOOD",3.00,1,114.27,0.00,0.00,114.27,5.71,119.98,0.02,120.00,
"-","-","-","Khorlim Navtara",2025-04-03,"NON AC",1111.00,243,74095.66,5674.82,0.00,68420.84,3421.37,71842.21,-0.21,71842.00,
"-","-","-","Khorlim Navtara",2025-04-03,"SWIGGY",390.00,149,46956.00,9198.35,1490.00,37757.65,85.50,39333.15,-0.15,39333.00,
"-","-","-","Khorlim Navtara",2025-04-03,"TAKE AWAY",361.00,74,22333.82,954.44,0.00,21379.38,1069.04,22448.42,-0.42,22448.00,
"-","-","-","Khorlim Navtara",2025-04-03,"ZOMATO",221.00,64,22165.00,2674.10,640.00,19490.90,34.90,20165.80,0.20,20166.00,
"-","-","-","Khorlim Navtara",2025-04-03,"AC",511.00,86,46579.29,3447.63,0.00,43131.66,2156.87,45288.53,0.47,45289.00,
"-","-","-","Khorlim Navtara",2025-04-04,"SWIGGY",301.00,103,32101.00,5609.95,1030.00,26491.05,77.37,27598.42,-0.42,27598.00,
"-","-","-","Khorlim Navtara",2025-04-04,"NON AC",966.00,229,62622.11,3976.56,0.00,58645.55,2932.72,61578.27,-0.27,61578.00,
"-","-","-","Khorlim Navtara",2025-04-04,"TAKE AWAY",333.00,64,21753.69,856.77,0.00,20896.92,1044.84,21941.76,0.24,21942.00,
"-","-","-","Khorlim Navtara",2025-04-04,"AC",578.00,75,42947.70,4995.82,0.00,37951.88,1897.84,39849.72,0.28,39850.00,
"-","-","-","Khorlim Navtara",2025-04-04,"ZOMATO",128.00,36,11675.00,1439.90,360.00,10235.10,38.15,10633.25,-0.25,10633.00,
"-","-","-","Khorlim Navtara",2025-04-05,"SWIGGY",400.00,147,45457.00,8480.65,1470.00,36976.35,93.15,38539.50,0.50,38540.00,
"-","-","-","Khorlim Navtara",2025-04-05,"AC",511.00,85,43133.60,4002.75,0.00,39130.85,1956.79,41087.64,0.36,41088.00,
"-","-","-","Khorlim Navtara",2025-04-05,"ZOMATO",181.00,52,15430.00,1946.10,520.00,13483.90,28.90,14032.80,0.20,14033.00,
"-","-","-","Khorlim Navtara",2025-04-05,"NON AC",1106.00,200,76859.00,7648.93,0.00,69210.07,3460.71,72670.78,0.22,72671.00,
"-","-","-","Khorlim Navtara",2025-04-05,"TAKE AWAY",387.00,60,26582.44,770.91,0.00,25811.53,1290.64,27102.17,-0.17,27102.00,
"-","-","-","Khorlim Navtara",2025-04-06,"TAKE AWAY",310.00,91,26325.13,3228.44,0.00,23096.69,1154.91,24251.60,0.40,24252.00,
"-","-","-","Khorlim Navtara",2025-04-06,"NON AC",1186.00,208,80105.05,4744.91,0.00,75360.14,3768.34,79128.48,-0.48,79128.00,
"-","-","-","Khorlim Navtara",2025-04-06,"SWIGGY",593.00,192,55803.00,9857.08,1915.06,45945.92,163.61,48024.59,0.41,48025.00,
"-","-","-","Khorlim Navtara",2025-04-06,"ZOMATO",177.00,51,17022.00,1564.00,510.00,15458.00,25.50,15993.50,0.50,15994.00,
"-","-","-","Khorlim Navtara",2025-04-06,"AC",861.00,120,73887.85,3986.09,0.00,69901.76,3495.53,73397.29,-0.29,73397.00,
"-","-","-","Khorlim Navtara",2025-04-06,"NON FOOD",86.00,1,326.80,0.00,0.00,326.80,16.34,343.14,-0.14,343.00,
"-","-","-","Khorlim Navtara",2025-04-07,"NON AC",1173.00,244,79922.59,4381.85,0.00,75540.74,3777.19,79317.93,0.07,79318.00,
"-","-","-","Khorlim Navtara",2025-04-07,"SWIGGY",369.00,144,45411.00,8500.85,1440.00,36910.15,100.02,38450.17,-0.17,38450.00,
"-","-","-","Khorlim Navtara",2025-04-07,"TAKE AWAY",137.00,54,12866.73,500.25,0.00,12366.48,618.39,12984.87,0.13,12985.00,
"-","-","-","Khorlim Navtara",2025-04-07,"AC",686.00,107,63239.33,5414.86,0.00,57824.47,2891.52,60715.99,0.01,60716.00,
"-","-","-","Khorlim Navtara",2025-04-07,"ZOMATO",161.00,60,18639.00,2826.40,600.00,15812.60,32.38,16444.98,0.02,16445.00,
"-","-","-","Khorlim Navtara",2025-04-08,"SWIGGY",521.00,166,45805.00,9162.87,1660.00,36642.13,125.45,38427.57,0.43,38428.00,
"-","-","-","Khorlim Navtara",2025-04-08,"ZOMATO",277.00,87,30818.00,5503.40,870.00,25314.60,47.85,26232.45,-0.45,26232.00,
"-","-","-","Khorlim Navtara",2025-04-08,"NON AC",1103.00,230,68588.92,3935.08,0.00,64653.84,3232.85,67886.69,0.31,67887.00,
"-","-","-","Khorlim Navtara",2025-04-08,"TAKE AWAY",160.00,71,13524.45,1588.04,0.00,11936.41,596.89,12533.30,-0.30,12533.00,
"-","-","-","Khorlim Navtara",2025-04-08,"AC",656.00,88,57553.93,5013.06,0.00,52540.87,2627.35,55168.22,-0.22,55168.00,
"-","-","-","Khorlim Navtara",2025-04-09,"ZOMATO",252.00,77,26585.00,4907.80,770.00,21677.20,42.24,22489.44,-0.44,22489.00,
"-","-","-","Khorlim Navtara",2025-04-09,"NON AC",902.00,195,52108.57,6192.46,0.00,45916.11,2296.02,48212.13,-0.13,48212.00,
"-","-","-","Khorlim Navtara",2025-04-09,"SWIGGY",243.00,88,23694.00,4609.79,880.00,19084.21,47.08,20011.29,-0.29,20011.00,
"-","-","-","Khorlim Navtara",2025-04-09,"TAKE AWAY",115.00,39,7200.20,1439.25,0.00,5760.95,288.07,6049.02,-0.02,6049.00,
"-","-","-","Khorlim Navtara",2025-04-09,"AC",529.00,82,43215.88,1222.74,0.00,41993.14,2099.87,44093.01,-0.01,44093.00,
"-","-","-","Khorlim Navtara",2025-04-09,"NON FOOD",3.00,1,114.27,0.00,0.00,114.27,5.71,119.98,0.02,120.00,
"-","-","-","Khorlim Navtara",2025-04-10,"ZOMATO",263.00,84,30452.00,5582.70,840.00,24869.30,49.01,25758.31,-0.31,25758.00,
"-","-","-","Khorlim Navtara",2025-04-10,"TAKE AWAY",179.00,64,16012.53,1958.75,0.00,14053.78,702.72,14756.50,0.50,14757.00,
"-","-","-","Khorlim Navtara",2025-04-10,"NON AC",1100.00,235,77874.00,3936.79,0.00,73937.21,3696.95,77634.16,-0.16,77634.00,
"-","-","-","Khorlim Navtara",2025-04-10,"SWIGGY",467.00,167,50174.00,9513.76,1670.00,40660.24,110.78,42441.02,-0.02,42441.00,
"-","-","-","Khorlim Navtara",2025-04-10,"AC",707.00,98,66238.78,6589.26,0.00,59649.52,2982.78,62632.30,-0.30,62632.00,
"-","-","-","Khorlim Navtara",2025-04-11,"SWIGGY",369.00,122,40500.00,6684.24,1220.00,33815.76,85.77,35121.53,0.47,35122.00,
"-","-","-","Khorlim Navtara",2025-04-11,"NON AC",943.00,215,62627.46,5300.76,0.00,57326.70,2866.43,60193.13,-0.13,60193.00,
"-","-","-","Khorlim Navtara",2025-04-11,"TAKE AWAY",173.00,68,13629.83,1655.34,0.00,11974.49,598.74,12573.23,-0.23,12573.00,
"-","-","-","Khorlim Navtara",2025-04-11,"ZOMATO",221.00,68,21041.00,4089.30,680.00,16951.70,35.10,17666.80,0.20,17667.00,
"-","-","-","Khorlim Navtara",2025-04-11,"AC",587.00,91,50625.88,1852.75,0.00,48773.13,2438.94,51212.07,-0.07,51212.00,
"-","-","-","Khorlim Navtara",2025-04-12,"ZOMATO",269.00,86,29549.00,5760.20,860.00,23788.80,49.45,24698.25,-0.25,24698.00,
"-","-","-","Khorlim Navtara",2025-04-12,"NON AC",1118.00,206,78384.77,7654.66,0.00,70730.11,3536.69,74266.80,0.20,74267.00,
"-","-","-","Khorlim Navtara",2025-04-12,"SWIGGY",547.00,177,61734.00,10577.09,1750.00,51156.90,135.74,53042.64,0.36,53043.00,
"-","-","-","Khorlim Navtara",2025-04-12,"TAKE AWAY",162.00,59,12736.53,1210.69,0.00,11525.84,576.33,12102.17,-0.17,12102.00,
"-","-","-","Khorlim Navtara",2025-04-12,"AC",812.00,100,74627.16,2016.46,0.00,72610.70,3630.80,76241.50,0.50,76242.00,
"-","-","-","Khorlim Navtara",2025-04-13,"SWIGGY",404.00,131,40336.00,7569.84,1310.00,32766.16,78.14,34154.30,-0.30,34154.00,
"-","-","-","Khorlim Navtara",2025-04-13,"NON AC",1222.00,217,84075.19,3419.35,0.00,80655.84,4033.08,84688.92,0.08,84689.00,
"-","-","-","Khorlim Navtara",2025-04-13,"TAKE AWAY",203.00,73,12476.91,1240.05,0.00,11236.86,561.88,11798.74,0.26,11799.00,
"-","-","-","Khorlim Navtara",2025-04-13,"ZOMATO",331.00,104,33452.00,7489.90,1040.00,25962.10,56.61,27058.71,0.29,27059.00,
"-","-","-","Khorlim Navtara",2025-04-13,"AC",940.00,98,80436.24,2070.00,0.00,78366.24,3918.58,82284.82,0.18,82285.00,
"-","-","-","Khorlim Navtara",2025-04-14,"SWIGGY",361.00,132,40798.00,7159.31,1310.00,33638.69,76.95,35025.64,0.36,35026.00,
"-","-","-","Khorlim Navtara",2025-04-14,"NON AC",1278.00,247,87204.94,5048.37,0.00,82156.57,4108.08,86264.65,0.35,86265.00,
"-","-","-","Khorlim Navtara",2025-04-14,"TAKE AWAY",225.00,73,19848.93,1457.17,0.00,18391.76,919.61,19311.37,-0.37,19311.00,
"-","-","-","Khorlim Navtara",2025-04-14,"ZOMATO",299.00,97,30293.00,6414.80,960.00,23878.20,60.06,24898.26,-0.26,24898.00,
"-","-","-","Khorlim Navtara",2025-04-14,"AC",670.00,94,66418.27,4033.61,0.00,62384.66,3119.52,65504.18,-0.18,65504.00,
"-","-","-","Khorlim Navtara",2025-04-15,"TAKE AWAY",184.00,75,16143.83,1141.13,0.00,15002.70,750.16,15752.86,0.14,15753.00,
"-","-","-","Khorlim Navtara",2025-04-15,"NON AC",1038.00,226,70957.79,3009.06,0.00,67948.73,3397.64,71346.37,-0.37,71346.00,
"-","-","-","Khorlim Navtara",2025-04-15,"ZOMATO",272.00,78,27769.00,5421.50,780.00,22347.50,44.64,23172.14,-0.14,23172.00,
"-","-","-","Khorlim Navtara",2025-04-15,"SWIGGY",323.00,123,39593.00,6943.26,1230.00,32649.74,61.50,33941.24,-0.24,33941.00,
"-","-","-","Khorlim Navtara",2025-04-15,"AC",730.00,95,71500.14,6172.68,0.00,65327.46,3266.57,68594.03,-0.03,68594.00,
"-","-","-","Khorlim Navtara",2025-04-16,"ZOMATO",187.00,62,18796.00,3722.60,620.00,15073.40,40.30,15733.70,0.30,15734.00,
"-","-","-","Khorlim Navtara",2025-04-16,"NON AC",927.00,207,61582.48,3758.93,0.00,57823.55,2891.47,60715.02,-0.02,60715.00,
"-","-","-","Khorlim Navtara",2025-04-16,"SWIGGY",305.00,128,37404.00,7495.53,1280.00,29908.47,73.85,31262.32,-0.32,31262.00,
"-","-","-","Khorlim Navtara",2025-04-16,"TAKE AWAY",116.00,55,10181.56,1393.61,0.00,8787.95,439.40,9227.35,-0.35,9227.00,
"-","-","-","Khorlim Navtara",2025-04-16,"AC",557.00,86,53459.87,6871.14,0.00,46588.73,2329.65,48918.38,-0.38,48918.00,
