  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Charges,Net Sale,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","-","Baga Navtara",2025-05-01,"NON AC",314.00,63,24455.74,1542.37,0.00,22913.37,1145.78,24059.15,-0.15,24059.00,
"-","-","-","Baga Navtara",2025-05-01,"ZOMATO",209.00,55,20195.20,4530.87,550.00,15664.33,55.41,16269.74,0.26,16270.00,
"-","-","-","Baga Navtara",2025-05-01,"SWIGGY",409.00,116,40491.00,7727.48,1160.00,32763.52,108.23,34031.75,0.25,34032.00,
"-","-","-","Baga Navtara",2025-05-01,"TAKE AWAY",56.00,24,4557.84,634.02,0.00,3923.82,196.22,4120.04,-0.04,4120.00,
"-","-","-","Baga Navtara",2025-05-01,"AC",291.00,25,32006.29,1464.00,0.00,30542.29,1527.14,32069.43,-0.43,32069.00,
"-","-","-","Baga Navtara",2025-05-02,"SWIGGY",256.00,85,27914.00,5479.08,850.00,22434.92,70.59,23355.51,0.49,23356.00,
"-","-","-","Baga Navtara",2025-05-02,"NON AC",383.00,74,32649.58,1051.04,0.00,31598.54,1580.12,33178.66,0.34,33179.00,
"-","-","-","Baga Navtara",2025-05-02,"TAKE AWAY",55.00,16,4705.55,596.73,0.00,4108.82,205.45,4314.27,-0.27,4314.00,
"-","-","-","Baga Navtara",2025-05-02,"ZOMATO",145.00,38,15695.46,2794.51,380.00,12900.96,19.00,13299.96,0.04,13300.00,
"-","-","-","Baga Navtara",2025-05-02,"AC",370.00,33,39278.45,2052.00,0.00,37226.45,1861.40,39087.85,0.15,39088.00,
"-","-","-","Baga Navtara",2025-05-03,"ZOMATO",152.00,40,17003.61,3404.89,400.00,13598.73,28.90,14027.63,0.38,14028.00,
"-","-","-","Baga Navtara",2025-05-03,"NON AC",435.00,75,34402.72,1864.57,0.00,32538.15,1627.12,34165.27,-0.27,34165.00,
"-","-","-","Baga Navtara",2025-05-03,"TAKE AWAY",30.00,18,2219.04,516.42,0.00,1702.62,85.13,1787.75,0.25,1788.00,
"-","-","-","Baga Navtara",2025-05-03,"SWIGGY",345.00,109,37930.00,7121.49,1080.00,30808.51,76.49,31965.00,-0.00,31965.00,
"-","-","-","Baga Navtara",2025-05-03,"AC",261.00,27,27829.39,1543.43,0.00,26285.96,1314.36,27600.32,-0.32,27600.00,
"-","-","-","Baga Navtara",2025-05-04,"SWIGGY",306.00,98,32164.00,6893.24,970.00,25270.76,74.72,26315.48,-0.48,26315.00,
"-","-","-","Baga Navtara",2025-05-04,"NON AC",388.00,69,31093.30,1572.81,0.00,29520.49,1476.19,30996.68,0.32,30997.00,
"-","-","-","Baga Navtara",2025-05-04,"ZOMATO",166.00,48,16058.03,3317.63,480.00,12740.40,35.16,13255.56,0.44,13256.00,
"-","-","-","Baga Navtara",2025-05-04,"TAKE AWAY",52.00,22,4386.01,462.00,0.00,3924.01,196.24,4120.25,-0.25,4120.00,
"-","-","-","Baga Navtara",2025-05-04,"AC",248.00,28,25165.25,763.56,0.00,24401.69,1220.14,25621.83,0.17,25622.00,
"-","-","-","Baga Navtara",2025-05-05,"NON AC",329.00,67,29753.02,2401.00,0.00,27352.02,1367.71,28719.73,0.27,28720.00,
"-","-","-","Baga Navtara",2025-05-05,"ZOMATO",147.00,44,13628.33,3526.30,440.00,10102.03,28.34,10570.37,-0.37,10570.00,
"-","-","-","Baga Navtara",2025-05-05,"SWIGGY",341.00,94,30571.00,5602.54,930.00,24968.46,75.52,25973.98,0.02,25974.00,
"-","-","-","Baga Navtara",2025-05-05,"TAKE AWAY",36.00,16,2487.60,283.76,0.00,2203.84,110.20,2314.04,-0.04,2314.00,
"-","-","-","Baga Navtara",2025-05-05,"AC",199.00,22,21185.57,1293.10,0.00,19892.47,994.59,20887.06,-0.06,20887.00,
