Year,Month,Date,Category,Sub-Category,Super-Sub-Category,Location,Amount
2022,January,01-01-2022,Revenue,Sales,AC,Baga,949816.05
2022,January,01-01-2022,Revenue,Sales,Non AC,Baga,2137086.11
2022,January,01-01-2022,Revenue,Sales,Swiggy,Baga,712362.04
2022,January,01-01-2022,Revenue,Sales,Zomato,Baga,712362.04
2022,January,01-01-2022,Revenue,Sales,Takeaway,Baga,237454.01
2022,January,01-01-2022,Food Cost,Bakery,,Baga,80266.24
2022,January,01-01-2022,Food Cost,Beverages,,Baga,112363.09
2022,January,01-01-2022,Food Cost,Fruits,,Baga,151001.64
2022,January,01-01-2022,Food Cost,Groceries,,Baga,489726.92
2022,January,01-01-2022,Food Cost,Milk products,,Baga,197371.51
2022,January,01-01-2022,Food Cost,Spices,,Baga,145230.84
2022,January,01-01-2022,Food Cost,Vegetables,,Baga,278589.41
2022,January,01-01-2022,Food Cost,Ready to eat,,Baga,109255.32
2022,January,01-01-2022,Operating Cost,Salaries,,Baga,494671.09
2022,January,01-01-2022,Operating Cost,Rent,,Baga,191918.36
2022,January,01-01-2022,Operating Cost,Water,,Baga,47490.8
2022,January,01-01-2022,Operating Cost,Electricity,,Baga,94981.6
2022,January,01-01-2022,Operating Cost,Staff room rent,,Baga,28787.48
2022,January,01-01-2022,Operating Cost,Staff electricity,,Baga,15110.74
2022,January,01-01-2022,Operating Cost,Commission,,Baga,397346.47
2022,January,01-01-2022,Operating Cost,Admin expenses,,Baga,613235.75
2022,January,01-01-2022,Operating Cost,Repairs and maintenance,,Baga,42976.86
2022,January,01-01-2022,Operating Cost,Advertisement,,Baga,47490.8
2022,January,01-01-2022,Revenue,Sales,AC,KTC,916491.66
2022,January,01-01-2022,Revenue,Sales,Non AC,KTC,2062106.23
2022,January,01-01-2022,Revenue,Sales,Swiggy,KTC,687368.74
2022,January,01-01-2022,Revenue,Sales,Zomato,KTC,687368.74
2022,January,01-01-2022,Revenue,Sales,Takeaway,KTC,229122.91
2022,January,01-01-2022,Food Cost,Bakery,,KTC,74344.45
2022,January,01-01-2022,Food Cost,Beverages,,KTC,94845.29
2022,January,01-01-2022,Food Cost,Fruits,,KTC,141489.97
2022,January,01-01-2022,Food Cost,Groceries,,KTC,491822.59
2022,January,01-01-2022,Food Cost,Milk products,,KTC,204197.55
2022,January,01-01-2022,Food Cost,Spices,,KTC,173454.11
2022,January,01-01-2022,Food Cost,Vegetables,,KTC,238272.88
2022,January,01-01-2022,Food Cost,Ready to eat,,KTC,103431.45
2022,January,01-01-2022,Operating Cost,Salaries,,KTC,466715.55
2022,January,01-01-2022,Operating Cost,Rent,,KTC,187555.47
2022,January,01-01-2022,Operating Cost,Water,,KTC,45824.58
2022,January,01-01-2022,Operating Cost,Electricity,,KTC,91649.17
2022,January,01-01-2022,Operating Cost,Staff room rent,,KTC,24402.77
2022,January,01-01-2022,Operating Cost,Staff electricity,,KTC,18095.6
2022,January,01-01-2022,Operating Cost,Commission,,KTC,455096.03
2022,January,01-01-2022,Operating Cost,Admin expenses,,KTC,661028.41
2022,January,01-01-2022,Operating Cost,Repairs and maintenance,,KTC,39451.43
2022,January,01-01-2022,Operating Cost,Advertisement,,KTC,45824.58
2022,January,01-01-2022,Revenue,Sales,AC,Khorlim,1073693.21
2022,January,01-01-2022,Revenue,Sales,Non AC,Khorlim,2415809.72
2022,January,01-01-2022,Revenue,Sales,Swiggy,Khorlim,805269.91
2022,January,01-01-2022,Revenue,Sales,Zomato,Khorlim,805269.91
2022,January,01-01-2022,Revenue,Sales,Takeaway,Khorlim,268423.3
2022,January,01-01-2022,Food Cost,Bakery,,Khorlim,85252.88
2022,January,01-01-2022,Food Cost,Beverages,,Khorlim,110645.11
2022,January,01-01-2022,Food Cost,Fruits,,Khorlim,169029
2022,January,01-01-2022,Food Cost,Groceries,,Khorlim,540538.88
2022,January,01-01-2022,Food Cost,Milk products,,Khorlim,263555.2
2022,January,01-01-2022,Food Cost,Spices,,Khorlim,174946.5
2022,January,01-01-2022,Food Cost,Vegetables,,Khorlim,303990.59
2022,January,01-01-2022,Food Cost,Ready to eat,,Khorlim,115736.37
2022,January,01-01-2022,Operating Cost,Salaries,,Khorlim,539001.3
2022,January,01-01-2022,Operating Cost,Rent,,Khorlim,273438.55
2022,January,01-01-2022,Operating Cost,Water,,Khorlim,53684.66
2022,January,01-01-2022,Operating Cost,Electricity,,Khorlim,107369.32
2022,January,01-01-2022,Operating Cost,Staff room rent,,Khorlim,47648.7
2022,January,01-01-2022,Operating Cost,Staff electricity,,Khorlim,21149.07
2022,January,01-01-2022,Operating Cost,Commission,,Khorlim,525554.29
2022,January,01-01-2022,Operating Cost,Admin expenses,,Khorlim,740510.1
2022,January,01-01-2022,Operating Cost,Repairs and maintenance,,Khorlim,52845.83
2022,January,01-01-2022,Operating Cost,Advertisement,,Khorlim,53684.66
2022,January,01-01-2022,Revenue,Sales,AC,Panaji,878393.14
2022,January,01-01-2022,Revenue,Sales,Non AC,Panaji,1976384.58
2022,January,01-01-2022,Revenue,Sales,Swiggy,Panaji,658794.86
2022,January,01-01-2022,Revenue,Sales,Zomato,Panaji,658794.86
2022,January,01-01-2022,Revenue,Sales,Takeaway,Panaji,219598.29
2022,January,01-01-2022,Food Cost,Bakery,,Panaji,66276.76
2022,January,01-01-2022,Food Cost,Beverages,,Panaji,94983.51
2022,January,01-01-2022,Food Cost,Fruits,,Panaji,136880.14
2022,January,01-01-2022,Food Cost,Groceries,,Panaji,463031.69
2022,January,01-01-2022,Food Cost,Milk products,,Panaji,212076.5
2022,January,01-01-2022,Food Cost,Spices,,Panaji,147427.46
2022,January,01-01-2022,Food Cost,Vegetables,,Panaji,231936.83
2022,January,01-01-2022,Food Cost,Ready to eat,,Panaji,99756.83
2022,January,01-01-2022,Operating Cost,Salaries,,Panaji,407655.6
2022,January,01-01-2022,Operating Cost,Rent,,Panaji,246143.06
2022,January,01-01-2022,Operating Cost,Water,,Panaji,43919.66
2022,January,01-01-2022,Operating Cost,Electricity,,Panaji,87839.31
2022,January,01-01-2022,Operating Cost,Staff room rent,,Panaji,38918.19
2022,January,01-01-2022,Operating Cost,Staff electricity,,Panaji,14048.65
2022,January,01-01-2022,Operating Cost,Commission,,Panaji,351842.32
2022,January,01-01-2022,Operating Cost,Admin expenses,,Panaji,634480.25
2022,January,01-01-2022,Operating Cost,Repairs and maintenance,,Panaji,41344.71
2022,January,01-01-2022,Operating Cost,Advertisement,,Panaji,43919.66
2022,January,01-01-2022,Revenue,Sales,AC,Porvorim,1108508.14
2022,January,01-01-2022,Revenue,Sales,Non AC,Porvorim,2494143.31
2022,January,01-01-2022,Revenue,Sales,Swiggy,Porvorim,831381.1
2022,January,01-01-2022,Revenue,Sales,Zomato,Porvorim,831381.1
2022,January,01-01-2022,Revenue,Sales,Takeaway,Porvorim,277127.03
2022,January,01-01-2022,Food Cost,Bakery,,Porvorim,83958.9
2022,January,01-01-2022,Food Cost,Beverages,,Porvorim,120784.87
2022,January,01-01-2022,Food Cost,Fruits,,Porvorim,168202.85
2022,January,01-01-2022,Food Cost,Groceries,,Porvorim,649929.79
2022,January,01-01-2022,Food Cost,Milk products,,Porvorim,256248.18
2022,January,01-01-2022,Food Cost,Spices,,Porvorim,184616.38
2022,January,01-01-2022,Food Cost,Vegetables,,Porvorim,280649.78
2022,January,01-01-2022,Food Cost,Ready to eat,,Porvorim,119468.97
