Baga Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.04.01--2025.04.30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-12 11:57:46 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Baga Navtara,25-26/T1-2,-,203133582719237,2025-04-09,07:30:12 AM,07:51:21 AM,08:33:10 AM,SWIGGY,NA,-,278.00,60.00,218.00,228.50,10.00,0.25,0.25,109.00,109.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,229.00,0,-,
Baga Navtara,25-26/T1-4,-,203133937389888,2025-04-09,07:37:12 AM,07:44:07 AM,08:33:15 AM,SWIGGY,NA,-,354.00,74.99,279.01,289.51,10.00,0.25,0.25,0,279.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,290.00,0,-,
Baga Navtara,25-26/T1-7,-,203135511634033,2025-04-09,08:02:12 AM,08:08:39 AM,09:59:33 AM,SWIGGY,NA,-,188.00,56.40,131.60,142.10,10.00,0.25,0.25,0,131.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,142.00,0,-,
Baga Navtara,25-26/T1-9,-,203136325440620,2025-04-09,08:16:13 AM,08:28:24 AM,09:59:44 AM,SWIGGY,NA,-,256.00,60.00,196.00,206.50,10.00,0.25,0.25,0,196.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,207.00,0,-,
Baga Navtara,25-26/T1-11,-,203137641800330,2025-04-09,08:38:13 AM,08:58:39 AM,09:59:49 AM,SWIGGY,NA,-,336.00,75.00,261.00,271.50,10.00,0.25,0.25,0,261.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,272.00,0,-,
Baga Navtara,25-26/T1-12,-,203137977808615,2025-04-09,08:43:14 AM,09:06:19 AM,09:59:55 AM,SWIGGY,NA,-,195.00,58.50,136.50,153.83,10.00,0.25,0.25,0,136.50,3.42,3.42,0,0.00,0.17,0,0,0,0,0,0,0,154.00,0,-,
Baga Navtara,25-26/T1-13,-,203138142101823,2025-04-09,08:46:14 AM,08:55:01 AM,10:00:00 AM,SWIGGY,NA,-,216.00,59.99,156.01,166.51,10.00,0.25,0.25,70.78,85.23,0,0,0,0.00,0.49,0,0,0,0,0,0,0,167.00,0,-,
Baga Navtara,25-26/T1-14,-,203138224518642,2025-04-09,08:47:13 AM,09:02:46 AM,10:00:06 AM,SWIGGY,NA,-,622.00,99.99,522.01,532.51,10.00,0.25,0.25,205.61,316.40,0,0,0,0.00,0.49,0,0,0,0,0,0,0,533.00,0,-,
Baga Navtara,25-26/T1-15,-,203138389493089,2025-04-09,08:51:13 AM,09:06:03 AM,10:00:11 AM,SWIGGY,NA,-,196.00,58.80,137.20,150.43,10.00,0.25,0.25,34.30,102.90,1.36,1.36,0,0.00,-0.43,0,0,0,0,0,0,0,150.00,0,-,
Baga Navtara,25-26/T1-16,-,203138426043660,2025-04-09,08:51:14 AM,09:05:44 AM,10:00:16 AM,SWIGGY,NA,-,465.00,99.99,365.01,375.51,10.00,0.25,0.25,0,365.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,376.00,0,-,
