KTC Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.04.01--2025.04.30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-12 11:58:35 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
KTC Navtara,25-26/T1-2,-,203132404588542,2025-04-09,07:11:41 AM,07:24:54 AM,07:45:55 AM,SWIGGY,NA,-,406.00,75.00,331.00,346.76,10.00,0.25,0.25,0,331.00,2.63,2.63,0,0.00,0.24,0,0,0,0,0,0,0,347.00,0,-,
KTC Navtara,25-26/T1-5,-,203133401098404,2025-04-09,07:27:40 AM,07:39:11 AM,07:46:01 AM,SWIGGY,NA,-,276.00,59.99,216.00,226.50,10.00,0.25,0.25,45.39,170.61,0,0,0,0.00,0.50,0,0,0,0,0,0,0,227.00,0,-,
KTC Navtara,25-26/T1-7,-,203133693248401,2025-04-09,07:32:40 AM,07:45:01 AM,08:06:08 AM,SWIGGY,NA,-,285.00,59.99,225.00,235.50,10.00,0.25,0.25,0,225.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,236.00,0,-,
KTC Navtara,25-26/T1-8,-,203134465187009,2025-04-09,07:45:40 AM,07:57:09 AM,08:06:12 AM,SWIGGY,NA,-,405.00,74.99,330.01,340.51,10.00,0.25,0.25,0,330.02,0,0,0,0.00,0.49,0,0,0,0,0,0,0,341.00,0,-,
KTC Navtara,25-26/T1-11,-,203135177631478,2025-04-09,07:57:40 AM,08:11:03 AM,08:14:05 AM,SWIGGY,NA,-,227.00,0.00,227.00,237.50,10.00,0.25,0.25,0,227.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,238.00,0,-,
KTC Navtara,25-26/T1-14,-,203136138310719,2025-04-09,08:13:40 AM,08:22:41 AM,09:43:14 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
KTC Navtara,25-26/T1-18,-,203139326850824,2025-04-09,09:06:41 AM,09:17:24 AM,09:43:18 AM,SWIGGY,NA,-,347.00,62.49,284.50,300.30,10.00,0.25,0.25,0,284.51,2.65,2.65,0,0.00,-0.30,0,0,0,0,0,0,0,300.00,0,-,
KTC Navtara,25-26/T1-20,-,203139651380882,2025-04-09,09:12:42 AM,09:20:55 AM,09:43:23 AM,SWIGGY,NA,-,218.00,0.00,218.00,228.50,10.00,0.25,0.25,0,218.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,229.00,0,-,
KTC Navtara,25-26/T1-22,-,203140035359041,2025-04-09,09:17:42 AM,09:34:12 AM,09:43:27 AM,SWIGGY,NA,-,217.00,59.99,157.00,167.50,10.00,0.25,0.25,0,157.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,168.00,0,-,
KTC Navtara,25-26/T1-23,-,203140142792549,2025-04-09,09:19:42 AM,09:37:43 AM,09:43:31 AM,SWIGGY,NA,-,187.00,56.10,130.90,141.40,10.00,0.25,0.25,0,130.90,0,0,0,0.00,-0.40,0,0,0,0,0,0,0,141.00,0,-,
