Khorlim Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.04.01--2025.04.30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-12 11:58:05 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Khorlim Navtara,25-26/T1-3,-,203133805967764,2025-04-09,07:34:38 AM,07:50:48 AM,08:11:08 AM,SWIGGY,NA,-,79.00,0.00,79.00,89.50,10.00,0.25,0.25,0,79.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,90.00,0,-,
Khorlim Navtara,25-26/T1-6,-,203134827293226,2025-04-09,07:51:39 AM,07:59:44 AM,08:23:02 AM,SWIGGY,NA,-,326.00,62.49,263.50,274.00,10.00,0.25,0.25,0,263.50,0,0,0,0.00,-0.00,0,0,0,0,0,0,0,274.00,0,-,
Khorlim Navtara,25-26/T1-10,-,203135650526457,2025-04-09,08:04:39 AM,08:20:23 AM,08:48:26 AM,SWIGGY,NA,-,324.00,0.00,324.00,334.50,10.00,0.25,0.25,0,324.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,335.00,0,-,
Khorlim Navtara,25-26/T1-13,-,203135702238229,2025-04-09,08:05:39 AM,08:29:02 AM,08:48:29 AM,SWIGGY,NA,-,256.00,59.99,196.01,206.51,10.00,0.25,0.25,98.77,97.24,0,0,0,0.00,0.49,0,0,0,0,0,0,0,207.00,0,-,
Khorlim Navtara,25-26/T1-14,-,203135867871774,2025-04-09,08:08:39 AM,08:34:15 AM,08:48:32 AM,SWIGGY,NA,-,188.00,56.40,131.60,142.10,10.00,0.25,0.25,0,131.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,142.00,0,-,
Khorlim Navtara,25-26/T1-15,-,203135968870698,2025-04-09,08:09:39 AM,08:28:52 AM,08:48:36 AM,SWIGGY,NA,-,605.00,87.49,517.51,528.01,10.00,0.25,0.25,127.45,390.06,0,0,0,0.00,-0.01,0,0,0,0,0,0,0,528.00,0,-,
Khorlim Navtara,25-26/T1-16,-,203135919732145,2025-04-09,08:09:40 AM,08:34:20 AM,08:48:46 AM,SWIGGY,NA,-,257.00,59.99,197.01,207.51,10.00,0.25,0.25,0,197.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,208.00,0,-,
Khorlim Navtara,25-26/T1-17,-,203136175388545,2025-04-09,08:13:39 AM,08:43:35 AM,08:48:49 AM,SWIGGY,NA,-,217.00,59.99,157.01,167.51,10.00,0.25,0.25,0,157.00,0,0,0,0.00,0.49,0,0,0,0,0,0,0,168.00,0,-,
Khorlim Navtara,25-26/T1-19,-,203136974561555,2025-04-09,08:26:39 AM,08:38:17 AM,09:15:47 AM,SWIGGY,NA,-,633.00,87.50,545.50,556.00,10.00,0.25,0.25,0,545.50,0,0,0,0.00,-0.00,0,0,0,0,0,0,0,556.00,0,-,
Khorlim Navtara,25-26/T1-21,-,203137246789332,2025-04-09,08:31:39 AM,08:43:43 AM,09:15:50 AM,SWIGGY,NA,-,216.00,60.00,156.00,166.50,10.00,0.25,0.25,0,156.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,167.00,0,-,
Khorlim Navtara,25-26/T1-26,-,203140120305587,2025-04-09,09:18:54 AM,09:54:40 AM,09:59:56 AM,SWIGGY,NA,-,188.00,56.40,131.60,142.10,10.00,0.25,0.25,0,131.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,142.00,0,-,
Khorlim Navtara,25-26/T1-27,-,203140296195747,2025-04-09,09:21:43 AM,09:45:49 AM,10:12:19 AM,SWIGGY,NA,-,298.00,60.00,238.00,248.50,10.00,0.25,0.25,0,238.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,249.00,0,-,
