Margao Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.04.01--2025.04.30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-12 11:58:40 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Margao Navtara,25-26/T1-1,-,203132202692903,2025-04-09,07:07:17 AM,07:25:09 AM,08:03:22 AM,SWIGGY,NA,-,307.00,0.00,307.00,317.50,10.00,0.25,0.25,0,307.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,318.00,0,-,
Margao Navtara,25-26/T1-6,-,203132629619773,2025-04-09,07:14:18 AM,07:28:27 AM,07:39:52 AM,SWIGGY,NA,-,129.00,0.00,129.00,139.50,10.00,0.25,0.25,0,129.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,140.00,0,-,
Margao Navtara,25-26/T1-9,-,203133488049596,2025-04-09,07:28:17 AM,07:44:59 AM,08:03:29 AM,SWIGGY,NA,-,594.00,99.99,494.01,504.51,10.00,0.25,0.25,0,494.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,505.00,0,-,
Margao Navtara,25-26/T1-10,-,203133508456134,2025-04-09,07:28:18 AM,07:44:42 AM,08:03:35 AM,SWIGGY,NA,-,109.00,0.00,109.00,119.50,10.00,0.25,0.25,0,109.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,120.00,0,-,
Margao Navtara,25-26/T1-12,-,203133964279099,2025-04-09,07:37:17 AM,07:54:17 AM,08:15:44 AM,SWIGGY,NA,-,216.00,60.00,156.00,166.50,10.00,0.25,0.25,0,156.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,167.00,0,-,
Margao Navtara,25-26/T1-15,-,203134853844646,2025-04-09,07:51:18 AM,08:08:48 AM,08:25:47 AM,SWIGGY,NA,-,218.00,59.99,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Margao Navtara,25-26/T1-16,-,203135047413592,2025-04-09,07:54:18 AM,08:14:04 AM,08:32:03 AM,SWIGGY,NA,-,214.00,0.00,214.00,227.40,10.00,0.25,0.25,0,214.00,1.45,1.45,0,0.00,-0.40,0,0,0,0,0,0,0,227.00,0,-,
Margao Navtara,25-26/T1-17,-,203135125961847,2025-04-09,07:55:18 AM,08:13:48 AM,08:31:56 AM,SWIGGY,NA,-,207.00,59.99,147.00,158.53,10.00,0.25,0.25,0,147.00,0.52,0.52,0,0.00,0.47,0,0,0,0,0,0,0,159.00,0,-,
Margao Navtara,25-26/T1-19,-,203135278238848,2025-04-09,07:58:18 AM,08:07:53 AM,08:32:07 AM,SWIGGY,NA,-,234.00,60.00,174.00,184.50,10.00,0.25,0.25,0,174.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,185.00,0,-,
Margao Navtara,25-26/T1-24,-,203136763488083,2025-04-09,08:22:18 AM,08:45:05 AM,09:07:14 AM,SWIGGY,NA,-,732.00,99.99,632.01,653.65,10.00,0.25,0.25,84.61,547.39,5.57,5.57,0,0.00,0.35,0,0,0,0,0,0,0,654.00,0,-,
