Panaji Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.04.01--2025.04.30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-12 11:58:10 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Panaji Navtara,25-26/T1-1,-,203219459104691,2025-04-10,07:21:50 AM,08:12:07 AM,09:05:19 AM,SWIGGY,NA,-,198.00,59.40,138.60,149.10,10.00,0.25,0.25,0,138.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,149.00,0,-,
Panaji Navtara,25-26/T1-4,-,203220689869293,2025-04-10,07:41:51 AM,08:27:43 AM,09:32:50 AM,SWIGGY,NA,-,208.00,59.99,148.00,158.50,10.00,0.25,0.25,0,148.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,159.00,0,-,
Panaji Navtara,25-26/T1-8,-,203221737854876,2025-04-10,07:59:51 AM,08:47:41 AM,09:32:55 AM,SWIGGY,NA,-,396.00,74.99,321.01,331.51,10.00,0.25,0.25,0,321.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,332.00,0,-,
Panaji Navtara,25-26/T1-9,-,203221793786556,2025-04-10,08:00:51 AM,08:36:18 AM,09:33:05 AM,SWIGGY,NA,-,930.00,116.25,813.75,824.25,10.00,0.25,0.25,0,813.74,0,0,0,0.00,-0.25,0,0,0,0,0,0,0,824.00,0,-,
Panaji Navtara,25-26/T1-11,-,203222040925077,2025-04-10,08:04:51 AM,08:23:24 AM,09:33:01 AM,SWIGGY,NA,-,278.00,59.99,218.00,228.50,10.00,0.25,0.25,101.16,116.84,0,0,0,0.00,0.50,0,0,0,0,0,0,0,229.00,0,-,
Panaji Navtara,25-26/T1-13,-,203222711719073,2025-04-10,08:16:52 AM,08:31:42 AM,09:33:09 AM,SWIGGY,NA,-,188.00,56.40,131.60,142.10,10.00,0.25,0.25,0,131.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,142.00,0,-,
Panaji Navtara,25-26/T1-14,-,203222934208260,2025-04-10,08:19:52 AM,08:32:25 AM,09:33:14 AM,SWIGGY,NA,-,248.00,59.99,188.00,198.50,10.00,0.25,0.25,0,188.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,199.00,0,-,
Panaji Navtara,25-26/T1-15,-,203223056679567,2025-04-10,08:21:52 AM,08:31:09 AM,09:33:18 AM,SWIGGY,NA,-,156.00,0.00,156.00,166.50,10.00,0.25,0.25,0,156.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,167.00,0,-,
Panaji Navtara,25-26/T1-16,-,203223473598234,2025-04-10,08:28:32 AM,08:59:51 AM,09:33:24 AM,SWIGGY,NA,-,545.00,0.00,545.00,555.50,10.00,0.25,0.25,0,545.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,556.00,0,-,
Panaji Navtara,25-26/T1-19,-,203224403251293,2025-04-10,08:43:32 AM,09:05:11 AM,09:33:30 AM,SWIGGY,NA,-,208.00,59.99,148.00,158.50,10.00,0.25,0.25,0,148.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,159.00,0,-,
Panaji Navtara,25-26/T1-21,-,203224770939159,2025-04-10,08:50:32 AM,09:25:17 AM,09:33:36 AM,SWIGGY,NA,-,227.00,59.99,167.00,177.50,10.00,0.25,0.25,0,167.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,178.00,0,-,
Panaji Navtara,25-26/T1-24,-,203225351776943,2025-04-10,08:59:32 AM,09:07:52 AM,09:33:41 AM,SWIGGY,NA,-,217.00,59.99,157.01,167.51,10.00,0.25,0.25,0,157.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,168.00,0,-,
Panaji Navtara,25-26/T1-26,-,203225523015792,2025-04-10,09:02:32 AM,09:32:39 AM,09:36:03 AM,SWIGGY,NA,-,356.00,75.00,281.00,291.50,10.00,0.25,0.25,0,281.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,292.00,0,-,
Panaji Navtara,25-26/T1-30,-,203225994700780,2025-04-10,09:11:32 AM,09:35:46 AM,10:55:30 AM,SWIGGY,NA,-,228.00,59.99,168.00,178.50,10.00,0.25,0.25,0,168.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,179.00,0,-,
Panaji Navtara,25-26/T1-31,-,203226098042051,2025-04-10,09:12:32 AM,09:39:59 AM,10:55:36 AM,SWIGGY,NA,-,255.00,59.99,195.01,207.73,10.00,0.25,0.25,0,195.01,1.11,1.11,0,0.00,0.27,0,0,0,0,0,0,0,208.00,0,-,
Panaji Navtara,25-26/T1-32,-,203226231542779,2025-04-10,09:14:32 AM,09:25:35 AM,10:55:43 AM,SWIGGY,NA,-,330.00,0.00,330.00,340.50,10.00,0.25,0.25,0,330.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,341.00,0,-,
Panaji Navtara,25-26/T1-35,-,203227582132559,2025-04-10,09:36:33 AM,10:11:30 AM,10:55:51 AM,SWIGGY,NA,-,327.00,0.00,327.00,337.50,10.00,0.25,0.25,0,327.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,338.00,0,-,
Panaji Navtara,25-26/T1-37,-,203227963073022,2025-04-10,09:43:32 AM,10:13:14 AM,10:56:00 AM,SWIGGY,NA,-,258.00,60.00,198.00,208.50,10.00,0.25,0.25,0,198.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,209.00,0,-,
Panaji Navtara,25-26/T1-38,-,203228164506144,2025-04-10,09:46:32 AM,10:13:24 AM,10:55:56 AM,SWIGGY,NA,-,198.00,59.40,138.60,149.10,10.00,0.25,0.25,0,138.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,149.00,0,-,
Panaji Navtara,25-26/T1-39,-,203228637442682,2025-04-10,09:54:34 AM,10:13:28 AM,10:56:18 AM,SWIGGY,NA,-,239.00,60.00,179.00,189.50,10.00,0.25,0.25,0,179.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,190.00,0,-,
