Porvorim Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.04.01--2025.04.30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-12 11:58:17 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Porvorim Navtara,25-26/T1-3,-,203218282472257,2025-04-10,07:02:35 AM,07:36:49 AM,07:53:21 AM,SWIGGY,NA,-,238.00,59.99,178.00,188.50,10.00,0.25,0.25,0,178.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,189.00,0,-,
Porvorim Navtara,25-26/T1-4,-,203218554268061,2025-04-10,07:06:35 AM,07:36:42 AM,07:53:24 AM,SWIGGY,NA,-,387.00,62.50,324.50,335.00,10.00,0.25,0.25,0,324.50,0,0,0,0.00,0.00,0,0,0,0,0,0,0,335.00,0,-,
Porvorim Navtara,25-26/T1-6,-,203219650829297,2025-04-10,07:24:39 AM,07:47:28 AM,07:55:35 AM,SWIGGY,NA,-,197.00,59.10,137.90,148.40,10.00,0.25,0.25,0,137.90,0,0,0,0.00,-0.40,0,0,0,0,0,0,0,148.00,0,-,
Porvorim Navtara,25-26/T1-7,-,203219823862147,2025-04-10,07:27:39 AM,07:46:47 AM,07:53:29 AM,SWIGGY,NA,-,217.00,59.99,157.01,167.51,10.00,0.25,0.25,0,157.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,168.00,0,-,
Porvorim Navtara,25-26/T1-11,-,203220237981789,2025-04-10,07:34:39 AM,07:46:57 AM,08:03:49 AM,SWIGGY,NA,-,336.00,0.00,336.00,346.50,10.00,0.25,0.25,0,336.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,347.00,0,-,
Porvorim Navtara,25-26/T1-12,-,203220790374388,2025-04-10,07:43:40 AM,08:12:26 AM,08:27:58 AM,SWIGGY,NA,-,215.00,59.99,155.00,166.56,10.00,0.25,0.25,0,155.02,0.53,0.53,0,0.00,0.44,0,0,0,0,0,0,0,167.00,0,-,
Porvorim Navtara,25-26/T1-13,-,203221796799673,2025-04-10,08:00:40 AM,08:27:46 AM,09:03:01 AM,SWIGGY,NA,-,208.00,59.99,148.00,158.50,10.00,0.25,0.25,0,148.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,159.00,0,-,
Porvorim Navtara,25-26/T1-14,-,203222196962412,2025-04-10,08:06:40 AM,08:43:28 AM,08:56:49 AM,SWIGGY,NA,-,298.00,60.00,238.00,248.50,10.00,0.25,0.25,0,238.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,249.00,0,-,
Porvorim Navtara,25-26/T1-16,-,203222625168665,2025-04-10,08:14:40 AM,08:27:34 AM,09:03:09 AM,SWIGGY,NA,-,217.00,0.00,217.00,227.50,10.00,0.25,0.25,0,217.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,228.00,0,-,
Porvorim Navtara,25-26/T1-18,-,203222961016504,2025-04-10,08:19:40 AM,08:38:48 AM,08:57:07 AM,SWIGGY,NA,-,256.00,60.00,196.00,206.50,10.00,0.25,0.25,0,196.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,207.00,0,-,
Porvorim Navtara,25-26/T1-21,-,203223294612325,2025-04-10,08:25:40 AM,08:57:18 AM,09:14:36 AM,SWIGGY,NA,-,216.00,59.99,156.00,166.50,10.00,0.25,0.25,0,156.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,167.00,0,-,
Porvorim Navtara,25-26/T1-22,-,203223941301277,2025-04-10,08:36:40 AM,08:57:40 AM,09:22:37 AM,SWIGGY,NA,-,216.00,59.99,156.00,166.50,10.00,0.25,0.25,0,156.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,167.00,0,-,
Porvorim Navtara,25-26/T1-23,-,203223986665421,2025-04-10,08:37:40 AM,08:57:26 AM,09:18:57 AM,SWIGGY,NA,-,198.00,59.40,138.60,153.62,10.00,0.25,0.25,0,138.60,2.26,2.26,0,0.00,0.38,0,0,0,0,0,0,0,154.00,0,-,
Porvorim Navtara,25-26/T1-24,-,203224676247016,2025-04-10,08:48:40 AM,09:02:32 AM,09:19:04 AM,SWIGGY,NA,-,118.00,0.00,118.00,128.50,10.00,0.25,0.25,0,118.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,129.00,0,-,
Porvorim Navtara,25-26/T1-26,-,203224965664338,2025-04-10,08:53:40 AM,09:15:17 AM,09:43:24 AM,SWIGGY,NA,-,267.00,59.99,207.00,217.50,10.00,0.25,0.25,0,207.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,218.00,0,-,
Porvorim Navtara,25-26/T1-28,-,203225381536155,2025-04-10,09:00:40 AM,09:15:26 AM,09:43:40 AM,SWIGGY,NA,-,289.00,60.00,229.00,239.50,10.00,0.25,0.25,0,229.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,240.00,0,-,
Porvorim Navtara,25-26/T1-30,-,203225952471797,2025-04-10,09:09:40 AM,09:30:54 AM,09:48:32 AM,SWIGGY,NA,-,58.00,0.00,58.00,71.40,10.00,0.25,0.25,0,58.00,1.45,1.45,0,0.00,-0.40,0,0,0,0,0,0,0,71.00,0,-,
Porvorim Navtara,25-26/T1-31,-,203226098766947,2025-04-10,09:12:40 AM,09:39:44 AM,09:59:25 AM,SWIGGY,NA,-,256.00,59.99,196.00,206.50,10.00,0.25,0.25,59.72,136.29,0,0,0,0.00,0.50,0,0,0,0,0,0,0,207.00,0,-,
Porvorim Navtara,25-26/T1-34,-,203226513002858,2025-04-10,09:18:41 AM,09:40:21 AM,09:59:29 AM,SWIGGY,NA,-,179.00,53.70,125.30,135.80,10.00,0.25,0.25,0,125.30,0,0,0,0.00,0.20,0,0,0,0,0,0,0,136.00,0,-,
Porvorim Navtara,25-26/T1-38,-,203227457857568,2025-04-10,09:34:41 AM,10:00:00 AM,10:24:54 AM,SWIGGY,NA,-,296.00,59.99,236.00,246.50,10.00,0.25,0.25,0,236.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,247.00,0,-,
Porvorim Navtara,25-26/T1-39,-,203227772478556,2025-04-10,09:40:41 AM,09:59:04 AM,10:11:48 AM,SWIGGY,NA,-,208.00,0.00,208.00,218.50,10.00,0.25,0.25,129.00,79.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,219.00,0,-,
