Siolim Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.04.01--2025.04.30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-12 11:58:32 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Siolim Navtara,25-26/T1-1,-,203392176354851,2025-04-12,07:20:31 AM,07:41:31 AM,08:48:34 AM,SWIGGY,NA,-,277.00,59.99,217.00,227.50,10.00,0.25,0.25,0,217.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,228.00,0,-,
Siolim Navtara,25-26/T1-1,-,203218966851443,2025-04-10,07:13:17 AM,07:36:21 AM,07:58:46 AM,SWIGGY,NA,-,366.00,74.99,291.01,301.51,10.00,0.25,0.25,0,291.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,302.00,0,-,
Siolim Navtara,25-26/T1-2,-,203219030756404,2025-04-10,07:14:17 AM,07:36:40 AM,08:24:39 AM,SWIGGY,NA,-,69.00,0.00,69.00,79.50,10.00,0.25,0.25,0,69.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,80.00,0,-,
Siolim Navtara,25-26/T1-3,-,203219390111157,2025-04-10,07:20:17 AM,07:37:04 AM,08:24:50 AM,SWIGGY,NA,-,257.00,59.99,197.01,207.51,10.00,0.25,0.25,0,197.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,208.00,0,-,
Siolim Navtara,25-26/T1-4,-,203394008474102,2025-04-12,07:51:33 AM,08:03:41 AM,09:13:28 AM,SWIGGY,NA,-,198.00,59.40,138.60,149.10,10.00,0.25,0.25,0,138.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,149.00,0,-,
Siolim Navtara,25-26/T1-5,-,203220105998491,2025-04-10,07:33:17 AM,07:43:16 AM,08:24:55 AM,SWIGGY,NA,-,289.00,60.00,229.00,239.50,10.00,0.25,0.25,0,229.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,240.00,0,-,
Siolim Navtara,25-26/T1-6,-,203220318144009,2025-04-10,07:36:17 AM,07:43:09 AM,08:25:02 AM,SWIGGY,NA,-,227.00,0.00,227.00,237.50,10.00,0.25,0.25,99.00,128.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,238.00,0,-,
Siolim Navtara,25-26/T1-7,-,203394756480437,2025-04-12,08:03:33 AM,08:21:16 AM,08:48:42 AM,SWIGGY,NA,-,188.00,56.40,131.60,142.10,10.00,0.25,0.25,0,131.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,142.00,0,-,
Siolim Navtara,25-26/T1-7,-,203221086404251,2025-04-10,07:48:18 AM,07:58:53 AM,08:25:07 AM,SWIGGY,NA,-,186.00,55.80,130.20,140.70,10.00,0.25,0.25,0,130.20,0,0,0,0.00,0.30,0,0,0,0,0,0,0,141.00,0,-,
Siolim Navtara,25-26/T1-8,-,203222215614630,2025-04-10,08:07:18 AM,08:39:35 AM,09:31:11 AM,SWIGGY,NA,-,216.00,59.99,156.00,166.50,10.00,0.25,0.25,0,156.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,167.00,0,-,
Siolim Navtara,25-26/T1-9,-,203222188550844,2025-04-10,08:07:18 AM,08:23:37 AM,09:31:16 AM,SWIGGY,NA,-,465.00,0.00,465.00,475.50,10.00,0.25,0.25,0,465.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,476.00,0,-,
Siolim Navtara,25-26/T1-11,-,203395540138507,2025-04-12,08:16:33 AM,08:32:19 AM,09:13:34 AM,SWIGGY,NA,-,218.00,62.50,155.50,166.00,10.00,0.25,0.25,0,155.50,0,0,0,0.00,0.00,0,0,0,0,0,0,0,166.00,0,-,
Siolim Navtara,25-26/T1-11,-,203223172143512,2025-04-10,08:23:18 AM,08:39:47 AM,09:31:22 AM,SWIGGY,NA,-,234.00,60.00,174.00,184.50,10.00,0.25,0.25,174.00,0,0,0,0,0.00,0.50,0,0,0,0,0,0,0,185.00,0,-,
Siolim Navtara,25-26/T1-12,-,203223227218501,2025-04-10,08:24:18 AM,08:40:04 AM,09:31:30 AM,SWIGGY,NA,-,208.00,59.99,148.00,158.50,10.00,0.25,0.25,0,148.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,159.00,0,-,
Siolim Navtara,25-26/T1-14,-,203396034228065,2025-04-12,08:24:33 AM,08:32:50 AM,08:48:49 AM,SWIGGY,NA,-,138.00,0.00,138.00,148.50,10.00,0.25,0.25,39.00,99.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,149.00,0,-,
Siolim Navtara,25-26/T1-17,-,203397005321588,2025-04-12,08:40:33 AM,08:48:02 AM,09:16:07 AM,SWIGGY,NA,-,306.00,74.99,231.01,241.51,10.00,0.25,0.25,0,231.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,242.00,0,-,
Siolim Navtara,25-26/T1-17,-,203224843727429,2025-04-10,08:51:18 AM,09:04:04 AM,09:41:09 AM,SWIGGY,NA,-,367.00,75.00,292.00,307.63,10.00,0.25,0.25,0,292.01,2.56,2.56,0,0.00,0.37,0,0,0,0,0,0,0,308.00,0,-,
