Baga Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.02.01--2025.02.28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-14 03:42:46 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Baga Navtara,25-26/T1-146293,-,197344886491018,2025-02-01,07:32:23 AM,07:45:08 AM,11:38:12 AM,SWIGGY,NA,-,308.00,62.49,245.50,262.75,10.00,0.25,0.25,0,245.51,3.37,3.37,0.00,0.25,0,0,0,0,0,0,0,263.00,0,-,
Baga Navtara,25-26/T1-146296,-,197346585509462,2025-02-01,08:00:23 AM,08:26:46 AM,11:38:18 AM,SWIGGY,NA,-,317.00,0.00,317.00,327.50,10.00,0.25,0.25,0,317.00,0,0,0.00,0.50,0,0,0,0,0,0,0,328.00,0,-,
Baga Navtara,25-26/T1-146300,-,197349028644981,2025-02-01,08:41:26 AM,09:09:52 AM,11:38:25 AM,SWIGGY,NA,-,277.00,75.00,202.00,212.50,10.00,0.25,0.25,0,202.01,0,0,0.00,0.50,0,0,0,0,0,0,0,213.00,0,-,
Baga Navtara,25-26/T1-146301,-,197350532862470,2025-02-01,09:06:26 AM,09:29:00 AM,11:38:32 AM,SWIGGY,NA,-,354.00,95.70,258.30,273.07,10.00,0.25,0.25,0,258.30,2.13,2.13,0.00,-0.07,0,0,0,0,0,0,0,273.00,0,-,
Baga Navtara,25-26/T1-146303,-,197351117654547,2025-02-01,09:16:26 AM,09:32:38 AM,11:38:38 AM,SWIGGY,NA,-,327.00,62.49,264.50,275.00,10.00,0.25,0.25,112.43,152.07,0,0,0.00,-0.00,0,0,0,0,0,0,0,275.00,0,-,
Baga Navtara,25-26/T1-146304,-,197352080515054,2025-02-01,09:32:26 AM,09:53:49 AM,11:38:44 AM,SWIGGY,NA,-,973.00,121.63,851.38,899.20,5.00,0.13,0.13,0,851.37,21.29,21.29,0.00,-0.20,0,0,0,0,0,0,0,899.00,0,-,
Baga Navtara,25-26/T1-146305,-,197352080713173,2025-02-01,09:32:27 AM,09:52:14 AM,11:38:50 AM,SWIGGY,NA,-,973.00,121.63,851.38,899.20,5.00,0.13,0.13,0,851.37,21.29,21.29,0.00,-0.20,0,0,0,0,0,0,0,899.00,0,-,
Baga Navtara,25-26/T1-146307,-,197352764021958,2025-02-01,09:43:27 AM,10:12:14 AM,11:38:56 AM,SWIGGY,NA,-,490.00,152.50,337.50,356.06,10.00,0.25,0.25,0,337.50,4.03,4.03,0.00,-0.06,0,0,0,0,0,0,0,356.00,0,-,
Baga Navtara,25-26/T1-146314,-,197355633199598,2025-02-01,10:31:29 AM,11:04:09 AM,11:39:02 AM,SWIGGY,NA,-,1072.00,167.50,904.50,919.94,10.00,0.25,0.25,0,904.50,2.47,2.47,0.00,0.06,0,0,0,0,0,0,0,920.00,0,-,
Baga Navtara,25-26/T1-146317,-,197356059408989,2025-02-01,10:38:29 AM,10:55:50 AM,11:39:07 AM,SWIGGY,NA,-,218.00,59.99,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
