KTC Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.02.01--2025.02.28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-14 03:42:56 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
KTC Navtara,25-26/T1-120125,-,197344560479202,2025-02-01,07:27:16 AM,07:44:39 AM,08:12:47 AM,SWIGGY,NA,-,589.00,49.00,540.00,559.81,10.00,0.25,0.25,0,539.99,4.66,4.66,0.00,0.19,0,0,0,0,0,0,0,560.00,0,-,
KTC Navtara,25-26/T1-120129,-,197344795869082,2025-02-01,07:31:16 AM,07:44:20 AM,08:12:51 AM,SWIGGY,NA,-,249.00,60.00,189.00,199.50,10.00,0.25,0.25,0,189.00,0,0,0.00,0.50,0,0,0,0,0,0,0,200.00,0,-,
KTC Navtara,25-26/T1-120132,-,197346024846116,2025-02-01,07:51:16 AM,08:06:04 AM,08:19:40 AM,SWIGGY,NA,-,414.00,30.00,384.00,394.50,10.00,0.25,0.25,0,383.99,0,0,0.00,0.50,0,0,0,0,0,0,0,395.00,0,-,
KTC Navtara,25-26/T1-120134,-,197346456596648,2025-02-01,07:58:17 AM,08:13:15 AM,08:19:44 AM,SWIGGY,NA,-,228.00,59.99,168.00,178.50,10.00,0.25,0.25,0,168.01,0,0,0.00,0.50,0,0,0,0,0,0,0,179.00,0,-,
KTC Navtara,25-26/T1-120138,-,197347321430421,2025-02-01,08:12:17 AM,08:22:26 AM,08:41:03 AM,SWIGGY,NA,-,343.00,76.70,266.30,279.05,10.00,0.25,0.25,0,266.30,1.13,1.13,0.00,-0.05,0,0,0,0,0,0,0,279.00,0,-,
KTC Navtara,25-26/T1-120139,-,197347776527637,2025-02-01,08:20:17 AM,08:40:24 AM,08:41:07 AM,SWIGGY,NA,-,565.00,87.48,477.51,488.01,10.00,0.25,0.25,0,477.52,0,0,0.00,-0.01,0,0,0,0,0,0,0,488.00,0,-,
KTC Navtara,25-26/T1-120140,-,197347862815572,2025-02-01,08:22:17 AM,08:31:12 AM,08:45:43 AM,SWIGGY,NA,-,307.00,62.49,244.50,255.00,10.00,0.25,0.25,0,244.50,0,0,0.00,-0.00,0,0,0,0,0,0,0,255.00,0,-,
KTC Navtara,25-26/T1-120141,-,197348332532703,2025-02-01,08:29:17 AM,08:40:17 AM,08:45:48 AM,SWIGGY,NA,-,228.00,59.99,168.00,178.50,10.00,0.25,0.25,0,168.01,0,0,0.00,0.50,0,0,0,0,0,0,0,179.00,0,-,
KTC Navtara,25-26/T1-120142,-,197349199156246,2025-02-01,08:44:17 AM,08:52:11 AM,09:10:29 AM,SWIGGY,NA,-,287.00,59.99,227.00,237.50,10.00,0.25,0.25,0,227.00,0,0,0.00,0.50,0,0,0,0,0,0,0,238.00,0,-,
KTC Navtara,25-26/T1-120144,-,197349376303675,2025-02-01,08:47:17 AM,08:57:01 AM,09:10:33 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
