Khorlim Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.02.01--2025.02.28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-14 03:43:11 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Khorlim Navtara,25-26/T1-204185,-,197344048912620,2025-02-01,07:18:18 AM,07:41:55 AM,07:52:26 AM,SWIGGY,NA,-,265.00,62.70,202.30,212.80,10.00,0.25,0.25,0,202.30,0,0,0.00,0.20,0,0,0,0,0,0,0,213.00,0,-,
Khorlim Navtara,25-26/T1-204187,-,197344338606028,2025-02-01,07:23:18 AM,07:50:04 AM,07:53:23 AM,SWIGGY,NA,-,208.00,59.99,148.00,158.50,10.00,0.25,0.25,0,148.00,0,0,0.00,0.50,0,0,0,0,0,0,0,159.00,0,-,
Khorlim Navtara,25-26/T1-204190,-,197346038450933,2025-02-01,07:51:23 AM,08:13:37 AM,08:25:02 AM,SWIGGY,NA,-,376.00,72.00,304.00,314.50,10.00,0.25,0.25,0,304.01,0,0,0.00,0.50,0,0,0,0,0,0,0,315.00,0,-,
Khorlim Navtara,25-26/T1-204191,-,197346078508344,2025-02-01,07:52:23 AM,08:15:25 AM,08:25:06 AM,SWIGGY,NA,-,257.00,7.50,249.50,261.41,10.00,0.25,0.25,0,249.50,0.70,0.70,0.00,-0.41,0,0,0,0,0,0,0,261.00,0,-,
Khorlim Navtara,25-26/T1-204192,-,197346162297161,2025-02-01,07:53:23 AM,08:22:05 AM,08:25:10 AM,SWIGGY,NA,-,258.00,59.99,198.00,208.50,10.00,0.25,0.25,0,198.00,0,0,0.00,0.50,0,0,0,0,0,0,0,209.00,0,-,
Khorlim Navtara,25-26/T1-204194,-,197346853961041,2025-02-01,08:04:25 AM,08:26:01 AM,08:31:14 AM,SWIGGY,NA,-,357.00,0.00,357.00,367.50,10.00,0.25,0.25,0,357.00,0,0,0.00,0.50,0,0,0,0,0,0,0,368.00,0,-,
Khorlim Navtara,25-26/T1-204195,-,197346823264669,2025-02-01,08:04:26 AM,08:37:48 AM,08:44:18 AM,SWIGGY,NA,-,442.00,112.00,330.00,341.58,10.00,0.25,0.25,0,330.01,0.54,0.54,0.00,0.42,0,0,0,0,0,0,0,342.00,0,-,
Khorlim Navtara,25-26/T1-204198,-,197348364918748,2025-02-01,08:30:26 AM,08:43:54 AM,08:47:50 AM,SWIGGY,NA,-,679.00,168.50,510.50,521.00,10.00,0.25,0.25,0,510.50,0,0,0.00,-0.00,0,0,0,0,0,0,0,521.00,0,-,
Khorlim Navtara,25-26/T1-204199,-,197348623222905,2025-02-01,08:34:30 AM,09:04:12 AM,09:08:21 AM,SWIGGY,NA,-,405.00,74.99,330.01,340.51,10.00,0.25,0.25,0,330.01,0,0,0.00,0.49,0,0,0,0,0,0,0,341.00,0,-,
Khorlim Navtara,25-26/T1-204200,-,197348640620309,2025-02-01,08:35:29 AM,09:14:55 AM,09:20:12 AM,SWIGGY,NA,-,485.00,87.49,397.51,408.01,10.00,0.25,0.25,0,397.51,0,0,0.00,-0.01,0,0,0,0,0,0,0,408.00,0,-,
Khorlim Navtara,25-26/T1-204201,-,197348894276511,2025-02-01,08:38:30 AM,09:07:58 AM,09:08:38 AM,SWIGGY,NA,-,392.00,101.70,290.30,302.95,10.00,0.25,0.25,0,290.28,1.07,1.07,0.00,0.05,0,0,0,0,0,0,0,303.00,0,-,
Khorlim Navtara,25-26/T1-204202,-,197348916420385,2025-02-01,08:39:30 AM,09:38:37 AM,09:40:06 AM,SWIGGY,NA,-,295.00,15.00,280.00,290.50,10.00,0.25,0.25,0,280.00,0,0,0.00,0.50,0,0,0,0,0,0,0,291.00,0,-,
Khorlim Navtara,25-26/T1-204203,-,197348974105288,2025-02-01,08:40:30 AM,09:05:01 AM,09:08:44 AM,SWIGGY,NA,-,236.00,60.00,176.00,186.50,10.00,0.25,0.25,0,176.00,0,0,0.00,0.50,0,0,0,0,0,0,0,187.00,0,-,
Khorlim Navtara,25-26/T1-204204,-,197349016872748,2025-02-01,08:41:30 AM,09:06:22 AM,09:08:50 AM,SWIGGY,NA,-,427.00,75.00,352.00,362.50,10.00,0.25,0.25,0,352.00,0,0,0.00,0.50,0,0,0,0,0,0,0,363.00,0,-,
Khorlim Navtara,25-26/T1-204208,-,197350133930327,2025-02-01,08:59:31 AM,09:25:49 AM,09:33:56 AM,SWIGGY,NA,-,314.00,86.40,227.60,240.20,10.00,0.25,0.25,21.02,206.59,1.05,1.05,0.00,-0.20,0,0,0,0,0,0,0,240.00,0,-,
Khorlim Navtara,25-26/T1-204209,-,197350305361964,2025-02-01,09:02:31 AM,09:33:07 AM,09:34:44 AM,SWIGGY,NA,-,528.00,163.50,364.50,380.01,10.00,0.25,0.25,0,364.50,2.50,2.50,0.00,-0.01,0,0,0,0,0,0,0,380.00,0,-,
