Margao Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.02.01--2025.02.28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-14 03:43:08 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Margao Navtara,25-26/T1-149685,-,197344027083963,2025-02-01,07:17:33 AM,07:35:39 AM,08:32:31 AM,SWIGGY,NA,-,561.00,60.00,501.00,511.50,10.00,0.25,0.25,0,501.00,0,0,0.00,0.50,0,0,0,0,0,0,0,512.00,0,-,
Margao Navtara,25-26/T1-149686,-,197344294912426,2025-02-01,07:22:34 AM,07:37:45 AM,08:32:37 AM,SWIGGY,NA,-,119.00,0.00,119.00,129.50,10.00,0.25,0.25,0,119.00,0,0,0.00,0.50,0,0,0,0,0,0,0,130.00,0,-,
Margao Navtara,25-26/T1-149689,-,197345178179408,2025-02-01,07:36:34 AM,07:43:08 AM,08:32:43 AM,SWIGGY,NA,-,218.00,59.99,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Margao Navtara,25-26/T1-149692,-,197345919660596,2025-02-01,07:49:34 AM,07:53:19 AM,08:32:47 AM,SWIGGY,NA,-,402.00,100.50,301.50,313.09,10.00,0.25,0.25,0,301.50,0.55,0.55,0.00,-0.09,0,0,0,0,0,0,0,313.00,0,-,
Margao Navtara,25-26/T1-149693,-,197346254402999,2025-02-01,07:55:34 AM,08:16:10 AM,08:32:52 AM,SWIGGY,NA,-,287.00,72.00,215.00,225.50,10.00,0.25,0.25,0,215.01,0,0,0.00,0.50,0,0,0,0,0,0,0,226.00,0,-,
Margao Navtara,25-26/T1-149696,-,197346530404110,2025-02-01,07:59:34 AM,08:19:13 AM,08:39:06 AM,SWIGGY,NA,-,258.00,60.00,198.00,208.50,10.00,0.25,0.25,99.00,99.00,0,0,0.00,0.50,0,0,0,0,0,0,0,209.00,0,-,
Margao Navtara,25-26/T1-149697,-,197346508334029,2025-02-01,07:59:35 AM,08:18:09 AM,08:35:53 AM,SWIGGY,NA,-,199.00,0.00,199.00,209.50,10.00,0.25,0.25,0,199.00,0,0,0.00,0.50,0,0,0,0,0,0,0,210.00,0,-,
Margao Navtara,25-26/T1-149702,-,197346993484126,2025-02-01,08:07:34 AM,08:24:19 AM,08:35:58 AM,SWIGGY,NA,-,245.00,0.00,245.00,255.50,10.00,0.25,0.25,87.00,158.00,0,0,0.00,0.50,0,0,0,0,0,0,0,256.00,0,-,
Margao Navtara,25-26/T1-149710,-,197348681330661,2025-02-01,08:35:34 AM,08:54:29 AM,09:18:28 AM,SWIGGY,NA,-,238.00,59.99,178.00,188.50,10.00,0.25,0.25,96.48,81.52,0,0,0.00,0.50,0,0,0,0,0,0,0,189.00,0,-,
Margao Navtara,25-26/T1-149712,-,197349078295832,2025-02-01,08:42:37 AM,08:58:38 AM,09:18:32 AM,SWIGGY,NA,-,248.00,59.99,188.00,198.50,10.00,0.25,0.25,0,188.00,0,0,0.00,0.50,0,0,0,0,0,0,0,199.00,0,-,
Margao Navtara,25-26/T1-149716,-,197351549613739,2025-02-01,09:22:47 AM,09:48:02 AM,09:51:15 AM,SWIGGY,NA,-,290.00,75.00,215.00,236.25,10.00,0.25,0.25,0,215.00,5.38,5.38,0.00,-0.25,0,0,0,0,0,0,0,236.00,0,-,
Margao Navtara,25-26/T1-149722,-,197353984939743,2025-02-01,10:03:48 AM,10:16:33 AM,10:19:13 AM,SWIGGY,NA,-,237.00,59.99,177.01,187.51,10.00,0.25,0.25,0,177.01,0,0,0.00,0.49,0,0,0,0,0,0,0,188.00,0,-,
Margao Navtara,25-26/T1-149723,-,197354286768285,2025-02-01,10:08:48 AM,10:28:52 AM,10:35:36 AM,SWIGGY,NA,-,295.00,68.70,226.30,239.02,10.00,0.25,0.25,98.96,127.34,1.11,1.11,0.00,-0.02,0,0,0,0,0,0,0,239.00,0,-,
Margao Navtara,25-26/T1-149726,-,197355627527782,2025-02-01,10:31:49 AM,10:52:36 AM,10:56:25 AM,SWIGGY,NA,-,247.00,59.99,187.01,197.51,10.00,0.25,0.25,21.96,165.06,0,0,0.00,0.49,0,0,0,0,0,0,0,198.00,0,-,
Margao Navtara,25-26/T1-149730,-,197356433352836,2025-02-01,10:44:50 AM,11:03:57 AM,11:08:14 AM,SWIGGY,NA,-,342.00,87.90,254.10,265.68,10.00,0.25,0.25,43.09,211.02,0.54,0.54,0.00,0.32,0,0,0,0,0,0,0,266.00,0,-,
Margao Navtara,25-26/T1-149732,-,197356431217774,2025-02-01,10:44:53 AM,11:04:41 AM,11:08:19 AM,SWIGGY,NA,-,109.00,0.00,109.00,119.50,10.00,0.25,0.25,0,109.00,0,0,0.00,0.50,0,0,0,0,0,0,0,120.00,0,-,
Margao Navtara,25-26/T1-149733,-,197356706020734,2025-02-01,10:48:50 AM,11:10:45 AM,11:33:46 AM,SWIGGY,NA,-,286.00,80.40,205.60,216.10,10.00,0.25,0.25,0,205.61,0,0,0.00,-0.10,0,0,0,0,0,0,0,216.00,0,-,
Margao Navtara,25-26/T1-149735,-,197357070295258,2025-02-01,10:56:51 AM,11:10:55 AM,11:33:50 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Margao Navtara,25-26/T1-149736,-,197358181238221,2025-02-01,11:13:51 AM,11:25:19 AM,11:33:54 AM,SWIGGY,NA,-,234.00,45.00,189.00,199.50,10.00,0.25,0.25,0,189.00,0,0,0.00,0.50,0,0,0,0,0,0,0,200.00,0,-,
Margao Navtara,25-26/T1-149739,-,197358527146636,2025-02-01,11:18:51 AM,11:40:04 AM,11:51:51 AM,SWIGGY,NA,-,228.00,59.99,168.00,178.50,10.00,0.25,0.25,95.06,72.95,0,0,0.00,0.50,0,0,0,0,0,0,0,179.00,0,-,
Margao Navtara,25-26/T1-149741,-,197358625352675,2025-02-01,11:20:51 AM,11:39:09 AM,11:51:55 AM,SWIGGY,NA,-,285.00,62.70,222.30,232.80,10.00,0.25,0.25,0,222.30,0,0,0.00,0.20,0,0,0,0,0,0,0,233.00,0,-,
Margao Navtara,25-26/T1-149742,-,197358747156776,2025-02-01,11:22:51 AM,11:46:38 AM,11:52:02 AM,SWIGGY,NA,-,208.00,0.00,208.00,218.50,10.00,0.25,0.25,0,208.00,0,0,0.00,0.50,0,0,0,0,0,0,0,219.00,0,-,
Margao Navtara,25-26/T1-149743,-,197359041246407,2025-02-01,11:27:51 AM,11:45:05 AM,11:52:06 AM,SWIGGY,NA,-,199.00,59.70,139.30,149.80,10.00,0.25,0.25,0,139.30,0,0,0.00,0.20,0,0,0,0,0,0,0,150.00,0,-,
Margao Navtara,25-26/T1-149748,-,197361197946320,2025-02-01,12:03:52 PM,12:12:40 PM,12:18:18 PM,SWIGGY,NA,-,147.00,36.00,111.00,121.50,10.00,0.25,0.25,0,111.00,0,0,0.00,0.50,0,0,0,0,0,0,0,122.00,0,-,
Margao Navtara,25-26/T1-149752,-,197361613012943,2025-02-01,12:11:52 PM,12:37:08 PM,12:42:40 PM,SWIGGY,NA,-,209.00,60.00,149.00,159.50,10.00,0.25,0.25,0,149.00,0,0,0.00,0.50,0,0,0,0,0,0,0,160.00,0,-,
Margao Navtara,25-26/T1-149757,-,197362758679532,2025-02-01,12:29:52 PM,12:53:36 PM,01:09:33 PM,SWIGGY,NA,-,388.00,75.00,313.00,323.50,10.00,0.25,0.25,0,313.00,0,0,0.00,0.50,0,0,0,0,0,0,0,324.00,0,-,
Margao Navtara,25-26/T1-149758,-,197362784680652,2025-02-01,12:30:52 PM,12:48:38 PM,01:09:38 PM,SWIGGY,NA,-,239.00,60.00,179.00,189.50,10.00,0.25,0.25,0,179.00,0,0,0.00,0.50,0,0,0,0,0,0,0,190.00,0,-,
Margao Navtara,25-26/T1-149762,-,197363129467506,2025-02-01,12:35:52 PM,12:54:03 PM,01:09:42 PM,SWIGGY,NA,-,188.00,0.00,188.00,198.50,10.00,0.25,0.25,89.00,99.00,0,0,0.00,0.50,0,0,0,0,0,0,0,199.00,0,-,
Margao Navtara,25-26/T1-149768,-,197364608641548,2025-02-01,01:00:55 PM,01:12:23 PM,01:21:15 PM,SWIGGY,NA,-,278.00,72.00,206.00,216.50,10.00,0.25,0.25,0,206.00,0,0,0.00,0.50,0,0,0,0,0,0,0,217.00,0,-,
Margao Navtara,25-26/T1-149771,-,197365075758458,2025-02-01,01:08:56 PM,01:49:53 PM,02:17:49 PM,SWIGGY,NA,-,276.00,74.70,201.30,211.80,10.00,0.25,0.25,0,201.30,0,0,0.00,0.20,0,0,0,0,0,0,0,212.00,0,-,
Margao Navtara,25-26/T1-149772,-,197365033852263,2025-02-01,01:08:57 PM,01:25:19 PM,02:18:05 PM,SWIGGY,NA,-,278.00,60.00,218.00,228.50,10.00,0.25,0.25,0,218.00,0,0,0.00,0.50,0,0,0,0,0,0,0,229.00,0,-,
