Panaji Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.02.01--2025.02.28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-14 03:43:21 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Panaji Navtara,25-26/T1-219212,-,197344361962444,2025-02-01,07:23:33 AM,07:51:27 AM,08:44:24 AM,SWIGGY,NA,-,415.00,89.99,325.01,337.78,10.00,0.25,0.25,0,325.00,1.14,1.14,0.00,0.22,0,0,0,0,0,0,0,338.00,0,-,
Panaji Navtara,25-26/T1-219214,-,197345408796901,2025-02-01,07:40:34 AM,07:55:28 AM,08:44:28 AM,SWIGGY,NA,-,486.00,87.50,398.50,409.00,10.00,0.25,0.25,0,398.51,0,0,0.00,-0.00,0,0,0,0,0,0,0,409.00,0,-,
Panaji Navtara,25-26/T1-219215,-,197345496915655,2025-02-01,07:42:33 AM,07:59:00 AM,08:44:34 AM,SWIGGY,NA,-,257.00,74.40,182.60,193.10,10.00,0.25,0.25,0,182.60,0,0,0.00,-0.10,0,0,0,0,0,0,0,193.00,0,-,
Panaji Navtara,25-26/T1-219217,-,197345613922304,2025-02-01,07:44:33 AM,08:07:34 AM,08:44:39 AM,SWIGGY,NA,-,255.00,66.90,188.10,199.67,10.00,0.25,0.25,0,188.10,0.54,0.54,0.00,0.33,0,0,0,0,0,0,0,200.00,0,-,
Panaji Navtara,25-26/T1-219218,-,197345823292046,2025-02-01,07:48:33 AM,08:08:45 AM,08:44:44 AM,SWIGGY,NA,-,227.00,59.99,167.00,177.50,10.00,0.25,0.25,28.69,138.31,0,0,0.00,0.50,0,0,0,0,0,0,0,178.00,0,-,
Panaji Navtara,25-26/T1-219220,-,197345875568698,2025-02-01,07:49:34 AM,08:07:44 AM,08:50:01 AM,SWIGGY,NA,-,306.00,74.40,231.60,242.10,10.00,0.25,0.25,0,231.60,0,0,0.00,-0.10,0,0,0,0,0,0,0,242.00,0,-,
Panaji Navtara,25-26/T1-219223,-,197346481366815,2025-02-01,07:58:33 AM,08:07:51 AM,08:50:05 AM,SWIGGY,NA,-,298.00,60.00,238.00,248.50,10.00,0.25,0.25,0,238.00,0,0,0.00,0.50,0,0,0,0,0,0,0,249.00,0,-,
Panaji Navtara,25-26/T1-219229,-,197347686257586,2025-02-01,08:18:33 AM,08:44:03 AM,09:51:24 AM,SWIGGY,NA,-,314.00,81.40,232.60,243.10,10.00,0.25,0.25,0,232.60,0,0,0.00,-0.10,0,0,0,0,0,0,0,243.00,0,-,
Panaji Navtara,25-26/T1-219230,-,197347650044128,2025-02-01,08:18:35 AM,08:32:11 AM,10:15:28 AM,SWIGGY,NA,-,147.00,15.00,132.00,142.50,10.00,0.25,0.25,35.02,96.98,0,0,0.00,0.50,0,0,0,0,0,0,0,143.00,0,-,
Panaji Navtara,25-26/T1-219231,-,197347861158147,2025-02-01,08:22:34 AM,08:44:14 AM,10:26:39 AM,SWIGGY,NA,-,236.00,60.00,176.00,186.50,10.00,0.25,0.25,0,176.00,0,0,0.00,0.50,0,0,0,0,0,0,0,187.00,0,-,
Panaji Navtara,25-26/T1-219232,-,197347979836060,2025-02-01,08:23:36 AM,08:33:52 AM,09:52:53 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Panaji Navtara,25-26/T1-219234,-,197348534147305,2025-02-01,08:32:39 AM,08:44:08 AM,10:26:48 AM,SWIGGY,NA,-,118.00,30.00,88.00,98.50,10.00,0.25,0.25,0,88.00,0,0,0.00,0.50,0,0,0,0,0,0,0,99.00,0,-,
Panaji Navtara,25-26/T1-219235,-,197348559688208,2025-02-01,08:33:39 AM,08:43:57 AM,10:41:52 AM,SWIGGY,NA,-,206.00,59.99,146.01,156.51,10.00,0.25,0.25,48.19,97.81,0,0,0.00,0.49,0,0,0,0,0,0,0,157.00,0,-,
