Porvorim Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.02.01--2025.02.28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-14 03:43:25 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Porvorim Navtara,25-26/T1-183220,-,197343194515684,2025-02-01,07:03:42 AM,07:07:49 AM,07:54:19 AM,SWIGGY,NA,-,616.00,165.00,451.00,468.93,10.00,0.25,0.25,0,450.99,3.71,3.71,0.00,0.07,0,0,0,0,0,0,0,469.00,0,-,
Porvorim Navtara,25-26/T1-183223,-,197344446049634,2025-02-01,07:24:42 AM,07:36:58 AM,08:09:39 AM,SWIGGY,NA,-,216.00,56.40,159.60,170.10,10.00,0.25,0.25,0,159.60,0,0,0.00,-0.10,0,0,0,0,0,0,0,170.00,0,-,
Porvorim Navtara,25-26/T1-183225,-,197345216695205,2025-02-01,07:38:46 AM,07:57:23 AM,08:21:04 AM,SWIGGY,NA,-,333.00,89.10,243.90,255.46,10.00,0.25,0.25,28.56,215.34,0.53,0.53,0.00,-0.46,0,0,0,0,0,0,0,255.00,0,-,
Porvorim Navtara,25-26/T1-183228,-,197345615984806,2025-02-01,07:44:12 AM,07:54:10 AM,08:26:47 AM,SWIGGY,NA,-,268.00,59.99,208.00,218.50,10.00,0.25,0.25,92.36,115.64,0,0,0.00,0.50,0,0,0,0,0,0,0,219.00,0,-,
Porvorim Navtara,25-26/T1-183230,-,197346132914302,2025-02-01,07:53:12 AM,08:12:14 AM,08:53:05 AM,SWIGGY,NA,-,377.00,74.50,302.50,313.00,10.00,0.25,0.25,103.51,199.00,0,0,0.00,-0.00,0,0,0,0,0,0,0,313.00,0,-,
Porvorim Navtara,25-26/T1-183233,-,197346850545822,2025-02-01,08:05:13 AM,08:15:45 AM,08:53:09 AM,SWIGGY,NA,-,198.00,59.40,138.60,149.10,10.00,0.25,0.25,0,138.60,0,0,0.00,-0.10,0,0,0,0,0,0,0,149.00,0,-,
Porvorim Navtara,25-26/T1-183234,-,197347048728304,2025-02-01,08:08:13 AM,08:20:19 AM,08:53:15 AM,SWIGGY,NA,-,266.00,74.40,191.60,203.14,10.00,0.25,0.25,0,191.61,0.52,0.52,0.00,-0.14,0,0,0,0,0,0,0,203.00,0,-,
Porvorim Navtara,25-26/T1-183235,-,197347115286710,2025-02-01,08:09:13 AM,08:26:07 AM,08:53:20 AM,SWIGGY,NA,-,503.00,111.49,391.51,403.14,10.00,0.25,0.25,0,391.51,0.56,0.56,0.00,-0.14,0,0,0,0,0,0,0,403.00,0,-,
Porvorim Navtara,25-26/T1-183238,-,197347669585128,2025-02-01,08:18:13 AM,08:26:16 AM,09:06:17 AM,SWIGGY,NA,-,224.00,64.50,159.50,174.13,10.00,0.25,0.25,0,159.50,2.06,2.06,0.00,-0.13,0,0,0,0,0,0,0,174.00,0,-,
Porvorim Navtara,25-26/T1-183239,-,197347743317514,2025-02-01,08:19:13 AM,08:26:22 AM,09:00:25 AM,SWIGGY,NA,-,177.00,45.00,132.00,142.50,10.00,0.25,0.25,0,132.00,0,0,0.00,0.50,0,0,0,0,0,0,0,143.00,0,-,
Porvorim Navtara,25-26/T1-183240,-,197347681579571,2025-02-01,08:19:14 AM,08:28:27 AM,09:00:41 AM,SWIGGY,NA,-,266.00,75.00,191.00,201.50,10.00,0.25,0.25,70.37,120.64,0,0,0.00,0.50,0,0,0,0,0,0,0,202.00,0,-,
Porvorim Navtara,25-26/T1-183241,-,197348354965468,2025-02-01,08:31:13 AM,08:47:57 AM,09:12:42 AM,SWIGGY,NA,-,218.00,59.99,158.00,168.50,10.00,0.25,0.25,93.50,64.51,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Porvorim Navtara,25-26/T1-183244,-,197348863910704,2025-02-01,08:38:13 AM,09:06:02 AM,09:22:46 AM,SWIGGY,NA,-,276.00,74.70,201.30,211.80,10.00,0.25,0.25,0,201.31,0,0,0.00,0.20,0,0,0,0,0,0,0,212.00,0,-,
Porvorim Navtara,25-26/T1-183245,-,197349084040083,2025-02-01,08:42:13 AM,08:58:20 AM,09:22:52 AM,SWIGGY,NA,-,209.00,60.00,149.00,159.50,10.00,0.25,0.25,0,149.00,0,0,0.00,0.50,0,0,0,0,0,0,0,160.00,0,-,
Porvorim Navtara,25-26/T1-183251,-,197349960891195,2025-02-01,08:56:14 AM,09:21:07 AM,09:35:53 AM,SWIGGY,NA,-,724.00,90.50,633.50,644.00,10.00,0.25,0.25,112.87,520.61,0,0,0.00,0.00,0,0,0,0,0,0,0,644.00,0,-,
