Siolim Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.02.01--2025.02.28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-14 03:43:30 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Siolim Navtara,25-26/T1-163261,-,197345782774384,2025-02-01,07:46:44 AM,07:54:46 AM,08:46:29 AM,SWIGGY,NA,-,238.00,59.99,178.00,188.50,10.00,0.25,0.25,96.48,81.52,0,0,0.00,0.50,0,0,0,0,0,0,0,189.00,0,-,
Siolim Navtara,25-26/T1-163263,-,197346672421149,2025-02-01,08:01:44 AM,08:13:52 AM,08:46:33 AM,SWIGGY,NA,-,645.00,80.63,564.38,603.10,10.00,0.25,0.25,0,564.37,14.11,14.11,0.00,-0.10,0,0,0,0,0,0,0,603.00,0,-,
Siolim Navtara,25-26/T1-163266,-,197347070018034,2025-02-01,08:08:44 AM,08:17:08 AM,08:46:37 AM,SWIGGY,NA,-,249.00,60.00,189.00,199.50,10.00,0.25,0.25,0,189.00,0,0,0.00,0.50,0,0,0,0,0,0,0,200.00,0,-,
Siolim Navtara,25-26/T1-163268,-,197347492655867,2025-02-01,08:15:44 AM,08:26:14 AM,08:46:41 AM,SWIGGY,NA,-,197.00,59.10,137.90,148.40,10.00,0.25,0.25,0,137.90,0,0,0.00,-0.40,0,0,0,0,0,0,0,148.00,0,-,
Siolim Navtara,25-26/T1-163269,-,197348018156626,2025-02-01,08:24:44 AM,08:35:07 AM,09:00:06 AM,SWIGGY,NA,-,422.00,15.00,407.00,417.50,10.00,0.25,0.25,111.88,295.12,0,0,0.00,0.50,0,0,0,0,0,0,0,418.00,0,-,
Siolim Navtara,25-26/T1-163272,-,197348329472027,2025-02-01,08:29:44 AM,08:43:01 AM,09:07:18 AM,SWIGGY,NA,-,277.00,67.50,209.50,221.10,10.00,0.25,0.25,0,209.50,0.55,0.55,0.00,-0.10,0,0,0,0,0,0,0,221.00,0,-,
Siolim Navtara,25-26/T1-163274,-,197348731899908,2025-02-01,08:35:44 AM,08:44:30 AM,09:00:12 AM,SWIGGY,NA,-,318.00,0.00,318.00,328.50,10.00,0.25,0.25,0,318.00,0,0,0.00,0.50,0,0,0,0,0,0,0,329.00,0,-,
Siolim Navtara,25-26/T1-163275,-,197348825312781,2025-02-01,08:37:44 AM,08:59:56 AM,09:07:23 AM,SWIGGY,NA,-,277.00,0.00,277.00,287.50,10.00,0.25,0.25,0,277.00,0,0,0.00,0.50,0,0,0,0,0,0,0,288.00,0,-,
Siolim Navtara,25-26/T1-163276,-,197348890142264,2025-02-01,08:38:44 AM,08:56:04 AM,09:07:29 AM,SWIGGY,NA,-,446.00,74.99,371.01,381.51,10.00,0.25,0.25,0,371.01,0,0,0.00,0.49,0,0,0,0,0,0,0,382.00,0,-,
Siolim Navtara,25-26/T1-163279,-,197349050942455,2025-02-01,08:41:44 AM,08:49:32 AM,09:50:15 AM,SWIGGY,NA,-,246.00,69.40,176.60,187.10,10.00,0.25,0.25,42.36,134.24,0,0,0.00,-0.10,0,0,0,0,0,0,0,187.00,0,-,
Siolim Navtara,25-26/T1-163280,-,197350034014397,2025-02-01,08:57:45 AM,09:07:04 AM,09:50:21 AM,SWIGGY,NA,-,266.00,75.89,190.11,201.65,10.00,0.25,0.25,0,190.12,0.52,0.52,0.00,0.35,0,0,0,0,0,0,0,202.00,0,-,
Siolim Navtara,25-26/T1-163284,-,197351735146306,2025-02-01,09:26:45 AM,09:43:34 AM,10:05:36 AM,SWIGGY,NA,-,236.00,51.20,184.80,195.30,10.00,0.25,0.25,0,184.80,0,0,0.00,-0.30,0,0,0,0,0,0,0,195.00,0,-,
Siolim Navtara,25-26/T1-163291,-,197352906418361,2025-02-01,09:45:45 AM,09:49:59 AM,10:09:21 AM,SWIGGY,NA,-,109.00,0.00,109.00,119.50,10.00,0.25,0.25,0,109.00,0,0,0.00,0.50,0,0,0,0,0,0,0,120.00,0,-,
Siolim Navtara,25-26/T1-163293,-,197353152924419,2025-02-01,09:49:45 AM,10:02:16 AM,10:17:50 AM,SWIGGY,NA,-,286.00,59.99,226.01,236.51,10.00,0.25,0.25,61.64,164.37,0,0,0.00,0.49,0,0,0,0,0,0,0,237.00,0,-,
Siolim Navtara,25-26/T1-163294,-,197353239336807,2025-02-01,09:51:45 AM,10:10:00 AM,10:39:06 AM,SWIGGY,NA,-,474.00,105.00,369.00,379.50,10.00,0.25,0.25,0,369.01,0,0,0.00,0.50,0,0,0,0,0,0,0,380.00,0,-,
Siolim Navtara,25-26/T1-163295,-,197353232618898,2025-02-01,09:51:46 AM,10:08:34 AM,10:39:10 AM,SWIGGY,NA,-,434.00,122.50,311.50,322.00,10.00,0.25,0.25,0,311.49,0,0,0.00,0.00,0,0,0,0,0,0,0,322.00,0,-,
Siolim Navtara,25-26/T1-163296,-,197353334911203,2025-02-01,09:52:45 AM,10:02:49 AM,10:18:01 AM,SWIGGY,NA,-,294.00,59.99,234.00,244.50,10.00,0.25,0.25,234.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,245.00,0,-,
Siolim Navtara,25-26/T1-163297,-,197353820853378,2025-02-01,10:00:45 AM,10:17:38 AM,10:39:16 AM,SWIGGY,NA,-,284.00,60.00,224.00,236.79,10.00,0.25,0.25,0,224.02,1.15,1.15,0.00,0.21,0,0,0,0,0,0,0,237.00,0,-,
Siolim Navtara,25-26/T1-163302,-,197354571546045,2025-02-01,10:13:45 AM,10:34:35 AM,11:05:02 AM,SWIGGY,NA,-,1101.00,165.00,936.00,950.20,10.00,0.25,0.25,291.60,644.40,1.85,1.85,0.00,-0.20,0,0,0,0,0,0,0,950.00,0,-,
Siolim Navtara,25-26/T1-163304,-,197355152087123,2025-02-01,10:23:45 AM,10:41:14 AM,11:05:06 AM,SWIGGY,NA,-,713.00,89.13,623.88,634.38,10.00,0.25,0.25,0,623.87,0,0,0.00,-0.38,0,0,0,0,0,0,0,634.00,0,-,
Siolim Navtara,25-26/T1-163305,-,197355378478535,2025-02-01,10:26:45 AM,10:41:53 AM,11:05:11 AM,SWIGGY,NA,-,426.00,90.00,336.00,346.50,10.00,0.25,0.25,0,336.01,0,0,0.00,0.50,0,0,0,0,0,0,0,347.00,0,-,
Siolim Navtara,25-26/T1-163306,-,197355428164328,2025-02-01,10:28:45 AM,10:38:56 AM,11:05:15 AM,SWIGGY,NA,-,196.00,50.00,146.00,156.50,10.00,0.25,0.25,0,146.00,0,0,0.00,0.50,0,0,0,0,0,0,0,157.00,0,-,
Siolim Navtara,25-26/T1-163309,-,197355698243134,2025-02-01,10:32:45 AM,10:43:45 AM,11:05:20 AM,SWIGGY,NA,-,258.00,60.00,198.00,208.50,10.00,0.25,0.25,0,198.00,0,0,0.00,0.50,0,0,0,0,0,0,0,209.00,0,-,
Siolim Navtara,25-26/T1-163310,-,197355839943955,2025-02-01,10:34:45 AM,10:41:44 AM,11:05:24 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Siolim Navtara,25-26/T1-163317,-,197358153305478,2025-02-01,11:13:46 AM,11:27:19 AM,12:36:55 PM,SWIGGY,NA,-,218.00,59.99,158.00,168.50,10.00,0.25,0.25,64.51,93.50,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Siolim Navtara,25-26/T1-163323,-,197359784182846,2025-02-01,11:40:46 AM,11:50:44 AM,12:37:03 PM,SWIGGY,NA,-,188.00,56.40,131.60,142.10,10.00,0.25,0.25,27.30,104.30,0,0,0.00,-0.10,0,0,0,0,0,0,0,142.00,0,-,
