Baga Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.01.01--2025.01.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-14 11:51:14 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Baga Navtara,25-26/T1-140841,-,194667533714534,2025-01-01,07:49:33 AM,08:22:37 AM,10:36:07 AM,SWIGGY,NA,-,620.00,172.50,447.50,462.23,10.00,0.25,0.25,35.37,412.14,2.11,2.11,0,0.00,-0.23,0,0,0,0,0,0,0,462.00,0,-,
Baga Navtara,25-26/T1-140844,-,194667922072932,2025-01-01,07:56:34 AM,08:32:43 AM,10:36:13 AM,SWIGGY,NA,-,649.00,142.50,506.50,518.52,10.00,0.25,0.25,121.75,384.76,0.76,0.76,0,0.00,0.48,0,0,0,0,0,0,0,519.00,0,-,
Baga Navtara,25-26/T1-140847,-,194668829881965,2025-01-01,08:11:34 AM,08:45:57 AM,10:36:28 AM,SWIGGY,NA,-,614.00,0.00,614.00,624.50,10.00,0.25,0.25,0,614.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,625.00,0,-,
Baga Navtara,25-26/T1-140852,-,194669527759767,2025-01-01,08:22:34 AM,08:46:28 AM,11:02:46 AM,SWIGGY,NA,-,307.00,17.50,289.50,300.00,10.00,0.25,0.25,0,289.51,0,0,0,0.00,0.00,0,0,0,0,0,0,0,300.00,0,-,
Baga Navtara,25-26/T1-140854,-,194670821974833,2025-01-01,08:44:39 AM,09:25:20 AM,11:02:53 AM,SWIGGY,NA,-,415.00,107.50,307.50,318.00,10.00,0.25,0.25,0,307.51,0,0,0,0.00,-0.00,0,0,0,0,0,0,0,318.00,0,-,
Baga Navtara,25-26/T1-140855,-,194670874031388,2025-01-01,08:45:39 AM,09:03:25 AM,11:02:59 AM,SWIGGY,NA,-,215.00,55.00,160.00,176.30,10.00,0.25,0.25,0,160.00,2.90,2.90,0,0.00,-0.30,0,0,0,0,0,0,0,176.00,0,-,
Baga Navtara,25-26/T1-140856,-,194671912445246,2025-01-01,09:02:45 AM,09:23:50 AM,11:03:06 AM,SWIGGY,NA,-,208.00,0.00,208.00,218.50,10.00,0.25,0.25,0,208.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,219.00,0,-,
Baga Navtara,25-26/T1-140857,-,194672312262688,2025-01-01,09:10:45 AM,09:59:04 AM,11:03:11 AM,SWIGGY,NA,-,614.00,0.00,614.00,624.50,10.00,0.25,0.25,59.00,555.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,625.00,0,-,
Baga Navtara,25-26/T1-140858,-,194673243422458,2025-01-01,09:25:45 AM,09:59:26 AM,11:03:17 AM,SWIGGY,NA,-,424.00,107.00,317.00,327.50,10.00,0.25,0.25,73.27,243.73,0,0,0,0.00,0.50,0,0,0,0,0,0,0,328.00,0,-,
Baga Navtara,25-26/T1-140866,-,194674426245813,2025-01-01,09:44:45 AM,09:58:53 AM,11:03:24 AM,SWIGGY,NA,-,129.00,0.00,129.00,139.50,10.00,0.25,0.25,0,129.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,140.00,0,-,
