KTC Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.01.01--2025.01.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-14 11:50:08 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
KTC Navtara,25-26/T1-115698,-,194665850506030,2025-01-01,07:21:50 AM,07:35:37 AM,08:18:05 AM,SWIGGY,NA,-,236.00,60.00,176.00,186.50,10.00,0.25,0.25,0,176.00,0,0,0.00,0.50,0,0,0,0,0,0,0,187.00,0,-,
KTC Navtara,25-26/T1-115702,-,194666385039493,2025-01-01,07:30:50 AM,07:58:06 AM,09:12:03 AM,SWIGGY,NA,-,367.00,74.99,292.01,302.51,10.00,0.25,0.25,102.64,189.36,0,0,0.00,0.49,0,0,0,0,0,0,0,303.00,0,-,
KTC Navtara,25-26/T1-115706,-,194667293124842,2025-01-01,07:46:50 AM,08:24:03 AM,09:12:10 AM,SWIGGY,NA,-,137.00,22.00,115.00,126.72,10.00,0.25,0.25,0,115.00,0.61,0.61,0.00,0.28,0,0,0,0,0,0,0,127.00,0,-,
KTC Navtara,25-26/T1-115709,-,194667876119437,2025-01-01,07:55:51 AM,08:46:21 AM,09:12:15 AM,SWIGGY,NA,-,306.00,75.00,231.00,241.50,10.00,0.25,0.25,58.88,172.13,0,0,0.00,0.50,0,0,0,0,0,0,0,242.00,0,-,
KTC Navtara,25-26/T1-115713,-,194669308865454,2025-01-01,08:18:52 AM,08:40:43 AM,09:12:19 AM,SWIGGY,NA,-,216.00,54.00,162.00,172.50,10.00,0.25,0.25,0,162.00,0,0,0.00,0.50,0,0,0,0,0,0,0,173.00,0,-,
KTC Navtara,25-26/T1-115716,-,194669589922707,2025-01-01,08:24:55 AM,09:03:21 AM,09:12:23 AM,SWIGGY,NA,-,530.00,164.50,365.50,376.00,10.00,0.25,0.25,0,365.49,0,0,0.00,0.00,0,0,0,0,0,0,0,376.00,0,-,
KTC Navtara,25-26/T1-115717,-,194670148555742,2025-01-01,08:32:52 AM,09:03:36 AM,09:12:28 AM,SWIGGY,NA,-,146.00,36.00,110.00,123.78,10.00,0.25,0.25,0,110.00,1.64,1.64,0.00,0.22,0,0,0,0,0,0,0,124.00,0,-,
KTC Navtara,25-26/T1-115718,-,194670116868163,2025-01-01,08:32:53 AM,09:08:51 AM,09:12:33 AM,SWIGGY,NA,-,245.00,61.00,184.00,195.59,10.00,0.25,0.25,0,184.00,0.55,0.55,0.00,0.41,0,0,0,0,0,0,0,196.00,0,-,
KTC Navtara,25-26/T1-115720,-,194670325811172,2025-01-01,08:35:52 AM,09:11:27 AM,09:53:26 AM,SWIGGY,NA,-,612.00,135.99,476.01,487.64,10.00,0.25,0.25,0,476.01,0.56,0.56,0.00,0.36,0,0,0,0,0,0,0,488.00,0,-,
KTC Navtara,25-26/T1-115721,-,194670388887316,2025-01-01,08:36:52 AM,09:09:06 AM,09:53:31 AM,SWIGGY,NA,-,323.00,55.00,268.00,283.31,10.00,0.25,0.25,0,268.00,2.40,2.40,0.00,-0.31,0,0,0,0,0,0,0,283.00,0,-,
KTC Navtara,25-26/T1-115733,-,194672761968877,2025-01-01,09:16:53 AM,10:07:37 AM,10:11:56 AM,SWIGGY,NA,-,403.00,124.00,279.00,290.50,10.00,0.25,0.25,54.00,225.01,0.50,0.50,0.00,0.50,0,0,0,0,0,0,0,291.00,0,-,
KTC Navtara,25-26/T1-115735,-,194672950656097,2025-01-01,09:19:53 AM,09:58:15 AM,10:00:42 AM,SWIGGY,NA,-,356.00,102.00,254.00,264.50,10.00,0.25,0.25,92.04,161.97,0,0,0.00,0.50,0,0,0,0,0,0,0,265.00,0,-,
KTC Navtara,25-26/T1-115738,-,194673167953553,2025-01-01,09:22:53 AM,09:37:29 AM,10:12:00 AM,SWIGGY,NA,-,168.00,7.00,161.00,172.89,10.00,0.25,0.25,0,161.00,0.69,0.69,0.00,0.11,0,0,0,0,0,0,0,173.00,0,-,
KTC Navtara,25-26/T1-115740,-,194673396187636,2025-01-01,09:26:54 AM,10:04:56 AM,10:12:03 AM,SWIGGY,NA,-,336.00,87.00,249.00,259.50,10.00,0.25,0.25,95.60,153.40,0,0,0.00,0.50,0,0,0,0,0,0,0,260.00,0,-,
KTC Navtara,25-26/T1-115742,-,194673452783256,2025-01-01,09:27:54 AM,10:09:13 AM,10:12:08 AM,SWIGGY,NA,-,381.00,75.75,305.25,315.75,10.00,0.25,0.25,62.49,242.76,0,0,0.00,0.25,0,0,0,0,0,0,0,316.00,0,-,
KTC Navtara,25-26/T1-115743,-,194673690729798,2025-01-01,09:31:53 AM,09:50:06 AM,10:44:36 AM,SWIGGY,NA,-,312.00,78.00,234.00,244.50,10.00,0.25,0.25,0,234.00,0,0,0.00,0.50,0,0,0,0,0,0,0,245.00,0,-,
KTC Navtara,25-26/T1-115745,-,194673778584682,2025-01-01,09:33:53 AM,09:56:55 AM,10:01:02 AM,SWIGGY,NA,-,317.00,75.00,242.00,252.50,10.00,0.25,0.25,0,242.01,0,0,0.00,0.50,0,0,0,0,0,0,0,253.00,0,-,
KTC Navtara,25-26/T1-115746,-,194673917724880,2025-01-01,09:35:53 AM,09:53:53 AM,10:01:07 AM,SWIGGY,NA,-,216.00,54.00,162.00,172.50,10.00,0.25,0.25,0,162.00,0,0,0.00,0.50,0,0,0,0,0,0,0,173.00,0,-,
KTC Navtara,25-26/T1-115747,-,194674421688419,2025-01-01,09:43:54 AM,10:45:03 AM,11:04:18 AM,SWIGGY,NA,-,424.00,129.00,295.00,305.50,10.00,0.25,0.25,0,295.01,0,0,0.00,0.50,0,0,0,0,0,0,0,306.00,0,-,
KTC Navtara,25-26/T1-115748,-,194674464259223,2025-01-01,09:44:54 AM,10:47:56 AM,11:08:58 AM,SWIGGY,NA,-,347.00,75.00,272.00,282.50,10.00,0.25,0.25,0,272.01,0,0,0.00,0.50,0,0,0,0,0,0,0,283.00,0,-,
KTC Navtara,25-26/T1-115749,-,194674618879287,2025-01-01,09:47:54 AM,10:35:32 AM,10:44:42 AM,SWIGGY,NA,-,632.00,54.00,578.00,588.50,10.00,0.25,0.25,0,578.00,0,0,0.00,0.50,0,0,0,0,0,0,0,589.00,0,-,
KTC Navtara,25-26/T1-115754,-,194676477846706,2025-01-01,10:18:54 AM,10:42:53 AM,10:44:48 AM,SWIGGY,NA,-,316.00,75.00,241.00,251.50,10.00,0.25,0.25,0,241.00,0,0,0.00,0.50,0,0,0,0,0,0,0,252.00,0,-,
KTC Navtara,25-26/T1-115755,-,194677100869103,2025-01-01,10:29:55 AM,10:50:19 AM,11:09:02 AM,SWIGGY,NA,-,403.00,42.00,361.00,371.50,10.00,0.25,0.25,0,361.00,0,0,0.00,0.50,0,0,0,0,0,0,0,372.00,0,-,
KTC Navtara,25-26/T1-115759,-,194677945076519,2025-01-01,10:42:56 AM,11:07:24 AM,11:09:06 AM,SWIGGY,NA,-,258.00,0.00,258.00,268.50,10.00,0.25,0.25,129.00,129.00,0,0,0.00,0.50,0,0,0,0,0,0,0,269.00,0,-,
KTC Navtara,25-26/T1-115766,-,194682346294106,2025-01-01,11:57:01 AM,12:21:07 PM,12:22:10 PM,SWIGGY,NA,-,118.00,30.00,88.00,98.50,10.00,0.25,0.25,0,88.00,0,0,0.00,0.50,0,0,0,0,0,0,0,99.00,0,-,
KTC Navtara,25-26/T1-115767,-,194683053944502,2025-01-01,12:08:01 PM,12:31:11 PM,01:09:17 PM,SWIGGY,NA,-,422.00,106.00,316.00,326.50,10.00,0.25,0.25,0,315.99,0,0,0.00,0.50,0,0,0,0,0,0,0,327.00,0,-,
KTC Navtara,25-26/T1-115768,-,194683069040152,2025-01-01,12:08:02 PM,12:48:04 PM,01:09:22 PM,SWIGGY,NA,-,327.00,12.25,314.75,325.25,10.00,0.25,0.25,0,314.74,0,0,0.00,-0.25,0,0,0,0,0,0,0,325.00,0,-,
KTC Navtara,25-26/T1-115790,-,194690601758205,2025-01-01,02:13:51 PM,02:27:35 PM,03:26:02 PM,SWIGGY,NA,-,99.00,0.00,99.00,109.50,10.00,0.25,0.25,0,99.00,0,0,0.00,0.50,0,0,0,0,0,0,0,110.00,0,-,
