Khorlim Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.01.01--2025.01.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-14 11:50:48 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Khorlim Navtara,25-26/T1-195810,-,194664813295846,2025-01-01,07:04:36 AM,07:42:41 AM,08:20:59 AM,SWIGGY,NA,-,267.00,59.99,207.01,217.51,10.00,0.25,0.25,122.50,84.51,0,0,0,0.00,0.49,0,0,0,0,0,0,0,218.00,0,-,
Khorlim Navtara,25-26/T1-195811,-,194665698980467,2025-01-01,07:19:36 AM,08:14:32 AM,08:21:04 AM,SWIGGY,NA,-,287.00,0.00,287.00,297.50,10.00,0.25,0.25,0,287.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,298.00,0,-,
Khorlim Navtara,25-26/T1-195812,-,194666172339978,2025-01-01,07:26:36 AM,08:04:27 AM,08:21:09 AM,SWIGGY,NA,-,613.00,84.37,528.63,541.63,10.00,0.25,0.25,0,528.64,1.25,1.25,0,0.00,0.37,0,0,0,0,0,0,0,542.00,0,-,
Khorlim Navtara,25-26/T1-195813,-,194666226986188,2025-01-01,07:27:36 AM,07:55:41 AM,08:21:15 AM,SWIGGY,NA,-,427.00,75.00,352.00,362.50,10.00,0.25,0.25,0,352.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,363.00,0,-,
Khorlim Navtara,25-26/T1-195815,-,194667155066181,2025-01-01,07:43:19 AM,08:25:54 AM,08:38:22 AM,SWIGGY,NA,-,586.00,75.00,511.00,521.50,10.00,0.25,0.25,0,511.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,522.00,0,-,
Khorlim Navtara,25-26/T1-195816,-,194667121259518,2025-01-01,07:43:20 AM,08:34:10 AM,08:38:26 AM,SWIGGY,NA,-,456.00,0.00,456.00,479.40,10.00,0.25,0.25,0,456.00,6.45,6.45,0,0.00,-0.40,0,0,0,0,0,0,0,479.00,0,-,
Khorlim Navtara,25-26/T1-195817,-,194667209714475,2025-01-01,07:45:19 AM,08:20:43 AM,08:23:55 AM,SWIGGY,NA,-,196.00,58.80,137.20,147.70,10.00,0.25,0.25,0,137.20,0,0,0,0.00,0.30,0,0,0,0,0,0,0,148.00,0,-,
Khorlim Navtara,25-26/T1-195821,-,194667898382049,2025-01-01,07:56:19 AM,08:23:14 AM,08:38:32 AM,SWIGGY,NA,-,581.00,129.49,451.51,464.26,10.00,0.25,0.25,0,366.81,1.13,1.13,84.71,0.00,-0.26,0,0,0,0,0,0,0,464.00,0,-,
Khorlim Navtara,25-26/T1-195822,-,194668563693193,2025-01-01,08:06:19 AM,08:25:03 AM,08:38:44 AM,SWIGGY,NA,-,158.00,0.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Khorlim Navtara,25-26/T1-195823,-,194668541033682,2025-01-01,08:06:20 AM,08:29:01 AM,08:43:41 AM,SWIGGY,NA,-,254.00,30.00,224.00,234.50,10.00,0.25,0.25,0,224.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,235.00,0,-,
Khorlim Navtara,25-26/T1-195824,-,194668627982287,2025-01-01,08:08:19 AM,08:41:54 AM,08:54:01 AM,SWIGGY,NA,-,573.00,75.00,498.00,508.50,10.00,0.25,0.25,0,498.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,509.00,0,-,
Khorlim Navtara,25-26/T1-195825,-,194668696409881,2025-01-01,08:09:19 AM,08:37:59 AM,08:54:05 AM,SWIGGY,NA,-,276.00,75.00,201.00,213.61,10.00,0.25,0.25,0,201.00,1.05,1.05,0,0.00,0.39,0,0,0,0,0,0,0,214.00,0,-,
Khorlim Navtara,25-26/T1-195826,-,194668697002612,2025-01-01,08:09:20 AM,08:37:39 AM,08:54:10 AM,SWIGGY,NA,-,247.00,59.99,187.00,197.50,10.00,0.25,0.25,0,187.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,198.00,0,-,
Khorlim Navtara,25-26/T1-195830,-,194669339227212,2025-01-01,08:19:21 AM,08:42:09 AM,08:59:29 AM,SWIGGY,NA,-,398.00,0.00,398.00,408.50,10.00,0.25,0.25,0,398.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,409.00,0,-,
Khorlim Navtara,25-26/T1-195831,-,194669362426558,2025-01-01,08:20:19 AM,08:39:59 AM,09:06:03 AM,SWIGGY,NA,-,237.00,65.70,171.30,181.80,10.00,0.25,0.25,93.24,78.06,0,0,0,0.00,0.20,0,0,0,0,0,0,0,182.00,0,-,
Khorlim Navtara,25-26/T1-195836,-,194671613283170,2025-01-01,08:57:50 AM,09:15:32 AM,09:17:06 AM,SWIGGY,NA,-,187.00,56.10,130.90,141.40,10.00,0.25,0.25,54.60,76.30,0,0,0,0.00,-0.40,0,0,0,0,0,0,0,141.00,0,-,
Khorlim Navtara,25-26/T1-195838,-,194671915347793,2025-01-01,09:02:50 AM,09:14:33 AM,09:54:07 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Khorlim Navtara,25-26/T1-195839,-,194671986114929,2025-01-01,09:03:50 AM,09:14:41 AM,09:22:45 AM,SWIGGY,NA,-,198.00,0.00,198.00,208.50,10.00,0.25,0.25,0,198.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,209.00,0,-,
Khorlim Navtara,25-26/T1-195841,-,194672012522808,2025-01-01,09:04:50 AM,09:51:36 AM,09:54:13 AM,SWIGGY,NA,-,275.00,74.70,200.30,212.91,10.00,0.25,0.25,0,200.30,1.05,1.05,0,0.00,0.09,0,0,0,0,0,0,0,213.00,0,-,
Khorlim Navtara,25-26/T1-195844,-,194672994847392,2025-01-01,09:20:51 AM,09:35:04 AM,09:54:19 AM,SWIGGY,NA,-,248.00,59.99,188.00,198.50,10.00,0.25,0.25,0,188.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,199.00,0,-,
Khorlim Navtara,25-26/T1-195846,-,194673259421981,2025-01-01,09:24:51 AM,09:54:27 AM,10:24:03 AM,SWIGGY,NA,-,365.00,82.50,282.50,294.13,10.00,0.25,0.25,0,282.51,0.56,0.56,0,0.00,-0.13,0,0,0,0,0,0,0,294.00,0,-,
Khorlim Navtara,25-26/T1-195847,-,194673429157839,2025-01-01,09:27:51 AM,09:50:28 AM,10:24:07 AM,SWIGGY,NA,-,522.00,156.00,366.00,376.50,10.00,0.25,0.25,0,366.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,377.00,0,-,
Khorlim Navtara,25-26/T1-195851,-,194674011624005,2025-01-01,09:37:48 AM,10:17:01 AM,10:36:41 AM,SWIGGY,NA,-,314.00,85.20,228.80,240.36,10.00,0.25,0.25,0,228.79,0.53,0.53,0,0.00,-0.36,0,0,0,0,0,0,0,240.00,0,-,
Khorlim Navtara,25-26/T1-195853,-,194674375924374,2025-01-01,09:43:48 AM,10:16:52 AM,10:36:45 AM,SWIGGY,NA,-,678.00,57.00,621.00,638.14,10.00,0.25,0.25,0,621.00,3.32,3.32,0,0.00,-0.14,0,0,0,0,0,0,0,638.00,0,-,
Khorlim Navtara,25-26/T1-195855,-,194674603973542,2025-01-01,09:47:48 AM,10:16:41 AM,10:36:49 AM,SWIGGY,NA,-,523.00,94.50,428.50,439.00,10.00,0.25,0.25,0,428.51,0,0,0,0.00,-0.00,0,0,0,0,0,0,0,439.00,0,-,
Khorlim Navtara,25-26/T1-195856,-,194674906008151,2025-01-01,09:51:48 AM,10:21:01 AM,10:36:54 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
