Margao Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.01.01--2025.01.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-14 11:52:00 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Margao Navtara,25-26/T1-143402,-,194665168322637,2025-01-01,07:09:53 AM,07:33:46 AM,07:50:53 AM,SWIGGY,NA,-,364.00,82.50,281.50,293.13,10.00,0.25,0.25,60.32,221.19,0.56,0.56,0,0.00,-0.13,0,0,0,0,0,0,0,293.00,0,-,
Margao Navtara,25-26/T1-143404,-,194665273180731,2025-01-01,07:11:55 AM,07:30:00 AM,09:28:21 AM,SWIGGY,NA,-,345.00,30.00,315.00,325.50,10.00,0.25,0.25,0,315.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,326.00,0,-,
Margao Navtara,25-26/T1-143406,-,194665616375361,2025-01-01,07:17:53 AM,07:29:06 AM,07:50:59 AM,SWIGGY,NA,-,304.00,52.50,251.50,263.20,10.00,0.25,0.25,0,251.50,0.60,0.60,0,0.00,-0.20,0,0,0,0,0,0,0,263.00,0,-,
Margao Navtara,25-26/T1-143408,-,194665985301625,2025-01-01,07:23:53 AM,07:49:42 AM,09:28:26 AM,SWIGGY,NA,-,336.00,0.00,336.00,346.50,10.00,0.25,0.25,0,336.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,347.00,0,-,
Margao Navtara,25-26/T1-143411,-,194667173683629,2025-01-01,07:43:54 AM,08:01:25 AM,09:28:30 AM,SWIGGY,NA,-,458.00,126.00,332.00,343.55,10.00,0.25,0.25,84.81,247.20,0.53,0.53,0,0.00,0.45,0,0,0,0,0,0,0,344.00,0,-,
Margao Navtara,25-26/T1-143412,-,194667792652827,2025-01-01,07:53:54 AM,08:15:51 AM,09:28:34 AM,SWIGGY,NA,-,245.00,0.00,245.00,255.50,10.00,0.25,0.25,87.00,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,256.00,0,-,
Margao Navtara,25-26/T1-143413,-,194667911288516,2025-01-01,07:56:54 AM,08:17:03 AM,09:28:39 AM,SWIGGY,NA,-,156.00,0.00,156.00,166.50,10.00,0.25,0.25,156.00,0,0,0,0,0.00,0.50,0,0,0,0,0,0,0,167.00,0,-,
Margao Navtara,25-26/T1-143422,-,194669566129925,2025-01-01,08:23:55 AM,08:50:33 AM,09:28:43 AM,SWIGGY,NA,-,196.00,30.00,166.00,178.96,10.00,0.25,0.25,0,166.00,1.23,1.23,0,0.00,0.04,0,0,0,0,0,0,0,179.00,0,-,
Margao Navtara,25-26/T1-143423,-,194669707097242,2025-01-01,08:25:54 AM,08:57:19 AM,09:28:47 AM,SWIGGY,NA,-,273.00,74.40,198.60,212.26,10.00,0.25,0.25,21.10,177.50,1.58,1.58,0,0.00,-0.26,0,0,0,0,0,0,0,212.00,0,-,
Margao Navtara,25-26/T1-143426,-,194670333704011,2025-01-01,08:36:54 AM,08:56:59 AM,09:28:51 AM,SWIGGY,NA,-,303.00,76.50,226.50,240.25,10.00,0.25,0.25,0,226.49,1.63,1.63,0,0.00,-0.25,0,0,0,0,0,0,0,240.00,0,-,
Margao Navtara,25-26/T1-143434,-,194671342961178,2025-01-01,08:53:54 AM,09:16:52 AM,09:28:58 AM,SWIGGY,NA,-,256.00,72.89,183.11,194.65,10.00,0.25,0.25,42.20,140.90,0.52,0.52,0,0.00,0.35,0,0,0,0,0,0,0,195.00,0,-,
Margao Navtara,25-26/T1-143435,-,194672053243146,2025-01-01,09:04:55 AM,09:35:39 AM,09:56:55 AM,SWIGGY,NA,-,314.00,86.64,227.36,239.96,10.00,0.25,0.25,28.24,199.12,1.05,1.05,0,0.00,0.04,0,0,0,0,0,0,0,240.00,0,-,
Margao Navtara,25-26/T1-143437,-,194672292996290,2025-01-01,09:08:55 AM,09:30:27 AM,09:57:00 AM,SWIGGY,NA,-,278.00,59.99,218.00,228.50,10.00,0.25,0.25,0,218.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,229.00,0,-,
Margao Navtara,25-26/T1-143438,-,194672344963339,2025-01-01,09:09:55 AM,09:41:44 AM,09:57:04 AM,SWIGGY,NA,-,648.00,162.00,486.00,496.50,10.00,0.25,0.25,0,486.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,497.00,0,-,
Margao Navtara,25-26/T1-143440,-,194672666979322,2025-01-01,09:14:55 AM,09:35:17 AM,09:57:09 AM,SWIGGY,NA,-,342.00,87.25,254.75,269.57,10.00,0.25,0.25,0,254.76,2.16,2.16,0,0.00,0.43,0,0,0,0,0,0,0,270.00,0,-,
Margao Navtara,25-26/T1-143442,-,194672630544605,2025-01-01,09:14:59 AM,09:29:54 AM,09:57:15 AM,SWIGGY,NA,-,493.00,136.25,356.75,367.25,10.00,0.25,0.25,86.11,270.64,0,0,0,0.00,-0.25,0,0,0,0,0,0,0,367.00,0,-,
Margao Navtara,25-26/T1-143443,-,194672778278709,2025-01-01,09:16:56 AM,09:17:10 AM,09:57:20 AM,SWIGGY,NA,-,266.00,72.45,193.55,204.05,10.00,0.25,0.25,0,193.55,0,0,0,0.00,-0.05,0,0,0,0,0,0,0,204.00,0,-,
Margao Navtara,25-26/T1-143446,-,194672944209359,2025-01-01,09:19:59 AM,09:40:13 AM,09:57:24 AM,SWIGGY,NA,-,307.00,74.99,232.01,242.51,10.00,0.25,0.25,0,232.00,0,0,0,0.00,0.49,0,0,0,0,0,0,0,243.00,0,-,
Margao Navtara,25-26/T1-143447,-,194673075081410,2025-01-01,09:21:56 AM,09:46:57 AM,09:57:31 AM,SWIGGY,NA,-,420.00,113.30,306.70,319.32,10.00,0.25,0.25,113.92,192.77,1.06,1.06,0,0.00,-0.32,0,0,0,0,0,0,0,319.00,0,-,
Margao Navtara,25-26/T1-143448,-,194673057935444,2025-01-01,09:21:57 AM,09:52:38 AM,09:57:38 AM,SWIGGY,NA,-,345.00,89.99,255.01,267.65,10.00,0.25,0.25,0,255.01,1.07,1.07,0,0.00,0.35,0,0,0,0,0,0,0,268.00,0,-,
Margao Navtara,25-26/T1-143452,-,194673359558901,2025-01-01,09:26:57 AM,10:01:24 AM,10:38:48 AM,SWIGGY,NA,-,78.00,12.25,65.75,76.25,10.00,0.25,0.25,24.45,41.30,0,0,0,0.00,-0.25,0,0,0,0,0,0,0,76.00,0,-,
Margao Navtara,25-26/T1-143462,-,194675028804863,2025-01-01,09:54:58 AM,10:07:57 AM,10:38:52 AM,SWIGGY,NA,-,265.00,73.15,191.85,202.35,10.00,0.25,0.25,0,191.84,0,0,0,0.00,-0.35,0,0,0,0,0,0,0,202.00,0,-,
Margao Navtara,25-26/T1-143464,-,194675424982908,2025-01-01,10:00:58 AM,10:28:53 AM,10:38:56 AM,SWIGGY,NA,-,217.00,59.99,157.01,167.51,10.00,0.25,0.25,28.22,128.79,0,0,0,0.00,0.49,0,0,0,0,0,0,0,168.00,0,-,
Margao Navtara,25-26/T1-143466,-,194675878427822,2025-01-01,10:09:00 AM,10:43:09 AM,10:45:36 AM,SWIGGY,NA,-,465.00,99.00,366.00,376.50,10.00,0.25,0.25,203.07,162.93,0,0,0,0.00,0.50,0,0,0,0,0,0,0,377.00,0,-,
Margao Navtara,25-26/T1-143469,-,194676288536854,2025-01-01,10:14:59 AM,10:45:58 AM,10:47:34 AM,SWIGGY,NA,-,227.00,65.40,161.60,172.10,10.00,0.25,0.25,0,161.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,172.00,0,-,
Margao Navtara,25-26/T1-143471,-,194676737508822,2025-01-01,10:22:59 AM,10:40:33 AM,10:45:42 AM,SWIGGY,NA,-,390.00,86.40,303.60,314.10,10.00,0.25,0.25,45.15,258.45,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,314.00,0,-,
Margao Navtara,25-26/T1-143472,-,194676845405249,2025-01-01,10:25:00 AM,10:40:56 AM,10:54:25 AM,SWIGGY,NA,-,337.00,75.00,262.00,272.50,10.00,0.25,0.25,0,262.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,273.00,0,-,
Margao Navtara,25-26/T1-143473,-,194677269396568,2025-01-01,10:32:00 AM,10:40:39 AM,10:47:39 AM,SWIGGY,NA,-,492.00,87.49,404.51,415.01,10.00,0.25,0.25,96.19,308.32,0,0,0,0.00,-0.01,0,0,0,0,0,0,0,415.00,0,-,
Margao Navtara,25-26/T1-143478,-,194677614837612,2025-01-01,10:38:02 AM,10:59:37 AM,11:08:02 AM,SWIGGY,NA,-,215.00,59.99,155.00,165.50,10.00,0.25,0.25,155.01,0,0,0,0,0.00,0.50,0,0,0,0,0,0,0,166.00,0,-,
Margao Navtara,25-26/T1-143479,-,194677742106885,2025-01-01,10:39:59 AM,11:04:06 AM,11:08:06 AM,SWIGGY,NA,-,416.00,74.99,341.01,351.51,10.00,0.25,0.25,31.97,309.04,0,0,0,0.00,0.49,0,0,0,0,0,0,0,352.00,0,-,
Margao Navtara,25-26/T1-143480,-,194677916254638,2025-01-01,10:42:59 AM,10:58:34 AM,11:08:10 AM,SWIGGY,NA,-,336.00,84.00,252.00,262.50,10.00,0.25,0.25,0,252.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,263.00,0,-,
Margao Navtara,25-26/T1-143481,-,194678245021687,2025-01-01,10:47:59 AM,10:58:25 AM,11:08:13 AM,SWIGGY,NA,-,254.00,54.00,200.00,210.50,10.00,0.25,0.25,0,200.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,211.00,0,-,
