Panaji Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.01.01--2025.01.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-14 11:52:12 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Panaji Navtara,25-26/T1-211341,-,194665008141254,2025-01-01,07:08:08 AM,07:46:21 AM,08:06:35 AM,SWIGGY,NA,-,109.00,0.00,109.00,119.50,10.00,0.25,0.25,0,109.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,120.00,0,-,
Panaji Navtara,25-26/T1-211343,-,194665611215061,2025-01-01,07:18:08 AM,07:50:13 AM,08:31:31 AM,SWIGGY,NA,-,492.00,120.00,372.00,384.69,10.00,0.25,0.25,0,372.00,1.09,1.09,0,0.00,0.31,0,0,0,0,0,0,0,385.00,0,-,
Panaji Navtara,25-26/T1-211347,-,194665861752756,2025-01-01,07:22:08 AM,07:41:21 AM,08:06:40 AM,SWIGGY,NA,-,377.00,75.00,302.00,312.50,10.00,0.25,0.25,0,302.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,313.00,0,-,
Panaji Navtara,25-26/T1-211350,-,194666619360490,2025-01-01,07:34:08 AM,07:50:07 AM,08:37:00 AM,SWIGGY,NA,-,317.00,75.00,242.00,252.50,10.00,0.25,0.25,0,105.35,0,0,136.65,0.00,0.50,0,0,0,0,0,0,0,253.00,0,-,
Panaji Navtara,25-26/T1-211353,-,194668428735984,2025-01-01,08:05:11 AM,08:11:13 AM,08:37:04 AM,SWIGGY,NA,-,364.00,107.00,257.00,267.50,10.00,0.25,0.25,0,257.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,268.00,0,-,
Panaji Navtara,25-26/T1-211354,-,194668628859512,2025-01-01,08:07:12 AM,08:31:35 AM,10:27:34 AM,SWIGGY,NA,-,356.00,90.00,266.00,278.67,10.00,0.25,0.25,0,266.00,1.08,1.08,0,0.00,0.33,0,0,0,0,0,0,0,279.00,0,-,
Panaji Navtara,25-26/T1-211358,-,194669340113102,2025-01-01,08:20:12 AM,08:34:36 AM,08:44:16 AM,SWIGGY,NA,-,216.00,54.00,162.00,172.50,10.00,0.25,0.25,0,162.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,173.00,0,-,
Panaji Navtara,25-26/T1-211360,-,194670372074492,2025-01-01,08:36:51 AM,09:11:07 AM,10:27:39 AM,SWIGGY,NA,-,830.00,129.49,700.51,713.46,10.00,0.25,0.25,0,700.51,1.23,1.23,0,0.00,-0.46,0,0,0,0,0,0,0,713.00,0,-,
Panaji Navtara,25-26/T1-211363,-,194670639165242,2025-01-01,08:41:51 AM,08:56:07 AM,10:39:08 AM,SWIGGY,NA,-,307.00,74.99,232.01,242.51,10.00,0.25,0.25,0,232.00,0,0,0,0.00,0.49,0,0,0,0,0,0,0,243.00,0,-,
Panaji Navtara,25-26/T1-211364,-,194670610542064,2025-01-01,08:41:52 AM,09:23:36 AM,10:39:15 AM,SWIGGY,NA,-,307.00,74.99,232.01,242.51,10.00,0.25,0.25,44.59,187.42,0,0,0,0.00,0.49,0,0,0,0,0,0,0,243.00,0,-,
Panaji Navtara,25-26/T1-211365,-,194670755044291,2025-01-01,08:43:52 AM,09:28:00 AM,10:39:44 AM,SWIGGY,NA,-,324.00,81.00,243.00,253.50,10.00,0.25,0.25,0,243.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,254.00,0,-,
Panaji Navtara,25-26/T1-211367,-,194670980412686,2025-01-01,08:47:53 AM,08:54:43 AM,10:39:50 AM,SWIGGY,NA,-,236.00,60.00,176.00,186.50,10.00,0.25,0.25,0,176.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,187.00,0,-,
Panaji Navtara,25-26/T1-211372,-,194671826380383,2025-01-01,09:00:56 AM,10:01:28 AM,10:39:56 AM,SWIGGY,NA,-,624.00,112.49,511.51,522.01,10.00,0.25,0.25,0,511.51,0,0,0,0.00,-0.01,0,0,0,0,0,0,0,522.00,0,-,
Panaji Navtara,25-26/T1-211374,-,194672144406547,2025-01-01,09:06:59 AM,09:26:18 AM,10:40:02 AM,SWIGGY,NA,-,641.00,135.00,506.00,511.25,5.00,0.13,0.13,0,506.00,0,0,0,0.00,-0.25,0,0,0,0,0,0,0,511.00,0,-,
Panaji Navtara,25-26/T1-211375,-,194672144357330,2025-01-01,09:07:00 AM,09:30:53 AM,10:40:13 AM,SWIGGY,NA,-,641.00,135.00,506.00,511.25,5.00,0.13,0.13,0,506.00,0,0,0,0.00,-0.25,0,0,0,0,0,0,0,511.00,0,-,
Panaji Navtara,25-26/T1-211376,-,194672345517399,2025-01-01,09:09:58 AM,09:14:05 AM,10:40:19 AM,SWIGGY,NA,-,158.00,0.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Panaji Navtara,25-26/T1-211377,-,194672428126767,2025-01-01,09:10:59 AM,09:57:58 AM,10:40:25 AM,SWIGGY,NA,-,365.00,107.50,257.50,269.02,10.00,0.25,0.25,0,257.51,0.51,0.51,0,0.00,-0.02,0,0,0,0,0,0,0,269.00,0,-,
Panaji Navtara,25-26/T1-211381,-,194672878639819,2025-01-01,09:19:12 AM,10:23:31 AM,10:40:33 AM,SWIGGY,NA,-,316.00,82.49,233.51,245.08,10.00,0.25,0.25,0,233.52,0.54,0.54,0,0.00,-0.08,0,0,0,0,0,0,0,245.00,0,-,
Panaji Navtara,25-26/T1-211382,-,194672981700518,2025-01-01,09:20:12 AM,09:49:58 AM,10:40:40 AM,SWIGGY,NA,-,426.00,75.00,351.00,361.50,10.00,0.25,0.25,0,351.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,362.00,0,-,
Panaji Navtara,25-26/T1-211384,-,194673634164903,2025-01-01,09:31:13 AM,10:08:09 AM,10:40:45 AM,SWIGGY,NA,-,286.00,25.00,261.00,271.50,10.00,0.25,0.25,81.22,179.78,0,0,0,0.00,0.50,0,0,0,0,0,0,0,272.00,0,-,
Panaji Navtara,25-26/T1-211390,-,194674014217338,2025-01-01,09:37:27 AM,10:07:00 AM,10:40:50 AM,SWIGGY,NA,-,772.00,96.50,675.50,686.00,10.00,0.25,0.25,0,675.50,0,0,0,0.00,-0.00,0,0,0,0,0,0,0,686.00,0,-,
Panaji Navtara,25-26/T1-211391,-,194674118083459,2025-01-01,09:39:27 AM,10:12:11 AM,10:40:57 AM,SWIGGY,NA,-,218.00,0.00,218.00,228.50,10.00,0.25,0.25,109.00,109.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,229.00,0,-,
Panaji Navtara,25-26/T1-211395,-,194674706073802,2025-01-01,09:49:28 AM,10:16:03 AM,10:43:38 AM,SWIGGY,NA,-,347.00,75.00,272.00,282.50,10.00,0.25,0.25,101.12,170.88,0,0,0,0.00,0.50,0,0,0,0,0,0,0,283.00,0,-,
