Porvorim Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.01.01--2025.01.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-14 11:52:16 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Porvorim Navtara,25-26/T1-176038,-,194663665525786,2025-01-01,06:44:53 AM,07:13:53 AM,08:24:30 AM,SWIGGY,NA,-,357.00,74.99,282.01,292.51,10.00,0.25,0.25,0,117.70,0,0,164.30,0.00,0.49,0,0,0,0,0,0,0,293.00,0,-,
Porvorim Navtara,25-26/T1-176039,-,194663769053462,2025-01-01,06:48:07 AM,07:16:04 AM,08:24:35 AM,SWIGGY,NA,-,357.00,75.00,282.00,292.50,10.00,0.25,0.25,0,282.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,293.00,0,-,
Porvorim Navtara,25-26/T1-176042,-,194664953884123,2025-01-01,07:07:07 AM,07:31:52 AM,08:24:43 AM,SWIGGY,NA,-,236.00,42.00,194.00,204.50,10.00,0.25,0.25,0,194.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,205.00,0,-,
Porvorim Navtara,25-26/T1-176045,-,194667307550775,2025-01-01,07:45:48 AM,07:58:28 AM,08:24:51 AM,SWIGGY,NA,-,276.00,77.40,198.60,210.14,10.00,0.25,0.25,92.82,105.77,0.52,0.52,0,0.00,-0.14,0,0,0,0,0,0,0,210.00,0,-,
Porvorim Navtara,25-26/T1-176046,-,194667588029216,2025-01-01,07:50:48 AM,08:23:40 AM,08:31:07 AM,SWIGGY,NA,-,991.00,27.00,964.00,974.50,10.00,0.25,0.25,0,963.99,0,0,0,0.00,0.50,0,0,0,0,0,0,0,975.00,0,-,
Porvorim Navtara,25-26/T1-176047,-,194667786401964,2025-01-01,07:53:48 AM,08:06:26 AM,08:41:02 AM,SWIGGY,NA,-,356.00,75.00,281.00,291.50,10.00,0.25,0.25,0,281.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,292.00,0,-,
Porvorim Navtara,25-26/T1-176048,-,194667812239391,2025-01-01,07:54:48 AM,08:06:37 AM,08:41:08 AM,SWIGGY,NA,-,356.00,75.00,281.00,291.50,10.00,0.25,0.25,0,281.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,292.00,0,-,
Porvorim Navtara,25-26/T1-176050,-,194668494132331,2025-01-01,08:05:48 AM,08:26:39 AM,08:51:17 AM,SWIGGY,NA,-,345.00,87.00,258.00,268.50,10.00,0.25,0.25,0,258.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,269.00,0,-,
Porvorim Navtara,25-26/T1-176052,-,194668584366585,2025-01-01,08:07:48 AM,08:18:26 AM,08:41:14 AM,SWIGGY,NA,-,246.00,68.40,177.60,189.15,10.00,0.25,0.25,0,177.61,0.53,0.53,0,0.00,-0.15,0,0,0,0,0,0,0,189.00,0,-,
Porvorim Navtara,25-26/T1-176054,-,194668957838669,2025-01-01,08:13:48 AM,08:26:51 AM,08:41:18 AM,SWIGGY,NA,-,227.00,65.40,161.60,172.10,10.00,0.25,0.25,0,161.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,172.00,0,-,
Porvorim Navtara,25-26/T1-176058,-,194669993788833,2025-01-01,08:30:48 AM,08:38:07 AM,08:56:14 AM,SWIGGY,NA,-,352.00,94.80,257.20,267.70,10.00,0.25,0.25,113.99,143.22,0,0,0,0.00,0.30,0,0,0,0,0,0,0,268.00,0,-,
Porvorim Navtara,25-26/T1-176059,-,194670074299474,2025-01-01,08:31:49 AM,08:55:58 AM,09:04:43 AM,SWIGGY,NA,-,354.00,95.40,258.60,269.10,10.00,0.25,0.25,0,258.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,269.00,0,-,
Porvorim Navtara,25-26/T1-176060,-,194670438661306,2025-01-01,08:37:49 AM,08:58:58 AM,09:06:50 AM,SWIGGY,NA,-,207.00,59.99,147.00,158.53,10.00,0.25,0.25,20.59,126.41,0.52,0.52,0,0.00,0.47,0,0,0,0,0,0,0,159.00,0,-,
Porvorim Navtara,25-26/T1-176061,-,194671096059592,2025-01-01,08:48:49 AM,09:04:27 AM,09:19:41 AM,SWIGGY,NA,-,435.00,86.99,348.01,358.51,10.00,0.25,0.25,0,348.00,0,0,0,0.00,0.49,0,0,0,0,0,0,0,359.00,0,-,
Porvorim Navtara,25-26/T1-176062,-,194671268060718,2025-01-01,08:51:49 AM,09:04:32 AM,09:19:46 AM,SWIGGY,NA,-,414.00,120.00,294.00,304.50,10.00,0.25,0.25,0,294.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,305.00,0,-,
Porvorim Navtara,25-26/T1-176064,-,194672845641543,2025-01-01,09:17:49 AM,09:27:28 AM,09:43:00 AM,SWIGGY,NA,-,207.00,59.40,147.60,158.10,10.00,0.25,0.25,0,147.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,158.00,0,-,
Porvorim Navtara,25-26/T1-176066,-,194673022001450,2025-01-01,09:20:49 AM,09:44:37 AM,10:25:09 AM,SWIGGY,NA,-,247.00,59.99,187.00,198.60,10.00,0.25,0.25,0,187.01,0.55,0.55,0,0.00,0.40,0,0,0,0,0,0,0,199.00,0,-,
Porvorim Navtara,25-26/T1-176067,-,194673482771291,2025-01-01,09:28:49 AM,09:42:35 AM,10:25:13 AM,SWIGGY,NA,-,414.00,90.00,324.00,336.77,10.00,0.25,0.25,0,324.00,1.14,1.14,0,0.00,0.23,0,0,0,0,0,0,0,337.00,0,-,
Porvorim Navtara,25-26/T1-176068,-,194673822510110,2025-01-01,09:34:49 AM,09:42:00 AM,10:25:18 AM,SWIGGY,NA,-,286.00,59.99,226.00,237.66,10.00,0.25,0.25,0,226.01,0.57,0.57,0,0.00,0.34,0,0,0,0,0,0,0,238.00,0,-,
Porvorim Navtara,25-26/T1-176069,-,194673905226638,2025-01-01,09:35:49 AM,09:44:56 AM,10:25:34 AM,SWIGGY,NA,-,307.00,0.00,307.00,317.50,10.00,0.25,0.25,0,307.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,318.00,0,-,
