Siolim Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.01.01--2025.01.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-14 11:52:34 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Siolim Navtara,25-26/T1-155877,-,194665002465659,2025-01-01,07:07:03 AM,07:30:27 AM,08:43:04 AM,SWIGGY,NA,-,376.00,87.50,288.50,299.00,10.00,0.25,0.25,98.98,189.52,0,0,0,0.00,-0.00,0,0,0,0,0,0,0,299.00,0,-,
Siolim Navtara,25-26/T1-155878,-,194665017942699,2025-01-01,07:08:03 AM,07:38:39 AM,08:43:08 AM,SWIGGY,NA,-,237.00,59.99,177.00,187.50,10.00,0.25,0.25,0,177.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,188.00,0,-,
Siolim Navtara,25-26/T1-155881,-,194666309906600,2025-01-01,07:29:04 AM,07:37:25 AM,08:43:15 AM,SWIGGY,NA,-,256.00,59.99,196.01,206.51,10.00,0.25,0.25,37.52,158.49,0,0,0,0.00,0.49,0,0,0,0,0,0,0,207.00,0,-,
Siolim Navtara,25-26/T1-155886,-,194668158319420,2025-01-01,08:00:05 AM,08:36:41 AM,09:05:08 AM,SWIGGY,NA,-,754.00,94.25,659.75,670.25,10.00,0.25,0.25,50.75,609.01,0,0,0,0.00,-0.25,0,0,0,0,0,0,0,670.00,0,-,
Siolim Navtara,25-26/T1-155890,-,194668658257881,2025-01-01,08:09:05 AM,08:42:47 AM,09:05:13 AM,SWIGGY,NA,-,239.00,60.00,179.00,189.50,10.00,0.25,0.25,0,179.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,190.00,0,-,
Siolim Navtara,25-26/T1-155891,-,194669173810225,2025-01-01,08:17:05 AM,08:49:24 AM,09:11:07 AM,SWIGGY,NA,-,363.00,92.50,270.50,285.32,10.00,0.25,0.25,0,270.50,2.16,2.16,0,0.00,-0.32,0,0,0,0,0,0,0,285.00,0,-,
Siolim Navtara,25-26/T1-155897,-,194670150489639,2025-01-01,08:34:05 AM,08:39:17 AM,09:11:11 AM,SWIGGY,NA,-,116.00,0.00,116.00,126.50,10.00,0.25,0.25,116.00,0,0,0,0,0.00,0.50,0,0,0,0,0,0,0,127.00,0,-,
Siolim Navtara,25-26/T1-155898,-,194670336137560,2025-01-01,08:36:05 AM,08:57:50 AM,09:48:00 AM,SWIGGY,NA,-,297.00,0.00,297.00,307.50,10.00,0.25,0.25,0,297.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,308.00,0,-,
Siolim Navtara,25-26/T1-155899,-,194670550974113,2025-01-01,08:40:05 AM,09:01:24 AM,09:48:04 AM,SWIGGY,NA,-,188.00,56.40,131.60,142.10,10.00,0.25,0.25,0,131.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,142.00,0,-,
Siolim Navtara,25-26/T1-155900,-,194670503340761,2025-01-01,08:40:06 AM,08:49:30 AM,09:48:09 AM,SWIGGY,NA,-,138.00,0.00,138.00,148.50,10.00,0.25,0.25,0,138.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,149.00,0,-,
