Baga Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.03.01--2025.03.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-04-16 01:09:04 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Baga Navtara,24-25/T1-151156,-,199762761775308,2025-03-01,07:15:48 AM,07:49:57 AM,08:28:31 AM,SWIGGY,NA,-,218.00,59.99,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Baga Navtara,24-25/T1-151160,-,199763785517918,2025-03-01,07:26:48 AM,07:38:11 AM,08:28:37 AM,SWIGGY,NA,-,89.00,0.00,89.00,99.50,10.00,0.25,0.25,0,89.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,100.00,0,-,
Baga Navtara,24-25/T1-151162,-,199764240969745,2025-03-01,07:34:48 AM,07:56:47 AM,08:28:42 AM,SWIGGY,NA,-,227.00,59.99,167.00,177.50,10.00,0.25,0.25,36.05,130.95,0,0,0,0.00,0.50,0,0,0,0,0,0,0,178.00,0,-,
Baga Navtara,24-25/T1-151163,-,199764487384564,2025-03-01,07:38:48 AM,07:55:04 AM,08:28:47 AM,SWIGGY,NA,-,216.00,59.99,156.00,166.50,10.00,0.25,0.25,0,156.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,167.00,0,-,
Baga Navtara,24-25/T1-151164,-,199764614721388,2025-03-01,07:40:50 AM,07:56:59 AM,08:28:52 AM,SWIGGY,NA,-,266.00,59.99,206.00,216.50,10.00,0.25,0.25,30.20,175.80,0,0,0,0.00,0.50,0,0,0,0,0,0,0,217.00,0,-,
Baga Navtara,24-25/T1-151165,-,199765473944063,2025-03-01,07:54:49 AM,08:08:37 AM,08:28:57 AM,SWIGGY,NA,-,337.00,75.00,262.00,272.50,10.00,0.25,0.25,0,262.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,273.00,0,-,
Baga Navtara,24-25/T1-151166,-,199766082132918,2025-03-01,08:05:49 AM,08:15:26 AM,08:29:03 AM,SWIGGY,NA,-,258.00,60.00,198.00,208.50,10.00,0.25,0.25,0,198.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,209.00,0,-,
Baga Navtara,24-25/T1-151169,-,199766166579491,2025-03-01,08:06:51 AM,08:41:18 AM,09:31:38 AM,SWIGGY,NA,-,247.00,59.99,187.00,197.50,10.00,0.25,0.25,0,187.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,198.00,0,-,
Baga Navtara,24-25/T1-151170,-,199767325415609,2025-03-01,08:26:52 AM,08:42:44 AM,09:31:47 AM,SWIGGY,NA,-,495.00,0.00,495.00,505.50,10.00,0.25,0.25,0,495.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,506.00,0,-,
Baga Navtara,24-25/T1-151172,-,199767741643177,2025-03-01,08:32:52 AM,08:42:35 AM,09:32:11 AM,SWIGGY,NA,-,316.00,75.00,241.00,251.50,10.00,0.25,0.25,0,241.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,252.00,0,-,
