KTC Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.03.01--2025.03.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-04-16 01:09:16 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
KTC Navtara,24-25/T1-124521,-,199765754416703,2025-03-01,08:00:20 AM,08:17:06 AM,08:57:52 AM,SWIGGY,NA,-,332.00,75.00,257.00,270.88,10.00,0.25,0.25,0,257.02,1.69,1.69,0,0.00,0.13,0,0,0,0,0,0,0,271.00,0,-,
KTC Navtara,24-25/T1-124528,-,199766613289324,2025-03-01,08:15:22 AM,08:33:17 AM,08:57:58 AM,SWIGGY,NA,-,198.00,59.40,138.60,149.10,10.00,0.25,0.25,0,138.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,149.00,0,-,
KTC Navtara,24-25/T1-124530,-,199767191560307,2025-03-01,08:23:22 AM,08:33:03 AM,09:48:57 AM,SWIGGY,NA,-,226.00,59.98,166.01,177.58,10.00,0.25,0.25,21.30,144.71,0.54,0.54,0,0.00,0.42,0,0,0,0,0,0,0,178.00,0,-,
KTC Navtara,24-25/T1-124532,-,199767502714809,2025-03-01,08:29:24 AM,08:36:16 AM,09:49:02 AM,SWIGGY,NA,-,207.00,59.99,147.01,157.51,10.00,0.25,0.25,0,147.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,158.00,0,-,
KTC Navtara,24-25/T1-124542,-,199770879054096,2025-03-01,09:25:33 AM,09:47:17 AM,10:06:14 AM,SWIGGY,NA,-,149.00,0.00,149.00,159.50,10.00,0.25,0.25,0,149.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,160.00,0,-,
KTC Navtara,24-25/T1-124545,-,199771975241397,2025-03-01,09:43:34 AM,10:02:27 AM,10:06:20 AM,SWIGGY,NA,-,217.00,59.99,157.01,167.51,10.00,0.25,0.25,0,157.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,168.00,0,-,
KTC Navtara,24-25/T1-124549,-,199772492762244,2025-03-01,09:52:35 AM,10:21:00 AM,10:34:28 AM,SWIGGY,NA,-,337.00,74.99,262.01,277.52,10.00,0.25,0.25,161.72,100.29,2.50,2.50,0,0.00,0.48,0,0,0,0,0,0,0,278.00,0,-,
KTC Navtara,24-25/T1-124553,-,199773031197487,2025-03-01,10:01:35 AM,10:19:51 AM,10:34:34 AM,SWIGGY,NA,-,207.00,59.99,147.00,157.50,10.00,0.25,0.25,0,147.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,158.00,0,-,
KTC Navtara,24-25/T1-124554,-,199773023041957,2025-03-01,10:01:37 AM,10:26:34 AM,10:34:43 AM,SWIGGY,NA,-,645.00,0.00,645.00,674.85,10.00,0.25,0.25,0,645.00,9.68,9.68,0,0.00,0.15,0,0,0,0,0,0,0,675.00,0,-,
KTC Navtara,24-25/T1-124556,-,199773172059625,2025-03-01,10:04:35 AM,10:21:44 AM,10:46:04 AM,SWIGGY,NA,-,376.00,74.99,301.01,311.51,10.00,0.25,0.25,206.54,94.47,0,0,0,0.00,0.49,0,0,0,0,0,0,0,312.00,0,-,
KTC Navtara,24-25/T1-124557,-,199773446382250,2025-03-01,10:08:35 AM,10:20:26 AM,10:46:12 AM,SWIGGY,NA,-,297.00,60.00,237.00,247.50,10.00,0.25,0.25,0,237.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,248.00,0,-,
KTC Navtara,24-25/T1-124562,-,199775126670856,2025-03-01,10:35:37 AM,10:55:08 AM,11:10:30 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
KTC Navtara,24-25/T1-124567,-,199776793744364,2025-03-01,11:04:42 AM,11:33:14 AM,12:21:09 PM,SWIGGY,NA,-,228.00,0.00,228.00,238.50,10.00,0.25,0.25,0,228.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,239.00,0,-,
KTC Navtara,24-25/T1-124568,-,199777527905976,2025-03-01,11:15:44 AM,11:33:24 AM,12:21:14 PM,SWIGGY,NA,-,217.00,59.99,157.01,167.51,10.00,0.25,0.25,0,157.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,168.00,0,-,
KTC Navtara,24-25/T1-124569,-,199778170213542,2025-03-01,11:26:43 AM,11:47:47 AM,12:21:17 PM,SWIGGY,NA,-,410.00,74.99,335.01,352.62,10.00,0.25,0.25,0,335.01,3.56,3.56,0,0.00,0.38,0,0,0,0,0,0,0,353.00,0,-,
