Khorlim Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.03.01--2025.03.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-04-16 01:09:36 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Khorlim Navtara,24-25/T1-212298,-,199762784102831,2025-03-01,07:10:30 AM,07:43:10 AM,08:08:03 AM,SWIGGY,NA,-,454.00,87.49,366.51,377.01,10.00,0.25,0.25,46.82,319.69,0,0,0,0.00,-0.01,0,0,0,0,0,0,0,377.00,0,-,
Khorlim Navtara,24-25/T1-212301,-,199763538860276,2025-03-01,07:22:30 AM,07:42:52 AM,08:08:09 AM,SWIGGY,NA,-,304.00,0.00,304.00,314.50,10.00,0.25,0.25,117.00,187.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,315.00,0,-,
Khorlim Navtara,24-25/T1-212303,-,199764600007631,2025-03-01,07:41:30 AM,07:56:31 AM,08:08:15 AM,SWIGGY,NA,-,515.00,0.00,515.00,525.50,10.00,0.25,0.25,0,515.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,526.00,0,-,
Khorlim Navtara,24-25/T1-212304,-,199764742602719,2025-03-01,07:43:30 AM,07:56:38 AM,08:43:57 AM,SWIGGY,NA,-,297.00,59.99,237.00,247.50,10.00,0.25,0.25,0,237.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,248.00,0,-,
Khorlim Navtara,24-25/T1-212306,-,199766207730976,2025-03-01,08:07:30 AM,08:23:56 AM,08:44:15 AM,SWIGGY,NA,-,218.00,59.99,158.00,168.50,10.00,0.25,0.25,93.50,64.51,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Khorlim Navtara,24-25/T1-212309,-,199766990644726,2025-03-01,08:20:30 AM,08:42:57 AM,08:47:09 AM,SWIGGY,NA,-,395.00,75.00,320.00,330.50,10.00,0.25,0.25,0,320.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,331.00,0,-,
Khorlim Navtara,24-25/T1-212310,-,199767177029025,2025-03-01,08:23:30 AM,08:30:35 AM,08:47:16 AM,SWIGGY,NA,-,207.00,59.99,147.00,157.50,10.00,0.25,0.25,34.80,112.21,0,0,0,0.00,0.50,0,0,0,0,0,0,0,158.00,0,-,
Khorlim Navtara,24-25/T1-212311,-,199767267332820,2025-03-01,08:25:30 AM,08:46:49 AM,08:53:02 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Khorlim Navtara,24-25/T1-212312,-,199767445322948,2025-03-01,08:28:30 AM,08:58:29 AM,09:35:45 AM,SWIGGY,NA,-,346.00,75.00,271.00,281.50,10.00,0.25,0.25,0,271.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,282.00,0,-,
Khorlim Navtara,24-25/T1-212314,-,199767654056063,2025-03-01,08:31:33 AM,08:57:57 AM,09:35:50 AM,SWIGGY,NA,-,366.00,75.00,291.00,301.50,10.00,0.25,0.25,23.06,267.94,0,0,0,0.00,0.50,0,0,0,0,0,0,0,302.00,0,-,
Khorlim Navtara,24-25/T1-212321,-,199768916126621,2025-03-01,08:52:33 AM,09:01:50 AM,09:35:56 AM,SWIGGY,NA,-,216.00,59.99,156.01,166.51,10.00,0.25,0.25,0,156.00,0,0,0,0.00,0.49,0,0,0,0,0,0,0,167.00,0,-,
Khorlim Navtara,24-25/T1-212322,-,199769188104565,2025-03-01,08:56:33 AM,09:17:15 AM,09:36:04 AM,SWIGGY,NA,-,258.00,0.00,258.00,268.50,10.00,0.25,0.25,0,258.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,269.00,0,-,
Khorlim Navtara,24-25/T1-212324,-,199769479465287,2025-03-01,09:01:34 AM,09:22:14 AM,09:36:16 AM,SWIGGY,NA,-,257.00,59.99,197.00,212.44,10.00,0.25,0.25,0,197.01,2.47,2.47,0,0.00,-0.44,0,0,0,0,0,0,0,212.00,0,-,
Khorlim Navtara,24-25/T1-212325,-,199769599485062,2025-03-01,09:04:33 AM,09:30:36 AM,09:36:23 AM,SWIGGY,NA,-,208.00,0.00,208.00,218.50,10.00,0.25,0.25,59.00,149.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,219.00,0,-,
Khorlim Navtara,24-25/T1-212326,-,199769721552790,2025-03-01,09:06:34 AM,09:22:50 AM,09:36:30 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Khorlim Navtara,24-25/T1-212328,-,199770104748812,2025-03-01,09:12:35 AM,09:43:09 AM,09:49:42 AM,SWIGGY,NA,-,496.00,87.50,408.50,419.00,10.00,0.25,0.25,0,408.50,0,0,0,0.00,-0.00,0,0,0,0,0,0,0,419.00,0,-,
Khorlim Navtara,24-25/T1-212331,-,199770381224356,2025-03-01,09:16:34 AM,09:33:38 AM,09:49:50 AM,SWIGGY,NA,-,317.00,74.99,242.01,252.51,10.00,0.25,0.25,98.48,143.53,0,0,0,0.00,0.49,0,0,0,0,0,0,0,253.00,0,-,
Khorlim Navtara,24-25/T1-212332,-,199770417816239,2025-03-01,09:17:34 AM,09:31:15 AM,09:49:58 AM,SWIGGY,NA,-,337.00,75.00,262.00,272.50,10.00,0.25,0.25,0,262.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,273.00,0,-,
Khorlim Navtara,24-25/T1-212333,-,199770862231770,2025-03-01,09:24:34 AM,09:37:41 AM,10:07:23 AM,SWIGGY,NA,-,258.00,60.00,198.00,208.50,10.00,0.25,0.25,0,198.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,209.00,0,-,
Khorlim Navtara,24-25/T1-212336,-,199770999825913,2025-03-01,09:27:35 AM,09:44:40 AM,10:07:28 AM,SWIGGY,NA,-,208.00,59.99,148.00,158.50,10.00,0.25,0.25,0,148.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,159.00,0,-,
Khorlim Navtara,24-25/T1-212337,-,199771431041704,2025-03-01,09:34:35 AM,09:48:34 AM,10:07:34 AM,SWIGGY,NA,-,238.00,59.99,178.00,193.32,10.00,0.25,0.25,0,178.00,2.41,2.41,0,0.00,-0.32,0,0,0,0,0,0,0,193.00,0,-,
Khorlim Navtara,24-25/T1-212339,-,199772338225311,2025-03-01,09:49:34 AM,10:00:20 AM,10:07:41 AM,SWIGGY,NA,-,245.00,59.99,185.01,196.61,10.00,0.25,0.25,0,185.01,0.55,0.55,0,0.00,0.39,0,0,0,0,0,0,0,197.00,0,-,
Khorlim Navtara,24-25/T1-212344,-,199773541237877,2025-03-01,10:10:36 AM,10:11:08 AM,10:51:37 AM,SWIGGY,NA,-,297.00,59.99,237.00,247.50,10.00,0.25,0.25,0,237.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,248.00,0,-,
Khorlim Navtara,24-25/T1-212345,-,199773703658826,2025-03-01,10:12:37 AM,10:41:38 AM,10:56:12 AM,SWIGGY,NA,-,426.00,74.99,351.01,361.51,10.00,0.25,0.25,0,351.00,0,0,0,0.00,0.49,0,0,0,0,0,0,0,362.00,0,-,
Khorlim Navtara,24-25/T1-212348,-,199774484169624,2025-03-01,10:25:37 AM,10:49:44 AM,11:03:04 AM,SWIGGY,NA,-,258.00,59.99,198.00,208.50,10.00,0.25,0.25,0,198.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,209.00,0,-,
Khorlim Navtara,24-25/T1-212349,-,199774628059400,2025-03-01,10:27:37 AM,10:41:46 AM,11:03:10 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Khorlim Navtara,24-25/T1-212353,-,199774941778458,2025-03-01,10:33:39 AM,10:58:01 AM,11:03:16 AM,SWIGGY,NA,-,206.00,59.99,146.00,156.50,10.00,0.25,0.25,0,146.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,157.00,0,-,
Khorlim Navtara,24-25/T1-212354,-,199775066917357,2025-03-01,10:35:39 AM,10:55:18 AM,11:10:09 AM,SWIGGY,NA,-,307.00,0.00,307.00,317.50,10.00,0.25,0.25,0,307.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,318.00,0,-,
