Margao Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.03.01--2025.03.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-04-16 01:09:36 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,PhonePe -Offline,Total Tip,Offer Code,
Margao Navtara,24-25/T1-155897,-,199762533506691,2025-03-01,07:06:29 AM,07:23:50 AM,07:59:31 AM,SWIGGY,NA,-,208.00,59.99,148.00,158.50,10.00,0.25,0.25,0,148.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,159.00,0,0,-,
Margao Navtara,24-25/T1-155906,-,199764420239588,2025-03-01,07:37:30 AM,07:57:12 AM,08:15:30 AM,SWIGGY,NA,-,258.00,60.00,198.00,208.50,10.00,0.25,0.25,0,198.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,209.00,0,0,-,
Margao Navtara,24-25/T1-155907,-,199764485371465,2025-03-01,07:38:30 AM,07:44:40 AM,07:59:36 AM,SWIGGY,NA,-,118.00,0.00,118.00,128.50,10.00,0.25,0.25,0,118.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,129.00,0,0,-,
Margao Navtara,24-25/T1-155909,-,199764681679761,2025-03-01,07:42:30 AM,07:55:17 AM,08:15:34 AM,SWIGGY,NA,-,205.00,59.99,145.00,155.50,10.00,0.25,0.25,0,145.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,156.00,0,0,-,
Margao Navtara,24-25/T1-155913,-,199765483212004,2025-03-01,07:55:30 AM,08:03:24 AM,08:15:38 AM,SWIGGY,NA,-,434.00,0.00,434.00,447.40,10.00,0.25,0.25,258.00,176.00,1.45,1.45,0,0.00,-0.40,0,0,0,0,0,0,0,447.00,0,0,-,
Margao Navtara,24-25/T1-155915,-,199766107218746,2025-03-01,08:06:30 AM,08:21:32 AM,08:48:53 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,0,-,
Margao Navtara,24-25/T1-155921,-,199767057300868,2025-03-01,08:21:32 AM,08:31:38 AM,08:48:56 AM,SWIGGY,NA,-,216.00,59.99,156.00,166.50,10.00,0.25,0.25,20.95,135.05,0,0,0,0.00,0.50,0,0,0,0,0,0,0,167.00,0,0,-,
Margao Navtara,24-25/T1-155939,-,199769967713346,2025-03-01,09:09:32 AM,09:17:45 AM,09:45:55 AM,SWIGGY,NA,-,364.00,75.00,289.00,299.50,10.00,0.25,0.25,0,288.99,0,0,0,0.00,0.50,0,0,0,0,0,0,0,300.00,0,0,-,
Margao Navtara,24-25/T1-155946,-,199770541254259,2025-03-01,09:19:32 AM,09:36:53 AM,10:33:08 AM,SWIGGY,NA,-,207.00,59.99,147.00,157.50,10.00,0.25,0.25,20.59,126.41,0,0,0,0.00,0.50,0,0,0,0,0,0,0,158.00,0,0,-,
Margao Navtara,24-25/T1-155948,-,199770759896706,2025-03-01,09:23:32 AM,09:45:29 AM,10:33:14 AM,SWIGGY,NA,-,316.00,75.00,241.00,251.50,10.00,0.25,0.25,0,241.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,252.00,0,0,-,
