Panaji Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.03.01--2025.03.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-04-16 01:09:48 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Panaji Navtara,24-25/T1-226645,-,199762862145206,2025-03-01,07:11:52 AM,07:32:35 AM,08:12:08 AM,SWIGGY,NA,-,158.00,0.00,158.00,168.50,10.00,0.25,0.25,29.00,129.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Panaji Navtara,24-25/T1-226646,-,199763017135619,2025-03-01,07:14:14 AM,07:36:50 AM,08:13:25 AM,SWIGGY,NA,-,356.00,74.99,281.01,292.65,10.00,0.25,0.25,203.66,77.36,0.57,0.57,0,0.00,0.35,0,0,0,0,0,0,0,293.00,0,-,
Panaji Navtara,24-25/T1-226647,-,199763424721172,2025-03-01,07:20:51 AM,07:38:41 AM,08:13:29 AM,SWIGGY,NA,-,238.00,60.00,178.00,188.50,10.00,0.25,0.25,0,178.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,189.00,0,-,
Panaji Navtara,24-25/T1-226649,-,199763748983224,2025-03-01,07:26:51 AM,07:36:58 AM,08:13:34 AM,SWIGGY,NA,-,227.00,59.99,167.00,177.50,10.00,0.25,0.25,0,167.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,178.00,0,-,
Panaji Navtara,24-25/T1-226650,-,199764588166598,2025-03-01,07:40:51 AM,08:17:03 AM,08:21:32 AM,SWIGGY,NA,-,207.00,59.99,147.00,157.50,10.00,0.25,0.25,27.70,119.31,0,0,0,0.00,0.50,0,0,0,0,0,0,0,158.00,0,-,
Panaji Navtara,24-25/T1-226651,-,199764676519516,2025-03-01,07:41:51 AM,08:12:34 AM,08:13:40 AM,SWIGGY,NA,-,304.00,0.00,304.00,317.40,10.00,0.25,0.25,0,304.00,1.45,1.45,0,0.00,-0.40,0,0,0,0,0,0,0,317.00,0,-,
Panaji Navtara,24-25/T1-226652,-,199764744975829,2025-03-01,07:42:52 AM,08:04:52 AM,08:21:38 AM,SWIGGY,NA,-,49.00,0.00,49.00,59.50,10.00,0.25,0.25,49.00,0,0,0,0,0.00,0.50,0,0,0,0,0,0,0,60.00,0,-,
Panaji Navtara,24-25/T1-226653,-,199764816740707,2025-03-01,07:43:52 AM,08:12:12 AM,08:21:42 AM,SWIGGY,NA,-,235.00,59.98,175.01,185.51,10.00,0.25,0.25,21.60,153.42,0,0,0,0.00,0.49,0,0,0,0,0,0,0,186.00,0,-,
Panaji Navtara,24-25/T1-226654,-,199765076234474,2025-03-01,07:48:51 AM,08:17:18 AM,08:21:46 AM,SWIGGY,NA,-,316.00,75.00,241.00,251.50,10.00,0.25,0.25,0,241.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,252.00,0,-,
Panaji Navtara,24-25/T1-226655,-,199765199147138,2025-03-01,07:50:14 AM,08:13:53 AM,08:21:53 AM,SWIGGY,NA,-,206.00,59.99,146.00,156.50,10.00,0.25,0.25,34.73,111.28,0,0,0,0.00,0.50,0,0,0,0,0,0,0,157.00,0,-,
