Porvorim Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.03.01--2025.03.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-04-16 01:09:52 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Porvorim Navtara,24-25/T1-189940,-,199762508619840,2025-03-01,07:06:19 AM,07:40:01 AM,08:09:06 AM,SWIGGY,NA,-,406.00,75.00,331.00,341.50,10.00,0.25,0.25,0,331.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,342.00,0,-,
Porvorim Navtara,24-25/T1-189943,-,199763322700904,2025-03-01,07:19:19 AM,07:42:39 AM,08:27:39 AM,SWIGGY,NA,-,218.00,59.99,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Porvorim Navtara,24-25/T1-189944,-,199764377320255,2025-03-01,07:37:22 AM,08:02:24 AM,08:43:17 AM,SWIGGY,NA,-,258.00,60.00,198.00,208.50,10.00,0.25,0.25,0,198.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,209.00,0,-,
Porvorim Navtara,24-25/T1-189945,-,199764634873769,2025-03-01,07:41:23 AM,07:57:24 AM,08:43:22 AM,SWIGGY,NA,-,207.00,62.49,144.50,155.00,10.00,0.25,0.25,0,144.50,0,0,0,0.00,-0.00,0,0,0,0,0,0,0,155.00,0,-,
Porvorim Navtara,24-25/T1-189948,-,199765404169069,2025-03-01,07:54:23 AM,08:09:24 AM,09:14:48 AM,SWIGGY,NA,-,248.00,59.99,188.00,198.50,10.00,0.25,0.25,0,188.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,199.00,0,-,
Porvorim Navtara,24-25/T1-189951,-,199767502907113,2025-03-01,08:33:25 AM,08:43:00 AM,09:35:42 AM,SWIGGY,NA,-,247.00,62.49,184.50,195.00,10.00,0.25,0.25,0,184.50,0,0,0,0.00,-0.00,0,0,0,0,0,0,0,195.00,0,-,
Porvorim Navtara,24-25/T1-189952,-,199768692873490,2025-03-01,08:48:26 AM,08:52:23 AM,10:01:44 AM,SWIGGY,NA,-,247.00,59.99,187.00,197.50,10.00,0.25,0.25,0,187.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,198.00,0,-,
Porvorim Navtara,24-25/T1-189954,-,199769693229382,2025-03-01,09:05:27 AM,09:11:09 AM,10:02:08 AM,SWIGGY,NA,-,216.00,59.99,156.00,166.50,10.00,0.25,0.25,0,156.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,167.00,0,-,
Porvorim Navtara,24-25/T1-189956,-,199769870421730,2025-03-01,09:09:26 AM,09:16:40 AM,10:02:01 AM,SWIGGY,NA,-,218.00,59.99,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Porvorim Navtara,24-25/T1-189958,-,199770217252933,2025-03-01,09:14:26 AM,09:43:00 AM,11:03:24 AM,SWIGGY,NA,-,323.00,74.99,248.01,261.85,10.00,0.25,0.25,0,248.00,1.67,1.67,0,0.00,0.15,0,0,0,0,0,0,0,262.00,0,-,
Porvorim Navtara,24-25/T1-189960,-,199770559521698,2025-03-01,09:20:27 AM,09:26:36 AM,11:10:51 AM,SWIGGY,NA,-,69.00,0.00,69.00,79.50,10.00,0.25,0.25,0,69.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,80.00,0,-,
Porvorim Navtara,24-25/T1-189961,-,199770724797479,2025-03-01,09:23:27 AM,09:40:41 AM,11:12:38 AM,SWIGGY,NA,-,277.00,59.99,217.00,228.64,10.00,0.25,0.25,0,217.01,0.57,0.57,0,0.00,0.36,0,0,0,0,0,0,0,229.00,0,-,
Porvorim Navtara,24-25/T1-189963,-,199771188983950,2025-03-01,09:30:27 AM,09:57:51 AM,11:13:42 AM,SWIGGY,NA,-,337.00,74.99,262.01,272.51,10.00,0.25,0.25,100.29,161.71,0,0,0,0.00,0.49,0,0,0,0,0,0,0,273.00,0,-,
Porvorim Navtara,24-25/T1-189964,-,199771251890623,2025-03-01,09:31:27 AM,09:57:57 AM,11:13:48 AM,SWIGGY,NA,-,267.00,59.99,207.00,217.50,10.00,0.25,0.25,0,207.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,218.00,0,-,
Porvorim Navtara,24-25/T1-189969,-,199771474218446,2025-03-01,09:35:27 AM,09:59:19 AM,11:13:55 AM,SWIGGY,NA,-,217.00,0.00,217.00,227.50,10.00,0.25,0.25,0,217.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,228.00,0,-,
Porvorim Navtara,24-25/T1-189971,-,199771686294617,2025-03-01,09:39:27 AM,10:00:21 AM,11:14:00 AM,SWIGGY,NA,-,247.00,59.99,187.01,197.51,10.00,0.25,0.25,0,187.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,198.00,0,-,
Porvorim Navtara,24-25/T1-189973,-,199772476294018,2025-03-01,09:52:25 AM,10:00:43 AM,11:14:11 AM,SWIGGY,NA,-,147.00,0.00,147.00,157.50,10.00,0.25,0.25,0,147.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,158.00,0,-,
Porvorim Navtara,24-25/T1-189974,-,199772455341735,2025-03-01,09:52:25 AM,10:14:16 AM,11:14:38 AM,SWIGGY,NA,-,238.00,59.99,178.00,188.50,10.00,0.25,0.25,0,178.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,189.00,0,-,
Porvorim Navtara,24-25/T1-189975,-,199772376044226,2025-03-01,09:52:26 AM,10:37:49 AM,11:28:25 AM,SWIGGY,NA,-,414.00,75.00,339.00,349.50,10.00,0.25,0.25,71.24,267.76,0,0,0,0.00,0.50,0,0,0,0,0,0,0,350.00,0,-,
Porvorim Navtara,24-25/T1-189977,-,199772147636205,2025-03-01,09:52:28 AM,10:11:13 AM,11:28:29 AM,SWIGGY,NA,-,198.00,59.40,138.60,149.10,10.00,0.25,0.25,0,138.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,149.00,0,-,
Porvorim Navtara,24-25/T1-189980,-,199772969845704,2025-03-01,10:00:25 AM,10:28:06 AM,11:28:47 AM,SWIGGY,NA,-,257.00,59.99,197.01,207.51,10.00,0.25,0.25,0,197.02,0,0,0,0.00,0.49,0,0,0,0,0,0,0,208.00,0,-,
Porvorim Navtara,24-25/T1-189983,-,199773552228428,2025-03-01,10:11:26 AM,10:28:19 AM,11:38:02 AM,SWIGGY,NA,-,286.00,62.49,223.51,234.01,10.00,0.25,0.25,0,223.51,0,0,0,0.00,-0.01,0,0,0,0,0,0,0,234.00,0,-,
Porvorim Navtara,24-25/T1-189986,-,199773858835100,2025-03-01,10:14:25 AM,10:42:39 AM,11:38:10 AM,SWIGGY,NA,-,168.00,0.00,168.00,178.50,10.00,0.25,0.25,39.00,129.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,179.00,0,-,
Porvorim Navtara,24-25/T1-189988,-,199774378396390,2025-03-01,10:24:23 AM,10:55:49 AM,11:38:15 AM,SWIGGY,NA,-,594.00,0.00,594.00,604.50,10.00,0.25,0.25,127.00,467.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,605.00,0,-,
Porvorim Navtara,24-25/T1-189989,-,199774285744961,2025-03-01,10:24:26 AM,10:45:57 AM,11:41:19 AM,SWIGGY,NA,-,208.00,59.99,148.00,158.50,10.00,0.25,0.25,0,148.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,159.00,0,-,
Porvorim Navtara,24-25/T1-189991,-,199774719031627,2025-03-01,10:29:17 AM,10:43:33 AM,11:41:54 AM,SWIGGY,NA,-,297.00,59.99,237.00,247.50,10.00,0.25,0.25,0,237.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,248.00,0,-,
Porvorim Navtara,24-25/T1-189993,-,199775220924874,2025-03-01,10:38:18 AM,11:23:28 AM,11:42:00 AM,SWIGGY,NA,-,357.00,75.00,282.00,292.50,10.00,0.25,0.25,0,282.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,293.00,0,-,
Porvorim Navtara,24-25/T1-189995,-,199775537402693,2025-03-01,10:43:18 AM,11:00:50 AM,11:48:34 AM,SWIGGY,NA,-,287.00,59.99,227.00,237.50,10.00,0.25,0.25,0,227.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,238.00,0,-,
Porvorim Navtara,24-25/T1-189996,-,199775598581722,2025-03-01,10:44:18 AM,11:23:55 AM,11:48:42 AM,SWIGGY,NA,-,316.00,75.00,241.00,251.50,10.00,0.25,0.25,44.24,196.77,0,0,0,0.00,0.50,0,0,0,0,0,0,0,252.00,0,-,
Porvorim Navtara,24-25/T1-189998,-,199775726629689,2025-03-01,10:46:18 AM,11:28:54 AM,11:48:48 AM,SWIGGY,NA,-,188.00,56.40,131.60,142.10,10.00,0.25,0.25,0,131.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,142.00,0,-,
Porvorim Navtara,24-25/T1-189999,-,199775806832190,2025-03-01,10:47:18 AM,11:06:19 AM,11:48:57 AM,SWIGGY,NA,-,228.00,59.99,168.00,178.50,10.00,0.25,0.25,0,168.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,179.00,0,-,
