Siolim Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.03.01--2025.03.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-04-16 01:09:58 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Siolim Navtara,24-25/T1-169623,-,199763156233432,2025-03-01,07:17:50 AM,07:29:58 AM,08:18:44 AM,SWIGGY,NA,-,307.00,74.99,232.01,242.51,10.00,0.25,0.25,89.93,142.08,0,0,0,0.00,0.49,0,0,0,0,0,0,0,243.00,0,-,
Siolim Navtara,24-25/T1-169628,-,199765141841767,2025-03-01,07:49:50 AM,07:57:39 AM,08:18:49 AM,SWIGGY,NA,-,368.00,0.00,368.00,378.50,10.00,0.25,0.25,0,368.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,379.00,0,-,
Siolim Navtara,24-25/T1-169630,-,199766603232831,2025-03-01,08:14:51 AM,08:30:06 AM,09:12:52 AM,SWIGGY,NA,-,234.00,59.99,174.00,185.59,10.00,0.25,0.25,0,174.01,0.54,0.54,0,0.00,0.41,0,0,0,0,0,0,0,186.00,0,-,
Siolim Navtara,24-25/T1-169634,-,199769441204352,2025-03-01,09:01:51 AM,09:12:34 AM,09:55:40 AM,SWIGGY,NA,-,356.00,74.99,281.01,291.51,10.00,0.25,0.25,109.72,171.29,0,0,0,0.00,0.49,0,0,0,0,0,0,0,292.00,0,-,
Siolim Navtara,24-25/T1-169636,-,199770223448027,2025-03-01,09:13:51 AM,09:43:04 AM,09:57:04 AM,SWIGGY,NA,-,208.00,59.99,148.00,158.50,10.00,0.25,0.25,0,148.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,159.00,0,-,
Siolim Navtara,24-25/T1-169640,-,199770395886095,2025-03-01,09:16:51 AM,09:32:25 AM,10:24:51 AM,SWIGGY,NA,-,258.00,59.99,198.00,208.50,10.00,0.25,0.25,0,198.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,209.00,0,-,
Siolim Navtara,24-25/T1-169641,-,199770502477539,2025-03-01,09:18:51 AM,10:03:43 AM,10:27:42 AM,SWIGGY,NA,-,298.00,60.00,238.00,248.50,10.00,0.25,0.25,0,238.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,249.00,0,-,
Siolim Navtara,24-25/T1-169642,-,199770762676271,2025-03-01,09:23:51 AM,09:37:30 AM,09:57:52 AM,SWIGGY,NA,-,177.00,0.00,177.00,187.50,10.00,0.25,0.25,98.00,79.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,188.00,0,-,
Siolim Navtara,24-25/T1-169643,-,199770876029682,2025-03-01,09:24:52 AM,09:36:18 AM,10:24:56 AM,SWIGGY,NA,-,289.00,60.00,229.00,239.50,10.00,0.25,0.25,0,229.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,240.00,0,-,
Siolim Navtara,24-25/T1-169644,-,199770900837370,2025-03-01,09:25:52 AM,09:39:09 AM,10:25:15 AM,SWIGGY,NA,-,108.00,0.00,108.00,118.50,10.00,0.25,0.25,0,108.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,119.00,0,-,
Siolim Navtara,24-25/T1-169645,-,199771048942840,2025-03-01,09:28:52 AM,09:43:15 AM,09:58:03 AM,SWIGGY,NA,-,327.00,74.99,252.01,262.51,10.00,0.25,0.25,114.83,137.18,0,0,0,0.00,0.49,0,0,0,0,0,0,0,263.00,0,-,
Siolim Navtara,24-25/T1-169647,-,199771354044685,2025-03-01,09:32:52 AM,09:56:50 AM,10:25:21 AM,SWIGGY,NA,-,205.00,59.99,145.01,155.51,10.00,0.25,0.25,68.62,76.39,0,0,0,0.00,0.49,0,0,0,0,0,0,0,156.00,0,-,
Siolim Navtara,24-25/T1-169649,-,199771512895793,2025-03-01,09:35:52 AM,09:52:46 AM,10:25:53 AM,SWIGGY,NA,-,217.00,59.99,157.00,167.50,10.00,0.25,0.25,0,157.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,168.00,0,-,
Siolim Navtara,24-25/T1-169655,-,199772129291176,2025-03-01,09:45:52 AM,10:06:54 AM,10:26:03 AM,SWIGGY,NA,-,216.00,60.00,156.00,166.50,10.00,0.25,0.25,0,156.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,167.00,0,-,
Siolim Navtara,24-25/T1-169657,-,199772639339811,2025-03-01,09:54:52 AM,10:18:26 AM,11:54:36 AM,SWIGGY,NA,-,625.00,0.00,625.00,635.50,10.00,0.25,0.25,0,625.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,636.00,0,-,
Siolim Navtara,24-25/T1-169658,-,199772817548550,2025-03-01,09:57:52 AM,10:18:15 AM,11:54:46 AM,SWIGGY,NA,-,268.00,0.00,268.00,278.50,10.00,0.25,0.25,149.00,119.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,279.00,0,-,
Siolim Navtara,24-25/T1-169659,-,199772972732855,2025-03-01,09:59:52 AM,10:15:48 AM,11:54:52 AM,SWIGGY,NA,-,225.00,59.99,165.00,175.50,10.00,0.25,0.25,71.87,93.13,0,0,0,0.00,0.50,0,0,0,0,0,0,0,176.00,0,-,
Siolim Navtara,24-25/T1-169662,-,199773634863011,2025-03-01,10:10:52 AM,10:25:04 AM,11:54:56 AM,SWIGGY,NA,-,266.00,59.99,206.01,216.51,10.00,0.25,0.25,0,206.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,217.00,0,-,
Siolim Navtara,24-25/T1-169664,-,199773869710224,2025-03-01,10:15:52 AM,10:40:32 AM,11:55:01 AM,SWIGGY,NA,-,614.00,99.99,514.01,524.51,10.00,0.25,0.25,0,514.00,0,0,0,0.00,0.49,0,0,0,0,0,0,0,525.00,0,-,
Siolim Navtara,24-25/T1-169665,-,199774132741849,2025-03-01,10:19:52 AM,10:38:01 AM,11:58:50 AM,SWIGGY,NA,-,887.00,0.00,887.00,906.20,10.00,0.25,0.25,0,887.00,4.35,4.35,0,0.00,-0.20,0,0,0,0,0,0,0,906.00,0,-,
