Baga Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.05.01--2025.05.17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-22 09:54:57 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Baga Navtara,25-26/T1-3616,-,205033839873457,2025-05-01,07:31:11 AM,07:55:47 AM,08:15:47 AM,SWIGGY,NA,-,187.00,56.10,130.90,142.77,10.00,0.25,0.25,0,130.90,0.69,0.69,0.00,0.23,0,0,0,0,0,0,0,143.00,0,-,
Baga Navtara,25-26/T1-3617,-,205033084035508,2025-05-01,07:31:13 AM,08:09:08 AM,08:15:55 AM,SWIGGY,NA,-,454.00,100.00,354.00,364.50,10.00,0.25,0.25,0,354.02,0,0,0.00,0.50,0,0,0,0,0,0,0,365.00,0,-,
Baga Navtara,25-26/T1-3618,-,205034741316433,2025-05-01,07:36:09 AM,08:10:28 AM,08:16:00 AM,SWIGGY,NA,-,207.00,59.99,147.00,157.50,10.00,0.25,0.25,0,147.00,0,0,0.00,0.50,0,0,0,0,0,0,0,158.00,0,-,
Baga Navtara,25-26/T1-3620,-,205036833190459,2025-05-01,08:11:07 AM,08:36:38 AM,09:41:33 AM,SWIGGY,NA,-,278.00,60.00,218.00,233.95,10.00,0.25,0.25,0,218.00,2.73,2.73,0.00,0.05,0,0,0,0,0,0,0,234.00,0,-,
Baga Navtara,25-26/T1-3621,-,205036971064713,2025-05-01,08:13:09 AM,08:25:10 AM,09:41:43 AM,SWIGGY,NA,-,327.00,75.00,252.00,262.50,10.00,0.25,0.25,0,252.00,0,0,0.00,0.50,0,0,0,0,0,0,0,263.00,0,-,
Baga Navtara,25-26/T1-3622,-,205037343059373,2025-05-01,08:22:24 AM,08:51:52 AM,09:42:13 AM,SWIGGY,NA,-,217.00,59.99,157.01,167.51,10.00,0.25,0.25,0,157.01,0,0,0.00,0.49,0,0,0,0,0,0,0,168.00,0,-,
Baga Navtara,25-26/T1-3625,-,205038095881429,2025-05-01,08:32:25 AM,08:45:52 AM,10:43:36 AM,SWIGGY,NA,-,259.00,60.00,199.00,209.50,10.00,0.25,0.25,0,199.00,0,0,0.00,0.50,0,0,0,0,0,0,0,210.00,0,-,
Baga Navtara,25-26/T1-3626,-,205038288200105,2025-05-01,08:35:25 AM,08:56:10 AM,10:43:42 AM,SWIGGY,NA,-,336.00,74.99,261.01,271.51,10.00,0.25,0.25,0,261.00,0,0,0.00,0.49,0,0,0,0,0,0,0,272.00,0,-,
Baga Navtara,25-26/T1-3627,-,205038346569226,2025-05-01,08:36:24 AM,08:48:27 AM,10:43:50 AM,SWIGGY,NA,-,416.00,75.00,341.00,351.50,10.00,0.25,0.25,0,341.00,0,0,0.00,0.50,0,0,0,0,0,0,0,352.00,0,-,
Baga Navtara,25-26/T1-3628,-,205038590180275,2025-05-01,08:40:25 AM,08:52:06 AM,10:43:56 AM,SWIGGY,NA,-,198.00,59.40,138.60,149.10,10.00,0.25,0.25,0,138.60,0,0,0.00,-0.10,0,0,0,0,0,0,0,149.00,0,-,
Baga Navtara,25-26/T1-3629,-,205038676060749,2025-05-01,08:42:25 AM,08:57:20 AM,10:44:04 AM,SWIGGY,NA,-,227.00,59.99,167.00,177.50,10.00,0.25,0.25,0,167.00,0,0,0.00,0.50,0,0,0,0,0,0,0,178.00,0,-,
Baga Navtara,25-26/T1-3630,-,205038939363592,2025-05-01,08:46:25 AM,08:52:39 AM,10:44:13 AM,SWIGGY,NA,-,277.00,59.99,217.00,227.50,10.00,0.25,0.25,0,217.00,0,0,0.00,0.50,0,0,0,0,0,0,0,228.00,0,-,
Baga Navtara,25-26/T1-3634,-,205040371106962,2025-05-01,09:10:26 AM,09:31:03 AM,10:44:19 AM,SWIGGY,NA,-,505.00,74.99,430.01,440.51,10.00,0.25,0.25,0,430.01,0,0,0.00,0.49,0,0,0,0,0,0,0,441.00,0,-,
Baga Navtara,25-26/T1-3635,-,205040481209820,2025-05-01,09:11:26 AM,09:22:33 AM,10:44:26 AM,SWIGGY,NA,-,237.00,59.99,177.00,187.50,10.00,0.25,0.25,29.13,147.88,0,0,0.00,0.50,0,0,0,0,0,0,0,188.00,0,-,
Baga Navtara,25-26/T1-3638,-,205040660233273,2025-05-01,09:15:27 AM,09:34:59 AM,10:44:38 AM,SWIGGY,NA,-,259.00,60.00,199.00,209.50,10.00,0.25,0.25,0,199.00,0,0,0.00,0.50,0,0,0,0,0,0,0,210.00,0,-,
Baga Navtara,25-26/T1-3639,-,205041113680357,2025-05-01,09:22:26 AM,09:35:39 AM,10:47:09 AM,SWIGGY,NA,-,355.00,74.98,280.01,290.51,10.00,0.25,0.25,0,280.01,0,0,0.00,0.49,0,0,0,0,0,0,0,291.00,0,-,
Baga Navtara,25-26/T1-3640,-,205041200498734,2025-05-01,09:23:26 AM,09:59:28 AM,10:47:20 AM,SWIGGY,NA,-,218.00,59.99,158.00,173.54,10.00,0.25,0.25,0,158.01,2.52,2.52,0.00,0.46,0,0,0,0,0,0,0,174.00,0,-,
Baga Navtara,25-26/T1-3641,-,205041494562947,2025-05-01,09:28:26 AM,09:59:59 AM,10:47:27 AM,SWIGGY,NA,-,553.00,0.00,553.00,565.45,10.00,0.25,0.25,0,553.00,0.97,0.97,0.00,-0.45,0,0,0,0,0,0,0,565.00,0,-,
Baga Navtara,25-26/T1-3642,-,205041475337795,2025-05-01,09:28:27 AM,09:43:46 AM,10:54:44 AM,SWIGGY,NA,-,248.00,59.99,188.00,198.50,10.00,0.25,0.25,0,188.01,0,0,0.00,0.50,0,0,0,0,0,0,0,199.00,0,-,
Baga Navtara,25-26/T1-3643,-,205041441815183,2025-05-01,09:28:29 AM,09:45:40 AM,11:20:01 AM,SWIGGY,NA,-,466.00,99.99,366.01,376.51,10.00,0.25,0.25,109.17,256.83,0,0,0.00,0.49,0,0,0,0,0,0,0,377.00,0,-,
Baga Navtara,25-26/T1-3646,-,205041931752035,2025-05-01,09:36:28 AM,10:04:26 AM,11:20:07 AM,SWIGGY,NA,-,377.00,74.99,302.01,318.08,10.00,0.25,0.25,87.32,214.69,2.79,2.79,0.00,-0.08,0,0,0,0,0,0,0,318.00,0,-,
Baga Navtara,25-26/T1-3647,-,205042529030339,2025-05-01,09:46:26 AM,10:05:04 AM,11:20:14 AM,SWIGGY,NA,-,305.00,75.00,230.00,243.44,10.00,0.25,0.25,29.41,200.59,1.47,1.47,0.00,-0.44,0,0,0,0,0,0,0,243.00,0,-,
Baga Navtara,25-26/T1-3650,-,205043429595248,2025-05-01,10:01:25 AM,10:28:18 AM,11:20:22 AM,SWIGGY,NA,-,198.00,0.00,198.00,208.50,10.00,0.25,0.25,0,198.00,0,0,0.00,0.50,0,0,0,0,0,0,0,209.00,0,-,
Baga Navtara,25-26/T1-3651,-,205043623341373,2025-05-01,10:04:25 AM,10:27:51 AM,11:20:29 AM,SWIGGY,NA,-,216.00,71.28,144.72,156.53,10.00,0.25,0.25,0,144.72,0.66,0.66,0.00,0.47,0,0,0,0,0,0,0,157.00,0,-,
Baga Navtara,25-26/T1-3652,-,205043680745052,2025-05-01,10:05:26 AM,10:15:07 AM,11:21:14 AM,SWIGGY,NA,-,139.00,0.00,139.00,156.45,10.00,0.25,0.25,0,139.00,3.48,3.48,0.00,-0.45,0,0,0,0,0,0,0,156.00,0,-,
Baga Navtara,25-26/T1-3653,-,205044011205206,2025-05-01,10:10:26 AM,10:34:47 AM,11:29:58 AM,SWIGGY,NA,-,416.00,78.00,338.00,348.50,10.00,0.25,0.25,0,337.99,0,0,0.00,0.50,0,0,0,0,0,0,0,349.00,0,-,
Baga Navtara,25-26/T1-3655,-,205044286271355,2025-05-01,10:15:26 AM,10:31:22 AM,12:09:23 PM,SWIGGY,NA,-,318.00,75.00,243.00,253.50,10.00,0.25,0.25,0,243.01,0,0,0.00,0.50,0,0,0,0,0,0,0,254.00,0,-,
Baga Navtara,25-26/T1-3656,-,205044280395216,2025-05-01,10:15:27 AM,10:31:33 AM,12:09:29 PM,SWIGGY,NA,-,367.00,59.99,307.01,317.51,10.00,0.25,0.25,0,307.01,0,0,0.00,0.49,0,0,0,0,0,0,0,318.00,0,-,
Baga Navtara,25-26/T1-3658,-,205044765952032,2025-05-01,10:25:41 AM,10:57:58 AM,12:09:44 PM,SWIGGY,NA,-,311.00,75.00,236.00,246.50,10.00,0.25,0.25,82.72,153.29,0,0,0.00,0.50,0,0,0,0,0,0,0,247.00,0,-,
Baga Navtara,25-26/T1-3660,-,205044660168992,2025-05-01,10:25:45 AM,11:17:51 AM,12:09:50 PM,SWIGGY,NA,-,962.00,120.25,841.75,858.33,10.00,0.25,0.25,95.37,746.36,3.04,3.04,0.00,-0.33,0,0,0,0,0,0,0,858.00,0,-,
Baga Navtara,25-26/T1-3662,-,205044980968194,2025-05-01,10:27:39 AM,10:51:18 AM,12:09:56 PM,SWIGGY,NA,-,265.00,59.99,205.00,215.50,10.00,0.25,0.25,60.34,144.66,0,0,0.00,0.50,0,0,0,0,0,0,0,216.00,0,-,
Baga Navtara,25-26/T1-3663,-,205045155470706,2025-05-01,10:29:39 AM,10:45:14 AM,12:10:01 PM,SWIGGY,NA,-,475.00,99.99,375.01,385.51,10.00,0.25,0.25,172.11,202.90,0,0,0.00,0.49,0,0,0,0,0,0,0,386.00,0,-,
Baga Navtara,25-26/T1-3664,-,205045785323365,2025-05-01,10:43:09 AM,11:07:43 AM,12:10:06 PM,SWIGGY,NA,-,217.00,59.99,157.00,168.91,10.00,0.25,0.25,0,157.01,0.70,0.70,0.00,0.09,0,0,0,0,0,0,0,169.00,0,-,
Baga Navtara,25-26/T1-3665,-,205046460864478,2025-05-01,10:51:41 AM,11:09:09 AM,12:10:11 PM,SWIGGY,NA,-,256.00,59.99,196.00,206.50,10.00,0.25,0.25,83.46,112.55,0,0,0.00,0.50,0,0,0,0,0,0,0,207.00,0,-,
Baga Navtara,25-26/T1-3668,-,205047263185330,2025-05-01,11:04:43 AM,11:20:35 AM,12:10:16 PM,SWIGGY,NA,-,237.00,78.00,159.00,169.50,10.00,0.25,0.25,0,159.00,0,0,0.00,0.50,0,0,0,0,0,0,0,170.00,0,-,
Baga Navtara,25-26/T1-3670,-,205047423336659,2025-05-01,11:07:43 AM,11:32:33 AM,12:10:22 PM,SWIGGY,NA,-,238.00,78.00,160.00,170.50,10.00,0.25,0.25,53.11,106.89,0,0,0.00,0.50,0,0,0,0,0,0,0,171.00,0,-,
Baga Navtara,25-26/T1-3671,-,205047512315894,2025-05-01,11:12:48 AM,11:32:25 AM,12:10:26 PM,SWIGGY,NA,-,256.00,78.00,178.00,188.50,10.00,0.25,0.25,0,178.00,0,0,0.00,0.50,0,0,0,0,0,0,0,189.00,0,-,
Baga Navtara,25-26/T1-3672,-,205047811444398,2025-05-01,11:13:43 AM,11:24:13 AM,12:10:31 PM,SWIGGY,NA,-,259.00,78.00,181.00,191.50,10.00,0.25,0.25,0,181.00,0,0,0.00,0.50,0,0,0,0,0,0,0,192.00,0,-,
Baga Navtara,25-26/T1-3674,-,205047957173615,2025-05-01,11:17:31 AM,11:41:43 AM,12:10:36 PM,SWIGGY,NA,-,209.00,60.00,149.00,159.50,10.00,0.25,0.25,0,149.00,0,0,0.00,0.50,0,0,0,0,0,0,0,160.00,0,-,
Baga Navtara,25-26/T1-3677,-,205048327026058,2025-05-01,11:22:43 AM,11:43:06 AM,12:10:41 PM,SWIGGY,NA,-,227.00,59.99,167.01,178.94,10.00,0.25,0.25,0,167.01,0.71,0.71,0.00,0.06,0,0,0,0,0,0,0,179.00,0,-,
Baga Navtara,25-26/T1-3678,-,205048680268777,2025-05-01,11:29:47 AM,11:43:16 AM,12:10:47 PM,SWIGGY,NA,-,95.00,0.00,95.00,105.50,10.00,0.25,0.25,0,95.00,0,0,0.00,0.50,0,0,0,0,0,0,0,106.00,0,-,
Baga Navtara,25-26/T1-3679,-,205048839643661,2025-05-01,11:32:09 AM,11:49:39 AM,12:10:51 PM,SWIGGY,NA,-,595.00,0.00,595.00,605.50,10.00,0.25,0.25,0,595.00,0,0,0.00,0.50,0,0,0,0,0,0,0,606.00,0,-,
Baga Navtara,25-26/T1-3683,-,205049900118639,2025-05-01,11:48:44 AM,12:09:05 PM,12:11:00 PM,SWIGGY,NA,-,227.00,59.99,167.01,177.51,10.00,0.25,0.25,28.69,138.32,0,0,0.00,0.49,0,0,0,0,0,0,0,178.00,0,-,
Baga Navtara,25-26/T1-3684,-,205050781754327,2025-05-01,12:03:53 PM,12:37:29 PM,01:28:27 PM,SWIGGY,NA,-,269.00,78.00,191.00,201.50,10.00,0.25,0.25,0,191.00,0,0,0.00,0.50,0,0,0,0,0,0,0,202.00,0,-,
Baga Navtara,25-26/T1-3688,-,205051024498626,2025-05-01,12:07:52 PM,12:42:46 PM,01:28:37 PM,SWIGGY,NA,-,267.00,59.99,207.00,217.50,10.00,0.25,0.25,0,207.01,0,0,0.00,0.50,0,0,0,0,0,0,0,218.00,0,-,
Baga Navtara,25-26/T1-3689,-,205051349409201,2025-05-01,12:12:53 PM,12:45:22 PM,01:28:46 PM,SWIGGY,NA,-,466.00,100.00,366.00,376.50,10.00,0.25,0.25,0,366.00,0,0,0.00,0.50,0,0,0,0,0,0,0,377.00,0,-,
Baga Navtara,25-26/T1-3690,-,205051410464269,2025-05-01,12:13:52 PM,12:40:02 PM,01:29:17 PM,SWIGGY,NA,-,428.00,78.00,350.00,360.50,10.00,0.25,0.25,0,350.01,0,0,0.00,0.50,0,0,0,0,0,0,0,361.00,0,-,
Baga Navtara,25-26/T1-3691,-,205051343051306,2025-05-01,12:13:53 PM,12:39:05 PM,01:29:26 PM,SWIGGY,NA,-,197.00,65.01,131.99,142.49,10.00,0.25,0.25,0,131.99,0,0,0.00,-0.49,0,0,0,0,0,0,0,142.00,0,-,
Baga Navtara,25-26/T1-3692,-,205051787782480,2025-05-01,12:19:52 PM,12:49:31 PM,01:58:46 PM,SWIGGY,NA,-,489.00,59.99,429.01,439.51,10.00,0.25,0.25,0,429.01,0,0,0.00,0.49,0,0,0,0,0,0,0,440.00,0,-,
Baga Navtara,25-26/T1-3693,-,205051874364816,2025-05-01,12:21:53 PM,12:38:11 PM,01:58:53 PM,SWIGGY,NA,-,269.00,60.00,209.00,219.50,10.00,0.25,0.25,0,209.00,0,0,0.00,0.50,0,0,0,0,0,0,0,220.00,0,-,
Baga Navtara,25-26/T1-3696,-,205052590056759,2025-05-01,12:34:03 PM,12:49:45 PM,01:59:12 PM,SWIGGY,NA,-,269.00,60.00,209.00,219.50,10.00,0.25,0.25,0,209.00,0,0,0.00,0.50,0,0,0,0,0,0,0,220.00,0,-,
