KTC Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.05.01--2025.05.17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-22 09:55:11 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
KTC Navtara,25-26/T1-3128,-,205037562642978,2025-05-01,08:23:12 AM,08:58:36 AM,09:02:39 AM,SWIGGY,NA,-,206.00,59.99,146.01,157.54,10.00,0.25,0.25,34.73,111.28,0.52,0.52,0.00,0.46,0,0,0,0,0,0,0,158.00,0,-,
KTC Navtara,25-26/T1-3130,-,205037750688931,2025-05-01,08:26:12 AM,09:00:47 AM,09:02:44 AM,SWIGGY,NA,-,226.00,59.99,166.01,178.64,10.00,0.25,0.25,0,166.01,1.06,1.06,0.00,0.36,0,0,0,0,0,0,0,179.00,0,-,
KTC Navtara,25-26/T1-3132,-,205037992175579,2025-05-01,08:31:12 AM,08:51:50 AM,09:08:46 AM,SWIGGY,NA,-,471.00,75.00,396.00,406.50,10.00,0.25,0.25,229.53,166.47,0,0,0.00,0.50,0,0,0,0,0,0,0,407.00,0,-,
KTC Navtara,25-26/T1-3133,-,205038296615405,2025-05-01,08:35:13 AM,08:42:05 AM,09:08:51 AM,SWIGGY,NA,-,69.00,0.00,69.00,79.50,10.00,0.25,0.25,0,69.00,0,0,0.00,0.50,0,0,0,0,0,0,0,80.00,0,-,
KTC Navtara,25-26/T1-3136,-,205039359968925,2025-05-01,08:53:13 AM,09:18:01 AM,09:49:27 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
KTC Navtara,25-26/T1-3137,-,205039904751994,2025-05-01,09:02:13 AM,09:38:45 AM,09:54:00 AM,SWIGGY,NA,-,366.00,59.99,306.01,316.51,10.00,0.25,0.25,0,306.00,0,0,0.00,0.49,0,0,0,0,0,0,0,317.00,0,-,
KTC Navtara,25-26/T1-3139,-,205040623244155,2025-05-01,09:14:13 AM,09:49:31 AM,10:40:08 AM,SWIGGY,NA,-,188.00,56.40,131.60,142.10,10.00,0.25,0.25,0,131.60,0,0,0.00,-0.10,0,0,0,0,0,0,0,142.00,0,-,
KTC Navtara,25-26/T1-3140,-,205040585118175,2025-05-01,09:14:14 AM,09:33:31 AM,10:40:13 AM,SWIGGY,NA,-,216.00,59.99,156.00,167.56,10.00,0.25,0.25,0,156.00,0.53,0.53,0.00,0.44,0,0,0,0,0,0,0,168.00,0,-,
KTC Navtara,25-26/T1-3142,-,205040854693853,2025-05-01,09:18:13 AM,09:49:38 AM,10:40:19 AM,SWIGGY,NA,-,226.00,59.98,166.01,176.51,10.00,0.25,0.25,0,166.01,0,0,0.00,0.49,0,0,0,0,0,0,0,177.00,0,-,
KTC Navtara,25-26/T1-3148,-,205042556389362,2025-05-01,09:46:15 AM,10:35:27 AM,10:40:23 AM,SWIGGY,NA,-,472.00,0.00,472.00,482.50,10.00,0.25,0.25,0,472.00,0,0,0.00,0.50,0,0,0,0,0,0,0,483.00,0,-,
KTC Navtara,25-26/T1-3149,-,205042951931911,2025-05-01,09:53:15 AM,10:48:17 AM,11:02:51 AM,SWIGGY,NA,-,275.00,59.99,215.00,228.91,10.00,0.25,0.25,100.86,114.15,1.70,1.70,0.00,0.09,0,0,0,0,0,0,0,229.00,0,-,
KTC Navtara,25-26/T1-3151,-,205043848179159,2025-05-01,10:08:15 AM,10:47:55 AM,11:02:56 AM,SWIGGY,NA,-,217.00,71.61,145.39,156.86,10.00,0.25,0.25,0,145.39,0.48,0.48,0.00,0.14,0,0,0,0,0,0,0,157.00,0,-,
KTC Navtara,25-26/T1-3153,-,205043956058782,2025-05-01,10:09:15 AM,10:56:46 AM,11:13:34 AM,SWIGGY,NA,-,439.00,78.00,361.00,371.50,10.00,0.25,0.25,0,361.01,0,0,0.00,0.50,0,0,0,0,0,0,0,372.00,0,-,
