Khorlim Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.05.01--2025.05.17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-22 09:55:19 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Khorlim Navtara,25-26/T1-6466,-,205033406753965,2025-05-01,07:14:27 AM,07:50:47 AM,08:02:02 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Khorlim Navtara,25-26/T1-6469,-,205033806124003,2025-05-01,07:20:27 AM,07:51:49 AM,08:02:05 AM,SWIGGY,NA,-,217.00,59.99,157.00,167.50,10.00,0.25,0.25,0,157.01,0,0,0.00,0.50,0,0,0,0,0,0,0,168.00,0,-,
Khorlim Navtara,25-26/T1-6470,-,205034106498350,2025-05-01,07:25:27 AM,07:52:36 AM,08:02:09 AM,SWIGGY,NA,-,118.00,0.00,118.00,128.50,10.00,0.25,0.25,0,118.00,0,0,0.00,0.50,0,0,0,0,0,0,0,129.00,0,-,
Khorlim Navtara,25-26/T1-6471,-,205034121354783,2025-05-01,07:26:27 AM,07:51:42 AM,08:02:20 AM,SWIGGY,NA,-,237.00,60.00,177.00,187.50,10.00,0.25,0.25,0,177.00,0,0,0.00,0.50,0,0,0,0,0,0,0,188.00,0,-,
Khorlim Navtara,25-26/T1-6472,-,205034382553342,2025-05-01,07:30:27 AM,07:52:16 AM,08:18:12 AM,SWIGGY,NA,-,239.00,60.00,179.00,189.50,10.00,0.25,0.25,0,179.00,0,0,0.00,0.50,0,0,0,0,0,0,0,190.00,0,-,
Khorlim Navtara,25-26/T1-6474,-,205035241735319,2025-05-01,07:44:27 AM,08:08:25 AM,08:18:57 AM,SWIGGY,NA,-,620.00,87.49,532.51,545.50,10.00,0.25,0.25,229.32,303.19,1.25,1.25,0.00,0.50,0,0,0,0,0,0,0,546.00,0,-,
Khorlim Navtara,25-26/T1-6477,-,205036093227809,2025-05-01,07:59:27 AM,08:14:08 AM,08:23:36 AM,SWIGGY,NA,-,187.00,56.10,130.90,141.40,10.00,0.25,0.25,41.30,89.60,0,0,0.00,-0.40,0,0,0,0,0,0,0,141.00,0,-,
Khorlim Navtara,25-26/T1-6480,-,205036472954754,2025-05-01,08:05:27 AM,08:19:32 AM,08:23:46 AM,SWIGGY,NA,-,236.00,60.00,176.00,186.50,10.00,0.25,0.25,0,176.00,0,0,0.00,0.50,0,0,0,0,0,0,0,187.00,0,-,
Khorlim Navtara,25-26/T1-6481,-,205036611241364,2025-05-01,08:07:27 AM,08:31:26 AM,08:54:54 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Khorlim Navtara,25-26/T1-6482,-,205036642034287,2025-05-01,08:08:27 AM,08:20:01 AM,08:54:58 AM,SWIGGY,NA,-,207.00,59.99,147.00,157.50,10.00,0.25,0.25,0,147.00,0,0,0.00,0.50,0,0,0,0,0,0,0,158.00,0,-,
