Margao Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.05.01--2025.05.17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-22 09:55:22 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Margao Navtara,25-26/T1-4872,-,205033372614527,2025-05-01,07:11:56 AM,07:37:33 AM,08:02:07 AM,SWIGGY,NA,-,893.00,100.00,793.00,803.50,10.00,0.25,0.25,0,793.00,0,0,0.00,0.50,0,0,0,0,0,0,0,804.00,0,-,
Margao Navtara,25-26/T1-4878,-,205034332999125,2025-05-01,07:27:56 AM,07:50:40 AM,09:57:46 AM,SWIGGY,NA,-,481.00,99.99,381.01,391.51,10.00,0.25,0.25,0,381.01,0,0,0.00,0.49,0,0,0,0,0,0,0,392.00,0,-,
Margao Navtara,25-26/T1-4886,-,205035578229242,2025-05-01,07:48:57 AM,08:22:45 AM,09:57:55 AM,SWIGGY,NA,-,347.00,74.99,272.01,282.51,10.00,0.25,0.25,46.25,225.76,0,0,0.00,0.49,0,0,0,0,0,0,0,283.00,0,-,
Margao Navtara,25-26/T1-4887,-,205035551159295,2025-05-01,07:48:58 AM,08:14:58 AM,09:58:07 AM,SWIGGY,NA,-,208.00,59.99,148.00,158.50,10.00,0.25,0.25,0,148.00,0,0,0.00,0.50,0,0,0,0,0,0,0,159.00,0,-,
Margao Navtara,25-26/T1-4888,-,205035662821732,2025-05-01,07:50:57 AM,08:28:40 AM,09:58:14 AM,SWIGGY,NA,-,178.00,0.00,178.00,188.50,10.00,0.25,0.25,0,178.00,0,0,0.00,0.50,0,0,0,0,0,0,0,189.00,0,-,
Margao Navtara,25-26/T1-4897,-,205037782764103,2025-05-01,08:25:59 AM,08:59:58 AM,10:26:50 AM,SWIGGY,NA,-,208.00,59.99,148.00,163.09,10.00,0.25,0.25,0,148.00,2.29,2.29,0.00,-0.09,0,0,0,0,0,0,0,163.00,0,-,
Margao Navtara,25-26/T1-4905,-,205038454462301,2025-05-01,08:36:58 AM,09:36:43 AM,10:43:18 AM,SWIGGY,NA,-,303.00,74.98,228.02,239.61,10.00,0.25,0.25,58.70,169.32,0.55,0.55,0.00,0.39,0,0,0,0,0,0,0,240.00,0,-,
Margao Navtara,25-26/T1-4910,-,205038785392267,2025-05-01,08:42:57 AM,09:24:06 AM,10:43:27 AM,SWIGGY,NA,-,454.00,0.00,454.00,467.40,10.00,0.25,0.25,0,454.00,1.45,1.45,0.00,-0.40,0,0,0,0,0,0,0,467.00,0,-,
Margao Navtara,25-26/T1-4912,-,205039327604742,2025-05-01,08:51:58 AM,09:21:26 AM,10:44:41 AM,SWIGGY,NA,-,156.00,0.00,156.00,166.50,10.00,0.25,0.25,0,156.00,0,0,0.00,0.50,0,0,0,0,0,0,0,167.00,0,-,
Margao Navtara,25-26/T1-4913,-,205039578535151,2025-05-01,08:55:58 AM,09:52:17 AM,10:44:47 AM,SWIGGY,NA,-,306.00,75.00,231.00,241.50,10.00,0.25,0.25,0,231.01,0,0,0.00,0.50,0,0,0,0,0,0,0,242.00,0,-,
Margao Navtara,25-26/T1-4917,-,205039846900226,2025-05-01,08:59:59 AM,09:27:24 AM,10:44:53 AM,SWIGGY,NA,-,227.00,59.99,167.00,178.57,10.00,0.25,0.25,0,167.01,0.54,0.54,0.00,0.43,0,0,0,0,0,0,0,179.00,0,-,
Margao Navtara,25-26/T1-4918,-,205040022246738,2025-05-01,09:02:59 AM,09:41:24 AM,10:44:59 AM,SWIGGY,NA,-,185.00,55.50,129.50,143.05,10.00,0.25,0.25,27.30,102.20,1.52,1.52,0.00,-0.05,0,0,0,0,0,0,0,143.00,0,-,
Margao Navtara,25-26/T1-4919,-,205040068215457,2025-05-01,09:03:59 AM,09:41:59 AM,10:45:05 AM,SWIGGY,NA,-,258.00,60.00,198.00,208.50,10.00,0.25,0.25,0,198.00,0,0,0.00,0.50,0,0,0,0,0,0,0,209.00,0,-,
Margao Navtara,25-26/T1-4921,-,205040262534929,2025-05-01,09:07:59 AM,09:46:37 AM,10:45:18 AM,SWIGGY,NA,-,380.00,59.99,320.00,339.06,10.00,0.25,0.25,0,320.00,4.28,4.28,0.00,-0.06,0,0,0,0,0,0,0,339.00,0,-,
Margao Navtara,25-26/T1-4923,-,205040418952655,2025-05-01,09:09:59 AM,10:13:13 AM,10:45:23 AM,SWIGGY,NA,-,847.00,99.98,747.01,760.07,10.00,0.25,0.25,0,747.00,1.28,1.28,0.00,-0.07,0,0,0,0,0,0,0,760.00,0,-,
Margao Navtara,25-26/T1-4928,-,205041426070910,2025-05-01,09:26:59 AM,10:08:51 AM,11:03:13 AM,SWIGGY,NA,-,324.00,75.00,249.00,259.50,10.00,0.25,0.25,0,249.00,0,0,0.00,0.50,0,0,0,0,0,0,0,260.00,0,-,
Margao Navtara,25-26/T1-4932,-,205046358566123,2025-05-01,10:50:02 AM,11:04:18 AM,12:25:36 PM,SWIGGY,NA,-,197.00,59.10,137.90,152.92,10.00,0.25,0.25,34.30,103.60,2.26,2.26,0.00,0.08,0,0,0,0,0,0,0,153.00,0,-,
Margao Navtara,25-26/T1-4934,-,205046887388521,2025-05-01,10:58:03 AM,11:11:06 AM,12:25:41 PM,SWIGGY,NA,-,266.00,59.99,206.00,216.50,10.00,0.25,0.25,0,206.01,0,0,0.00,0.50,0,0,0,0,0,0,0,217.00,0,-,
Margao Navtara,25-26/T1-4937,-,205047729476693,2025-05-01,11:11:04 AM,11:28:31 AM,12:25:46 PM,SWIGGY,NA,-,197.00,65.01,131.99,142.49,10.00,0.25,0.25,19.43,112.56,0,0,0.00,-0.49,0,0,0,0,0,0,0,142.00,0,-,
Margao Navtara,25-26/T1-4938,-,205048038743171,2025-05-01,11:16:04 AM,11:30:11 AM,12:25:53 PM,SWIGGY,NA,-,278.00,60.00,218.00,228.50,10.00,0.25,0.25,0,218.00,0,0,0.00,0.50,0,0,0,0,0,0,0,229.00,0,-,
Margao Navtara,25-26/T1-4944,-,205051036471869,2025-05-01,12:06:35 PM,12:19:02 PM,12:48:01 PM,SWIGGY,NA,-,218.00,71.94,146.06,156.56,10.00,0.25,0.25,0,146.06,0,0,0.00,0.44,0,0,0,0,0,0,0,157.00,0,-,
Margao Navtara,25-26/T1-4946,-,205051435328205,2025-05-01,12:13:23 PM,12:25:24 PM,12:48:05 PM,SWIGGY,NA,-,458.00,100.00,358.00,368.50,10.00,0.25,0.25,0,358.00,0,0,0.00,0.50,0,0,0,0,0,0,0,369.00,0,-,
Margao Navtara,25-26/T1-4949,-,205051970903249,2025-05-01,12:22:40 PM,12:29:57 PM,12:48:11 PM,SWIGGY,NA,-,207.00,59.99,147.00,157.50,10.00,0.25,0.25,0,147.01,0,0,0.00,0.50,0,0,0,0,0,0,0,158.00,0,-,
Margao Navtara,25-26/T1-4952,-,205053541317467,2025-05-01,12:48:40 PM,01:14:21 PM,01:44:41 PM,SWIGGY,NA,-,677.00,84.62,592.38,602.88,10.00,0.25,0.25,0,592.39,0,0,0.00,0.12,0,0,0,0,0,0,0,603.00,0,-,
