Panaji Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.05.01--2025.05.17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-22 09:55:32 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Panaji Navtara,25-26/T1-4647,-,205032954185286,2025-05-01,07:07:00 AM,08:04:58 AM,08:44:37 AM,SWIGGY,NA,-,296.00,59.99,236.00,246.50,10.00,0.25,0.25,46.24,189.76,0,0,0.00,0.50,0,0,0,0,0,0,0,247.00,0,-,
Panaji Navtara,25-26/T1-4648,-,205033743432976,2025-05-01,07:20:01 AM,08:04:18 AM,08:45:10 AM,SWIGGY,NA,-,238.00,59.99,178.00,188.50,10.00,0.25,0.25,96.48,81.52,0,0,0.00,0.50,0,0,0,0,0,0,0,189.00,0,-,
Panaji Navtara,25-26/T1-4649,-,205033729302807,2025-05-01,07:20:02 AM,08:04:11 AM,08:45:16 AM,SWIGGY,NA,-,347.00,74.99,272.01,282.51,10.00,0.25,0.25,0,272.01,0,0,0.00,0.49,0,0,0,0,0,0,0,283.00,0,-,
Panaji Navtara,25-26/T1-4651,-,205034773816324,2025-05-01,07:37:01 AM,08:04:23 AM,08:45:22 AM,SWIGGY,NA,-,307.00,75.00,232.00,242.50,10.00,0.25,0.25,0,232.00,0,0,0.00,0.50,0,0,0,0,0,0,0,243.00,0,-,
Panaji Navtara,25-26/T1-4655,-,205036095551439,2025-05-01,07:59:01 AM,08:40:27 AM,08:45:26 AM,SWIGGY,NA,-,206.00,59.99,146.01,156.51,10.00,0.25,0.25,0,146.02,0,0,0.00,0.49,0,0,0,0,0,0,0,157.00,0,-,
Panaji Navtara,25-26/T1-4659,-,205037157360487,2025-05-01,08:17:01 AM,08:44:30 AM,08:45:34 AM,SWIGGY,NA,-,215.00,59.99,155.00,165.50,10.00,0.25,0.25,127.61,27.40,0,0,0.00,0.50,0,0,0,0,0,0,0,166.00,0,-,
Panaji Navtara,25-26/T1-4661,-,205037540763189,2025-05-01,08:23:01 AM,08:38:30 AM,09:00:07 AM,SWIGGY,NA,-,237.00,59.99,177.01,187.51,10.00,0.25,0.25,0,177.00,0,0,0.00,0.49,0,0,0,0,0,0,0,188.00,0,-,
Panaji Navtara,25-26/T1-4664,-,205037938461826,2025-05-01,08:30:01 AM,08:47:46 AM,09:00:12 AM,SWIGGY,NA,-,336.00,75.00,261.00,271.50,10.00,0.25,0.25,0,261.01,0,0,0.00,0.50,0,0,0,0,0,0,0,272.00,0,-,
Panaji Navtara,25-26/T1-4665,-,205038822054603,2025-05-01,08:44:05 AM,09:03:36 AM,09:30:43 AM,SWIGGY,NA,-,265.00,89.99,175.01,185.51,10.00,0.25,0.25,0,175.00,0,0,0.00,0.49,0,0,0,0,0,0,0,186.00,0,-,
Panaji Navtara,25-26/T1-4666,-,205039095948560,2025-05-01,08:49:07 AM,09:03:40 AM,09:49:29 AM,SWIGGY,NA,-,216.00,60.00,156.00,166.50,10.00,0.25,0.25,0,156.00,0,0,0.00,0.50,0,0,0,0,0,0,0,167.00,0,-,
