Porvorim Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.05.01--2025.05.17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-22 09:55:38 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Porvorim Navtara,25-26/T1-4837,-,205032772488994,2025-05-01,07:03:05 AM,07:34:00 AM,07:38:33 AM,SWIGGY,NA,-,307.00,0.00,307.00,317.50,10.00,0.25,0.25,0,307.00,0,0,0.00,0.50,0,0,0,0,0,0,0,318.00,0,-,
Porvorim Navtara,25-26/T1-4838,-,205033056363021,2025-05-01,07:08:05 AM,07:34:37 AM,07:38:37 AM,SWIGGY,NA,-,177.00,90.00,87.00,97.50,10.00,0.25,0.25,0,87.00,0,0,0.00,0.50,0,0,0,0,0,0,0,98.00,0,-,
Porvorim Navtara,25-26/T1-4839,-,205033189528048,2025-05-01,07:10:05 AM,07:38:24 AM,07:45:15 AM,SWIGGY,NA,-,312.00,100.00,212.00,224.47,10.00,0.25,0.25,0,212.00,0.98,0.98,0.00,-0.47,0,0,0,0,0,0,0,224.00,0,-,
Porvorim Navtara,25-26/T1-4841,-,205033962585028,2025-05-01,07:23:05 AM,07:53:32 AM,07:54:32 AM,SWIGGY,NA,-,378.00,75.00,303.00,313.50,10.00,0.25,0.25,0,303.00,0,0,0.00,0.50,0,0,0,0,0,0,0,314.00,0,-,
Porvorim Navtara,25-26/T1-4842,-,205034264489973,2025-05-01,07:28:05 AM,07:53:02 AM,07:54:38 AM,SWIGGY,NA,-,297.00,60.00,237.00,247.50,10.00,0.25,0.25,0,237.00,0,0,0.00,0.50,0,0,0,0,0,0,0,248.00,0,-,
Porvorim Navtara,25-26/T1-4845,-,205035175830472,2025-05-01,07:43:07 AM,08:02:55 AM,08:06:51 AM,SWIGGY,NA,-,247.00,59.99,187.00,197.50,10.00,0.25,0.25,0,187.00,0,0,0.00,0.50,0,0,0,0,0,0,0,198.00,0,-,
Porvorim Navtara,25-26/T1-4848,-,205035475912108,2025-05-01,07:49:06 AM,08:03:03 AM,08:06:56 AM,SWIGGY,NA,-,238.00,59.99,178.00,193.32,10.00,0.25,0.25,0,178.00,2.41,2.41,0.00,-0.32,0,0,0,0,0,0,0,193.00,0,-,
Porvorim Navtara,25-26/T1-4851,-,205036013941355,2025-05-01,07:58:06 AM,08:25:45 AM,08:30:06 AM,SWIGGY,NA,-,387.00,74.99,312.01,322.51,10.00,0.25,0.25,112.07,199.95,0,0,0.00,0.49,0,0,0,0,0,0,0,323.00,0,-,
Porvorim Navtara,25-26/T1-4852,-,205036517783627,2025-05-01,08:06:06 AM,08:25:55 AM,08:30:13 AM,SWIGGY,NA,-,235.00,90.00,145.00,157.29,10.00,0.25,0.25,0,145.00,0.90,0.90,0.00,-0.29,0,0,0,0,0,0,0,157.00,0,-,
Porvorim Navtara,25-26/T1-4853,-,205036722275519,2025-05-01,08:09:06 AM,08:31:41 AM,08:42:35 AM,SWIGGY,NA,-,388.00,75.00,313.00,323.50,10.00,0.25,0.25,79.86,233.14,0,0,0.00,0.50,0,0,0,0,0,0,0,324.00,0,-,
Porvorim Navtara,25-26/T1-4857,-,205037027327404,2025-05-01,08:14:06 AM,08:44:32 AM,08:52:15 AM,SWIGGY,NA,-,387.00,75.00,312.00,322.50,10.00,0.25,0.25,0,312.00,0,0,0.00,0.50,0,0,0,0,0,0,0,323.00,0,-,
Porvorim Navtara,25-26/T1-4861,-,205037398510993,2025-05-01,08:21:06 AM,08:38:44 AM,08:52:21 AM,SWIGGY,NA,-,289.00,60.00,229.00,239.50,10.00,0.25,0.25,0,229.00,0,0,0.00,0.50,0,0,0,0,0,0,0,240.00,0,-,
