Siolim Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.05.01--2025.05.17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-22 09:55:42 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Siolim Navtara,25-26/T1-2613,-,205465041027432,2025-05-06,07:08:19 AM,07:33:17 AM,08:21:47 AM,SWIGGY,NA,-,217.00,0.00,217.00,227.50,10.00,0.25,0.25,0,217.00,0,0,0.00,0.50,0,0,0,0,0,0,0,228.00,0,-,
Siolim Navtara,25-26/T1-2616,-,205466454787026,2025-05-06,07:31:21 AM,07:38:09 AM,08:21:58 AM,SWIGGY,NA,-,225.00,59.99,165.00,175.50,10.00,0.25,0.25,114.40,50.60,0,0,0.00,0.50,0,0,0,0,0,0,0,176.00,0,-,
Siolim Navtara,25-26/T1-2617,-,205467556588138,2025-05-06,07:50:21 AM,07:57:31 AM,08:22:09 AM,SWIGGY,NA,-,206.00,59.99,146.01,156.51,10.00,0.25,0.25,20.55,125.46,0,0,0.00,0.49,0,0,0,0,0,0,0,157.00,0,-,
Siolim Navtara,25-26/T1-2618,-,205467892680810,2025-05-06,07:55:21 AM,08:03:12 AM,08:22:15 AM,SWIGGY,NA,-,188.00,56.40,131.60,142.10,10.00,0.25,0.25,0,131.60,0,0,0.00,-0.10,0,0,0,0,0,0,0,142.00,0,-,
Siolim Navtara,25-26/T1-2619,-,205467994855188,2025-05-06,07:57:21 AM,08:08:57 AM,08:55:16 AM,SWIGGY,NA,-,273.00,60.00,213.00,223.50,10.00,0.25,0.25,213.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,224.00,0,-,
Siolim Navtara,25-26/T1-2620,-,205468047486924,2025-05-06,07:58:21 AM,08:04:27 AM,10:10:53 AM,SWIGGY,NA,-,441.00,0.00,441.00,451.50,10.00,0.25,0.25,234.00,207.00,0,0,0.00,0.50,0,0,0,0,0,0,0,452.00,0,-,
Siolim Navtara,25-26/T1-2624,-,205469526234985,2025-05-06,08:22:22 AM,08:28:40 AM,10:10:58 AM,SWIGGY,NA,-,267.00,59.99,207.00,222.50,10.00,0.25,0.25,0,207.00,2.50,2.50,0.00,0.50,0,0,0,0,0,0,0,223.00,0,-,
Siolim Navtara,25-26/T1-2625,-,205470461004799,2025-05-06,08:38:22 AM,08:52:38 AM,10:11:05 AM,SWIGGY,NA,-,217.00,59.99,157.00,167.50,10.00,0.25,0.25,0,157.01,0,0,0.00,0.50,0,0,0,0,0,0,0,168.00,0,-,
Siolim Navtara,25-26/T1-2626,-,205470610665177,2025-05-06,08:41:22 AM,08:52:30 AM,10:11:09 AM,SWIGGY,NA,-,215.00,59.99,155.00,165.50,10.00,0.25,0.25,98.05,56.96,0,0,0.00,0.50,0,0,0,0,0,0,0,166.00,0,-,
Siolim Navtara,25-26/T1-2627,-,205471061924914,2025-05-06,08:49:22 AM,09:38:12 AM,10:11:15 AM,SWIGGY,NA,-,257.00,59.99,197.00,207.50,10.00,0.25,0.25,29.90,167.11,0,0,0.00,0.50,0,0,0,0,0,0,0,208.00,0,-,
