Outlet,Year,Month,Item Name,Selling Price,Cost Price,Selling Qty
Baga,2022,January,Idli,80,27.2,437
Baga,2022,January,Vada,145,47.85,260
Baga,2022,January,Dosa,150,46.5,68
Baga,2022,January,Masala Dosa,75,23.25,260
Baga,2022,January,Onion Dosa,70,23.1,451
Baga,2022,January,Set Dosa,60,19.8,371
Baga,2022,January,Rava Dosa,90,30.6,122
Baga,2022,January,Paneer Dosa,65,21.45,74
Baga,2022,January,Ghee Roast,110,35.2,150
Baga,2022,January,Uttapam,125,42.5,388
Baga,2022,January,Onion Uttapam,40,12.4,447
Baga,2022,January,Tomato Uttapam,45,14.4,438
Baga,2022,January,Pongal,55,17.6,374
Baga,2022,January,Upma,80,25.6,489
Baga,2022,January,Poori Bhaji,115,35.65,444
Baga,2022,January,Kesari Bath,120,38.4,417
Baga,2022,January,Mini Tiffin,130,39.0,68
Baga,2022,January,Ghee Idli,65,21.45,465
Baga,2022,January,Ragi Dosa,45,14.4,364
Baga,2022,January,Neer Dosa,135,44.55,417
Baga,2022,January,Appam,140,43.4,394
Baga,2022,January,Idiappam,125,41.25,40
Baga,2022,January,Steamed Rice,85,27.2,434
Baga,2022,January,Lemon Rice,65,20.8,274
Baga,2022,January,Tomato Rice,115,37.95,270
Baga,2022,January,Curd Rice,50,17.0,468
Baga,2022,January,Sambar Rice,140,44.8,178
Baga,2022,January,Bisibele Bath,140,43.4,198
Baga,2022,January,Veg Pulao,115,39.1,44
Baga,2022,January,Veg Kurma,150,48.0,168
Baga,2022,January,Chapati Kurma,75,24.75,291
Baga,2022,January,Parotta,120,40.8,150
Baga,2022,January,Kothu Parotta,95,32.3,401
Baga,2022,January,Chole Batura,55,17.6,325
Baga,2022,January,Bhature,115,36.8,203
Baga,2022,January,Pesarattu,50,17.0,121
Baga,2022,January,Rava Idli,140,42.0,446
Baga,2022,January,Medu Vada,65,21.45,121
Baga,2022,January,Kharabath,110,36.3,216
Baga,2022,January,Kichdi,115,39.1,158
Baga,2022,January,Sagu Dosa,65,20.15,191
Baga,2022,January,Benne Dosa,40,12.4,376
Baga,2022,January,Veg Biryani,45,13.5,28
Baga,2022,January,Tamarind Rice,55,16.5,231
Baga,2022,January,Palak Dosa,50,16.0,171
Baga,2022,January,Coconut Rice,95,32.3,21
Baga,2022,January,Bun Dosa,100,33.0,472
Baga,2022,January,Dahi Vada,145,47.85,69
Baga,2022,January,Veg Sandwich,135,44.55,452
Baga,2022,January,Tea,55,17.05,484
Baga,2022,January,Coffee,95,28.5,279
Baga,2022,January,Filter Coffee,130,39.0,451
Baga,2022,January,Butter Dosa,85,28.05,258
Baga,2022,January,Plain Dosa,80,24.0,53
Baga,2022,January,Cheese Dosa,85,26.35,68
Baga,2022,January,Garlic Dosa,90,30.6,85
Baga,2022,January,Mysore Masala,50,17.0,434
Baga,2022,January,Ghee Mysore Dosa,85,26.35,452
Baga,2022,January,Podi Idli,50,17.0,155
Baga,2022,January,Mini Idli,50,17.0,298
Baga,2022,January,Idli Vada Combo,130,42.9,381
Baga,2022,January,Dosa Vada Combo,50,15.5,341
Baga,2022,January,Upma Pesarattu Combo,140,43.4,173
Baga,2022,January,South Indian Meals,55,17.6,284
Baga,2022,January,Veg Meals,90,30.6,496
Baga,2022,January,Thali,130,40.3,358
