Year,Month,Location,Item,Category,UOM,Price,Opening Stock (Qty),Purchases (Qty),Consumption (Qty),Ideal Closing Stock,Actual Closing Stock,Ideal Closing stock Value,Actual Closing stock Value,Variance
2022,January,Baga,Oil,Groceries,Packets,493.81,80,36,35,81,80,39998.61,39504.8,-493.81
2022,February,Baga,Oil,Groceries,Packets,498.79,80,89,132,37,36,18455.23,17956.44,-498.79
2022,March,Baga,Oil,Groceries,Packets,499.46,36,41,24,53,53,26471.38,26471.38,0
2022,April,Baga,Oil,Groceries,Packets,494.06,53,38,38,53,53,26185.18,26185.18,0
2022,May,Baga,Oil,Groceries,Packets,492.81,53,83,52,84,84,41396.04,41396.04,0
2022,June,Baga,Oil,Groceries,Packets,456.06,84,65,123,26,26,11857.56,11857.56,0
2022,July,Baga,Oil,Groceries,Packets,479.69,26,54,48,32,31,15350.08,14870.39,-479.69
2022,August,Baga,Oil,Groceries,Packets,459.71,31,95,73,53,53,24364.63,24364.63,0
2022,September,Baga,Oil,Groceries,Packets,483.08,53,70,119,4,2,1932.32,966.16,-966.16
2022,October,Baga,Oil,Groceries,Packets,452.92,2,43,40,5,5,2264.6,2264.6,0
2022,November,Baga,Oil,Groceries,Packets,469.5,5,37,26,16,16,7512,7512,0
2022,December,Baga,Oil,Groceries,Packets,483.35,16,62,67,11,11,5316.85,5316.85,0
2023,January,Baga,Oil,Groceries,Packets,476.27,11,51,49,13,14,6191.51,6667.78,476.27
2023,February,Baga,Oil,Groceries,Packets,498.64,14,80,73,21,21,10471.44,10471.44,0
2023,March,Baga,Oil,Groceries,Packets,472.73,21,50,49,22,20,10400.06,9454.6,-945.46
2023,April,Baga,Oil,Groceries,Packets,479.51,20,93,88,25,25,11987.75,11987.75,0
2023,May,Baga,Oil,Groceries,Packets,486.44,25,48,23,50,50,24322,24322,0
2023,June,Baga,Oil,Groceries,Packets,488.63,50,46,63,33,33,16124.79,16124.79,0
2023,July,Baga,Oil,Groceries,Packets,474.42,33,75,25,83,83,39376.86,39376.86,0
2023,August,Baga,Oil,Groceries,Packets,487.64,83,66,43,106,106,51689.84,51689.84,0
2023,September,Baga,Oil,Groceries,Packets,472.43,106,82,114,74,74,34959.82,34959.82,0
2023,October,Baga,Oil,Groceries,Packets,498.71,74,92,86,80,79,39896.8,39398.09,-498.71
2023,November,Baga,Oil,Groceries,Packets,478.55,79,83,77,85,85,40676.75,40676.75,0
2023,December,Baga,Oil,Groceries,Packets,479.18,85,53,133,5,7,2395.9,3354.26,958.36
2024,January,Baga,Oil,Groceries,Packets,499.17,7,95,46,56,55,27953.52,27454.35,-499.17
2024,February,Baga,Oil,Groceries,Packets,493.81,55,46,52,49,47,24196.69,23209.07,-987.62
2024,March,Baga,Oil,Groceries,Packets,485.49,47,77,58,66,66,32042.34,32042.34,0
2024,April,Baga,Oil,Groceries,Packets,466.17,66,55,118,3,2,1398.51,932.34,-466.17
2024,May,Baga,Oil,Groceries,Packets,493.32,2,42,26,18,16,8879.76,7893.12,-986.64
2024,June,Baga,Oil,Groceries,Packets,481.94,16,49,20,45,46,21687.3,22169.24,481.94
2024,July,Baga,Oil,Groceries,Packets,489.93,46,44,85,5,7,2449.65,3429.51,979.86
2024,August,Baga,Oil,Groceries,Packets,484.04,7,80,44,43,42,20813.72,20329.68,-484.04
2024,September,Baga,Oil,Groceries,Packets,477.88,42,51,77,16,15,7646.08,7168.2,-477.88
2024,October,Baga,Oil,Groceries,Packets,453.51,15,81,61,35,36,15872.85,16326.36,453.51
2024,November,Baga,Oil,Groceries,Packets,466.49,36,89,120,5,3,2332.45,1399.47,-932.98
2024,December,Baga,Oil,Groceries,Packets,491.45,3,89,24,68,70,33418.6,34401.5,982.9
2022,January,Panaji,Oil,Groceries,Packets,492.13,117,76,118,75,77,36909.75,37894.01,984.26
2022,February,Panaji,Oil,Groceries,Packets,458.64,77,45,32,90,89,41277.6,40818.96,-458.64
2022,March,Panaji,Oil,Groceries,Packets,476.63,89,59,38,110,108,52429.3,51476.04,-953.26
2022,April,Panaji,Oil,Groceries,Packets,471.04,108,48,111,45,44,21196.8,20725.76,-471.04
2022,May,Panaji,Oil,Groceries,Packets,455.79,44,91,42,93,95,42388.47,43300.05,911.58
2022,June,Panaji,Oil,Groceries,Packets,485.18,95,30,77,48,47,23288.64,22803.46,-485.18
2022,July,Panaji,Oil,Groceries,Packets,459.5,47,63,67,43,41,19758.5,18839.5,-919
2022,August,Panaji,Oil,Groceries,Packets,483.47,41,30,35,36,36,17404.92,17404.92,0
2022,September,Panaji,Oil,Groceries,Packets,487.17,36,92,88,40,41,19486.8,19973.97,487.17
2022,October,Panaji,Oil,Groceries,Packets,486.8,41,96,95,42,41,20445.6,19958.8,-486.8
2022,November,Panaji,Oil,Groceries,Packets,469,41,86,48,79,80,37051,37520,469
2022,December,Panaji,Oil,Groceries,Packets,456.43,80,76,113,43,44,19626.49,20082.92,456.43
2023,January,Panaji,Oil,Groceries,Packets,498.67,44,98,95,47,46,23437.49,22938.82,-498.67
2023,February,Panaji,Oil,Groceries,Packets,488.38,46,68,52,62,63,30279.56,30767.94,488.38
2023,March,Panaji,Oil,Groceries,Packets,472.7,63,52,29,86,87,40652.2,41124.9,472.7
2023,April,Panaji,Oil,Groceries,Packets,482.28,87,63,115,35,33,16879.8,15915.24,-964.56
2023,May,Panaji,Oil,Groceries,Packets,477.72,33,33,35,31,33,14809.32,15764.76,955.44
2023,June,Panaji,Oil,Groceries,Packets,496.99,33,61,43,51,51,25346.49,25346.49,0
2023,July,Panaji,Oil,Groceries,Packets,470.53,51,62,52,61,61,28702.33,28702.33,0
